Results from GENEPOP WWW
Wed Nov 30 06:22:25 AWST 2022

Option 2 - Linkage Disequilibrium
Suboption 1 - each pair loci in each population

------------------------------------------------------------

Genepop 4.7.5, Genotypic linkage disequilibrium

File: /web/genepop/tmp/062021/062021 (Curvina_golfina)

Number of populations detected : 1
Number of loci detected        : 15

Markov chain parameters
        Dememorisation       : 1000
        Batches              : 1000
        Iterations per batch : 10000

Pop             Locus#1  Locus#2    P-Value      S.E.     Switches
----------      -------  -------    --------     -------- --------
Co17-82         Cyne02   Cac03      0.691344     0.014161     5699
Co17-82         Cyne02   Tmac03     0.937947     0.007517     2921
Co17-82         Cac03    Tmac03     0.256524     0.013145     9913
Co17-82         Cyne02   Tmac06     0.885068     0.006757    83653
Co17-82         Cac03    Tmac06     0.077591     0.004897   134518
Co17-82         Tmac03   Tmac06     0.426076     0.010264   105664
Co17-82         Cyne02   Cyne12     0.770770     0.013232     2891
Co17-82         Cac03    Cyne12     0.228524     0.012634     9810
Co17-82         Tmac03   Cyne12     0.316308     0.014275     5234
Co17-82         Tmac06   Cyne12     0.023065     0.002628   107127
Co17-82         Cyne02   Cac13      0.480886     0.015678     2208
Co17-82         Cac03    Cac13      0.064625     0.007417     7409
Co17-82         Tmac03   Cac13      0.465485     0.015583     3901
Co17-82         Tmac06   Cac13      0.991438     0.001275    91527
Co17-82         Cyne12   Cac13      0.582572     0.015310     3929
Co17-82         Cyne02   Cac14      0.118704     0.009867     4899
Co17-82         Cac03    Cac14      0.767310     0.012044    14554
Co17-82         Tmac03   Cac14      0.084691     0.008197     8253
Co17-82         Tmac06   Cac14      0.955604     0.003588   117425
Co17-82         Cyne12   Cac14      0.725332     0.013366     8216
Co17-82         Cac13    Cac14      0.253012     0.013202     6460
Co17-82         Cyne02   Cac18      0.436116     0.015003     9698
Co17-82         Cac03    Cac18      0.768054     0.011418    27312
Co17-82         Tmac03   Cac18      0.501583     0.014547    16121
Co17-82         Tmac06   Cac18      0.369633     0.008720   164597
Co17-82         Cyne12   Cac18      0.079079     0.007592    16214
Co17-82         Cac13    Cac18      0.379575     0.014347    12378
Co17-82         Cac14    Cac18      0.236264     0.011879    23134
Co17-82         Cyne02   Cyne20     0.908281     0.006178    49170
Co17-82         Cac03    Cyne20     0.934644     0.005001    82419
Co17-82         Tmac03   Cyne20     0.950031     0.004776    62651
Co17-82         Tmac06   Cyne20     0.375660     0.006050   218025
Co17-82         Cyne12   Cyne20     0.422284     0.011591    63923
Co17-82         Cac13    Cyne20     0.367430     0.011780    53815
