scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           4696          13353         87.188       9.578e-4       2.798e-1       8.432e-8
   1           5858          14518          13856       5.089e-4       3.000e-1       3.513e-7
   1           4321          10845          14242       7.311e-4       3.000e-1       1.000e-5
   1           4721          13642           4380       6.371e-4       2.887e-1       3.213e-6
   1           3282           3334          24687       9.753e-4       2.918e-1       1.000e-5
   1           4681          14039           9191       9.288e-4       2.604e-1       4.698e-6
   1           2943          16761          16915       9.835e-4       3.000e-1       1.793e-6
   1           4391           8958           8870       9.173e-4       3.000e-1       8.061e-7
   1           4707          14732          11216       8.744e-4       3.000e-1       3.536e-6
   1           5712          10793           7246       8.383e-4       2.690e-1       1.464e-7
   1           5807           4423           1372       6.928e-4       2.943e-1       4.633e-6
   1           4908           8725           8725       7.861e-4       3.000e-1       3.684e-6
   1           4409           6213           4867       9.226e-4       2.998e-1       8.023e-6
   1           3727          11342          11771       8.800e-4       2.998e-1       8.786e-7
   1           4919           7701           4333       6.355e-4       3.000e-1       8.440e-6
   1           5521           5318           8188       9.654e-4       1.783e-1       3.393e-6
   1           3993          22107           6303       7.653e-4       3.000e-1       2.104e-8
   1           3303          14302           5083       9.631e-4       2.998e-1       1.707e-7
   1           3537           6655           7034       9.214e-4       3.000e-1       4.646e-6
   1           3665          14952          10812       8.422e-4       2.844e-1       7.970e-6
   1           3198          20830          13441       9.774e-4       3.000e-1       7.671e-6
   1           4812          12634           4213       7.065e-4       3.000e-1       2.337e-6
   1           4891          12539           5109       9.904e-4       2.783e-1       1.403e-6
   1           4718          12781           5446       9.346e-4       3.000e-1       2.496e-7
   1           5072          15290           4868       6.147e-4       2.811e-1       4.390e-8
   1           4440          14627           9067       8.408e-4       3.000e-1       3.230e-6
   1           3549          11277          14867       9.977e-4       3.000e-1       4.059e-7
   1           6339          13945          18253       5.576e-4       2.926e-1       1.104e-7
   1           4931          17215           1073       6.165e-4       2.862e-1       9.090e-6
   1           4334           8880           8187       9.270e-4       3.000e-1       7.979e-6
   1           5763          12992           9652       8.421e-4       3.000e-1       1.387e-6
   1           4475           8064            881       8.287e-4       2.940e-1       5.278e-7
   1           5056          16947           1576       9.042e-4       3.000e-1       8.812e-6
   1           5482          18360          10861       5.395e-4       2.834e-1       1.000e-5
   1           3951          14767           5749       7.974e-4       2.697e-1       3.785e-7
   1           4643           9989          11959       7.222e-4       3.000e-1       4.495e-6
   1           5198          16633           6172       9.189e-4       3.000e-1       2.355e-6
   1           4688          16876          13271       9.876e-4       2.784e-1       9.204e-6
   1           3298           3224          12168       9.876e-4       2.974e-1       1.000e-5
   1           5721           4301           7558       6.074e-4       3.000e-1       3.886e-6
   1           5517          12816          14910       6.417e-4       2.542e-1       7.754e-7
   1           4164          16037           5977       6.100e-4       2.781e-1       4.011e-6
   1           5957           9284            663       9.828e-4       3.000e-1       2.089e-6
   1           6719          11105           4896       9.278e-4       3.000e-1       1.146e-6
   1           4676           7456          11143       8.517e-4       3.000e-1       1.299e-7
   1           5184           2975           9676       8.681e-4       2.575e-1       6.151e-6
   1           5258          16448           3651       8.222e-4       3.000e-1       1.000e-5
   1           5950          16456           4674       6.320e-4       2.828e-1       4.340e-6
   1           3478          12169           3920       8.169e-4       2.960e-1       9.199e-6
   1           6033           8633          13967       6.522e-4       2.742e-1       6.892e-7
   1           3460           9668          13008       4.830e-4       3.000e-1       1.470e-6
   1           4793           1774           9079       5.259e-4       3.000e-1       2.928e-7
   1           5186           5920           8105       7.196e-4       2.776e-1       7.942e-6
   1           4794          18044           9295       8.819e-4       3.000e-1       2.015e-6
   1           3847          14111          12589       9.842e-4       3.000e-1       2.886e-8
   1           4247           2538          16108       5.580e-4       3.000e-1       2.776e-7
   1           3940          10711           6881       8.932e-4       3.000e-1       6.133e-6
   1           5913           2966           5821       7.930e-4       2.907e-1       3.352e-7
   1           5465          13451           5761       6.373e-4       2.878e-1       3.360e-7
   1           4654          15497           3079       9.764e-4       2.896e-1       7.299e-8
   1           4115           9051          15955       8.647e-4       2.973e-1       8.168e-6
   1           4561           8411          12860       9.843e-4       2.597e-1       3.934e-6
   1           6333           7966           2195       8.647e-4       3.000e-1       1.903e-6
   1           5080          10027           4141       9.814e-4       3.000e-1       6.475e-7
   1           3797          13691           6222       9.896e-4       3.000e-1       2.679e-6
   1           4088           9572           3229       8.509e-4       2.972e-1       5.275e-6
   1           3857          11698           3278       9.176e-4       3.000e-1       9.627e-8
   1           5289           7967          10324       9.222e-4       2.947e-1       4.128e-6
   1           6338          10880           3582       3.278e-4       3.000e-1       9.584e-6
   1           3015          18777           8192       9.772e-4       3.000e-1       9.605e-6
   1           4642          12009          16269       6.628e-4       2.857e-1       1.000e-5
   1           3563           8605           6425       9.749e-4       2.992e-1       1.742e-7
   1           3885          12229           2175       7.815e-4       2.937e-1       6.349e-7
   1           4082          10900          10763       5.086e-4       3.000e-1       8.225e-6
   1           5618          13454           3413       7.355e-4       3.000e-1       1.026e-6
   1           4494          10032           5247       9.000e-4       3.000e-1       8.883e-6
   1           4276          13873          11818       9.944e-4       2.995e-1       2.261e-8
   1           4400          10897          15583       9.257e-4       1.709e-1       8.338e-7
   1           6550          17181           4458       6.550e-4       2.842e-1       8.436e-6
   1           3126           8256           2373       8.402e-4       3.000e-1       8.220e-7
   1           6401          14503           2798       8.874e-4       2.970e-1       7.587e-7
   1           3602           9454           6724       9.732e-4       2.968e-1       2.906e-6
   1           6200           9581           7968       6.106e-4       3.000e-1       1.822e-6
   1           6179          16881           6918       7.916e-4       3.000e-1       6.354e-7
   1           4877           7986           9512       7.256e-4       2.852e-1       3.276e-8
   1           6423          11493           8695       4.372e-4       3.000e-1       1.971e-6
   1           5306          17568           3463       8.588e-4       3.000e-1       2.816e-6
   1           4248          11021          16773       6.355e-4       3.000e-1       8.466e-6
   1           5047           5072           8101       7.790e-4       2.835e-1       7.108e-6
   1           4460          18045           5078       4.948e-4       2.954e-1       7.128e-6
   1           3347          12024           7538       9.685e-4       3.000e-1       6.279e-6
   1           3458          22410          12356       6.994e-4       2.929e-1       8.936e-7
   1           6599          13203          14148       6.785e-4       2.155e-1       1.177e-6
   1           5121           5552           5458       6.344e-4       3.000e-1       2.019e-7
   1           4801          15218          12684       9.224e-4       2.291e-1       7.975e-6
   1           4507          10147           7840       9.992e-4       2.917e-1       1.425e-7
   1           3397          10615          13035       9.478e-4       2.925e-1       4.896e-6
   1           4490          13265          13325       9.721e-4       3.000e-1       1.645e-6
   1           4014          15496           6747       8.741e-4       3.000e-1       3.955e-6
   1           2893          12666           1122       9.623e-4       3.000e-1       1.231e-7
   1           5188          18062           6178       7.414e-4       3.000e-1       8.861e-6
   1           4856          11370           6964       8.927e-4       2.674e-1       1.439e-7
   1           4271          15255          10366       9.582e-4       3.000e-1       7.271e-6
   1           3757          16536           3800       8.870e-4       3.000e-1       9.934e-6
   1           4532          10530          15518       8.081e-4       3.000e-1       6.599e-7
   1           3109           9218           3728       6.765e-4       3.000e-1       9.051e-6
   1           5608          12548           8897       9.476e-4       3.000e-1       1.000e-5
   1           4813          13387          10603       8.442e-4       3.000e-1       5.650e-6
   1           3775           8811           2285       9.670e-4       2.951e-1       7.005e-8
   1           5051           3402           7684       8.514e-4       3.000e-1       4.335e-7
   1           2747          10309           8029       8.207e-4       3.000e-1       3.069e-6
   1           6358          22514           9321       8.904e-4       3.000e-1       2.582e-7
   1           6991           9936           4586       6.477e-4       3.000e-1       2.733e-7
   1           4719          14894           4960       8.032e-4       3.000e-1       9.562e-6
   1           6318           7999          15743       8.651e-4       2.859e-1       1.404e-6
   1           5467           9327           3295       7.464e-4       3.000e-1       9.673e-6
   1           4407          20695           8507       7.816e-4       3.000e-1       9.842e-6
   1           4339          14374           4506       7.362e-4       2.815e-1       6.145e-8
   1           4105           9041            341       9.137e-4       3.000e-1       6.561e-6
   1           4056          14812           9514       9.748e-4       2.925e-1       5.400e-8
   1           4798           9303          15229       9.676e-4       3.000e-1       8.354e-6
   1           3274          12949           3083       9.782e-4       2.975e-1       3.111e-7
   1           5227          13231           4271       4.935e-4       3.000e-1       9.612e-6
   1           4774           1594           6336       7.074e-4       2.575e-1       3.707e-8
   1           4278           9192           3373       8.670e-4       3.000e-1       7.526e-6
   1           5870           3776          10808       1.000e-3       2.883e-1       2.628e-6
   1           3037          12437           6815       9.926e-4       2.931e-1       3.662e-8
   1           4733          11592          11892       5.922e-4       2.930e-1       1.096e-6
   1           3979          13973         40.696       9.256e-4       2.949e-1       2.514e-7
   1           4948          16882           5378       6.493e-4       3.000e-1       1.575e-6
   1           5679           9821           2506       9.818e-4       3.000e-1       2.258e-6
   1           4935          20848           9066       6.127e-4       3.000e-1       2.632e-7
   1           4452          10596           6377       9.226e-4       2.961e-1       9.514e-6
   1           6292          18665          10441       9.624e-4       3.000e-1       8.983e-6
   1           3257           7130           1284       9.165e-4       3.000e-1       7.302e-6
   1           5532           9048          11126       8.007e-4       3.000e-1       7.259e-7
   1           3889           7101            480       9.050e-4       3.000e-1       4.101e-6
   1           6726           8727           9370       5.719e-4       3.000e-1       1.742e-6
   1           5719           9129           8075       6.892e-4       2.946e-1       1.956e-7
   1           5212          13639           2808       5.275e-4       3.000e-1       2.908e-6
   1           6308          17298          11138       6.203e-4       3.000e-1       5.238e-7
   1           5437           1290           4343       7.532e-4       3.000e-1       6.993e-6
   1           3988           9167          13513       8.916e-4       3.000e-1       2.570e-6
   1           3739           8748           6731       9.929e-4       2.952e-1       5.640e-6
   1           5012          11716          10846       7.328e-4       2.954e-1       2.617e-8
   1           4203          13126           2367       8.530e-4       3.000e-1       1.593e-6
   1           4061           3992          10069       7.233e-4       3.000e-1       2.459e-7
   1           4725          18832           2903       7.762e-4       3.000e-1       1.907e-6
   1           3404           7107           4261       1.000e-3       2.947e-1       4.845e-6
   1           4920          14604           2071       9.428e-4       3.000e-1       3.816e-6
   1           3115          15406           4198       9.896e-4       3.000e-1       7.873e-8
   1           5565          15375           1723       5.730e-4       2.792e-1       3.393e-6
   1           5375          11439           3005       8.389e-4       2.774e-1       4.199e-6
   1           5392          20283           8919       6.388e-4       2.928e-1       2.070e-6
   1           4999          20380           8870       8.756e-4       2.532e-1       9.880e-6
   1           3645          16251          13640       9.173e-4       3.000e-1       1.012e-6
   1           3915          13972           3466       9.955e-4       3.000e-1       6.979e-7
   1           5037           8602           5289       7.778e-4       3.000e-1       8.261e-6
   1           5258          18801           7016       8.922e-4       2.783e-1       1.589e-6
   1           4865           9577           7756       7.475e-4       3.000e-1       9.484e-6
   1           5401           3979          12378       8.845e-4       1.601e-1       9.498e-6
   1           4498          13453           9636       9.283e-4       3.000e-1       1.039e-7
   1           4631          19726           1469       6.568e-4       3.000e-1       8.967e-6
   1           5386          16707           8425       8.338e-4       2.823e-1       3.920e-6
   1           3820          16875           7851       8.157e-4       2.825e-1       9.350e-6
   1           6722          11792           4385       7.913e-4       3.000e-1       3.993e-6
   1           3273          13985           4877       9.393e-4       3.000e-1       4.551e-7
   1           5243          12442           3922       7.436e-4       2.920e-1       1.780e-6
   1           4397          17347           8633       9.650e-4       3.000e-1       9.444e-6
   1           4010           7679           9964       9.467e-4       3.000e-1       3.579e-6
   1           2979          13490          10215       9.139e-4       3.000e-1       4.116e-7
   1           5970          17118           6350       8.986e-4       3.000e-1       8.101e-7
   1           5515          11200           6369       6.237e-4       3.000e-1       4.278e-6
   1           4610           7824          16611       9.026e-4       3.000e-1       1.147e-6
   1           4661           9417           2707       9.826e-4       3.000e-1       6.337e-7
   1           3602          11009           9994       9.059e-4       3.000e-1       3.260e-7
   1           4883          19157           3431       7.594e-4       3.000e-1       2.792e-6
   1           5218          13785           7611       5.511e-4       3.000e-1       1.391e-7
   1           4087          15829            243       1.000e-3       3.000e-1       8.059e-6
   1           3358          14089           8012       7.574e-4       3.000e-1       9.103e-6
   1           6421          11154           4794       9.548e-4       3.000e-1       2.469e-6
   1           5303          17955           7484       8.517e-4       2.996e-1       6.112e-7
   1           2820          12168           1454       8.269e-4       2.732e-1       3.495e-7
   1           4579          13082           6938       7.843e-4       3.000e-1       8.513e-6
   1           4623           8738           5985       6.370e-4       3.000e-1       3.979e-8
   1           4693          12022          10906       7.785e-4       3.000e-1       3.000e-7
   1           4129          13785           1652       9.880e-4       3.000e-1       8.332e-8
   1           5010           6513            929       7.940e-4       3.000e-1       9.090e-7
   1           3918           8667           5552       9.345e-4       3.000e-1       3.041e-7
   1           5313          15480           4915       7.855e-4       2.815e-1       6.011e-7
   1           4651           9432          14640       7.251e-4       3.000e-1       4.634e-6
   1           4895          11504          14753       9.123e-4       2.769e-1       6.841e-6
   1           3929          13292           8467       1.000e-3       2.940e-1       8.459e-7
   1           3474           8812           4007       7.693e-4       3.000e-1       4.946e-8
   1           4568          15514           9505       9.969e-4       3.000e-1       3.886e-6
   1           3383          16446           3572       8.131e-4       3.000e-1       1.000e-5
   1           3928          15519           6795       8.101e-4       2.967e-1       8.985e-6
   1           4312          15329          13249       8.869e-4       3.000e-1       3.447e-6
   1           4283          14948           4613       9.143e-4       2.481e-1       7.396e-6
   1           5681          12323           6716       9.992e-4       2.734e-1       1.185e-7
   1           6208           5487          15941       8.809e-4       3.000e-1       7.183e-8
   1           4869           2528           3268       9.836e-4       3.000e-1       2.036e-6
   1           4568          11679           8197       9.597e-4       3.000e-1       1.651e-6
   1           4147          11400          15709       7.801e-4       2.571e-1       4.048e-6
   1           4801           9422           2837       8.721e-4       3.000e-1       2.406e-6
   1           4104           4612           9249       9.685e-4       2.652e-1       9.303e-6
   1           6068          16335           9629       7.989e-4       2.484e-1       1.406e-8
   1           4624          20301           2527       8.538e-4       3.000e-1       1.041e-6
   1           5627          11192          16889       5.838e-4       2.855e-1       1.461e-7
   1           3496           9341           7525       8.536e-4       3.000e-1       1.000e-5
   1           5505          14599           9217       9.826e-4       3.000e-1       9.907e-8
   1           2440          15544           9704       8.732e-4       2.887e-1       8.191e-6
   1           5241           9566           7009       1.000e-3       3.000e-1       2.113e-6
   1           4377          14502           6010       1.000e-3       2.785e-1       1.847e-6
   1           3799           6206          10124       9.564e-4       2.975e-1       3.726e-7
   1           6172          11697          14409       8.307e-4       2.862e-1       7.603e-7
   1           6059          10807            535       8.734e-4       3.000e-1       1.102e-7
   1           5974          14361           6703       8.182e-4       2.784e-1       1.099e-6
   1           3639           8382           3106       8.873e-4       3.000e-1       9.797e-6
   1           4292          16969           6789       9.969e-4       2.978e-1       1.114e-6
   1           3179          18221           8375       9.272e-4       3.000e-1       3.471e-7
   1           5083          10169          10080       5.063e-4       2.989e-1       1.336e-7
   1           6167           8873           1251       7.606e-4       3.000e-1       7.889e-6
   1           5447          16929           1041       7.931e-4       3.000e-1       4.232e-6
   1           5779          10785           6891       9.055e-4       2.374e-1       2.965e-7
   1           6031           8775          10144       6.479e-4       2.910e-1       4.364e-6
   1           3049          17626           7113       9.022e-4       2.724e-1       1.036e-6
   1           3169           8695           2017       9.759e-4       3.000e-1       1.129e-7
   1           5140          11809           4929       6.816e-4       3.000e-1       2.535e-6
   1           4486           5170           7185       9.182e-4       3.000e-1       2.040e-7
   1           3799           7488           6659       8.629e-4       2.954e-1       7.986e-6
   1           5582          11677           5005       8.255e-4       2.547e-1       8.955e-6
   1           4378          11543            862       9.271e-4       2.893e-1       5.457e-6
   1           3965           6745           2578       8.546e-4       3.000e-1       8.405e-6
   1           4576          13081           3983       9.541e-4       2.872e-1       2.843e-6
   1           5854          14031           8457       6.972e-4       2.422e-1       6.233e-6
   1           4587          11622           7591       6.497e-4       3.000e-1       4.119e-8
   1           3694          11991           4808       6.188e-4       3.000e-1       2.491e-7
   1           6726          18415          14147       7.526e-4       2.895e-1       1.692e-6
   1           4970          15754          11745       8.628e-4       3.000e-1       8.710e-6
   1           4397           8573           8707       9.504e-4       2.950e-1       5.322e-7
   1           4622          13094           9494       8.817e-4       3.000e-1       4.247e-7
   1           4672           7733           4159       7.392e-4       3.000e-1       8.279e-6
   1           5664          16571           4021       5.781e-4       2.956e-1       6.036e-6
   1           5417          11937            719       7.722e-4       3.000e-1       9.104e-6
   1           4142           8433           5053       7.415e-4       3.000e-1       1.718e-7
   1           5352          14524           3122       9.445e-4       3.000e-1       5.423e-6
   1           5369          22115           1254       7.811e-4       2.951e-1       6.700e-6
   1           3891           5953           7118       8.053e-4       3.000e-1       1.296e-6
   1           3342          17827           1375       9.430e-4       3.000e-1       8.270e-6
   1           4746           6100           6944       9.654e-4       2.836e-1       8.905e-7
   1           4502          18033          10486       8.758e-4       2.844e-1       1.379e-7
   1           5111           8075           6628       9.305e-4       2.963e-1       1.862e-7
   1           3265          17837           5962       9.167e-4       3.000e-1       4.224e-6
   1           6139          14065           7411       9.375e-4       2.912e-1       1.204e-7
   1           5572           7480           4658       9.835e-4       3.000e-1       6.655e-6
   1           6232          13269           8768       8.793e-4       3.000e-1       2.284e-7
   1           4779           8567           2447       9.426e-4       3.000e-1       2.459e-6
   1           3895          14087           5747       1.000e-3       2.951e-1       1.072e-6
   1           4259           9317           2340       7.792e-4       2.995e-1       1.518e-6
   1           4433           9960           5573       7.990e-4       3.000e-1       3.971e-6
   1           5143           9469           4231       7.337e-4       3.000e-1       5.947e-6
   1           4025          12323           5537       9.344e-4       2.987e-1       1.801e-8
   1           3666          12913           6884       9.588e-4       3.000e-1       6.426e-6
   1           5684          12840           5137       6.737e-4       3.000e-1       3.049e-6
   1           5093           4018           1715       7.827e-4       3.000e-1       4.553e-6
   1           5604           9681           6678       9.743e-4       3.000e-1       1.345e-7
   1           4407          11225          15739       8.926e-4       2.853e-1       6.313e-8
   1           4540          10434           4920       9.179e-4       3.000e-1       9.687e-6
