scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           3303           3420          25178       9.496e-4       2.932e-1       1.000e-5
   1           4748          15053          12283       8.402e-4       3.000e-1       6.576e-6
   1           3934          22278           7827       7.022e-4       3.000e-1       5.753e-8
   1           3662          15129          12342       7.848e-4       2.858e-1       9.715e-6
   1           4645          13136           6917       9.049e-4       3.000e-1       9.720e-7
   1           5002          15456           6396       5.555e-4       2.829e-1       1.534e-7
   1           4853          17435           1398       5.359e-4       2.898e-1       1.000e-5
   1           5090          16148           1933       8.445e-4       3.000e-1       9.866e-6
   1           4697          16246          15552       9.629e-4       2.819e-1       1.000e-5
   1           5898          16764           5978       5.603e-4       2.853e-1       7.947e-6
   1           3906          11435           8009       8.570e-4       3.000e-1       9.006e-6
   1           6345           8124           2465       8.009e-4       3.000e-1       4.543e-6
   1           4417          17744           6434       4.048e-4       2.986e-1       9.373e-6
   1           5614          13073          10081       9.168e-4       3.000e-1       1.000e-5
   1           4845          13380          11992       7.778e-4       3.000e-1       8.643e-6
   1           4735          14721           6245       7.413e-4       3.000e-1       1.000e-5
   1           4753           1591           7987       6.308e-4       2.605e-1       1.355e-7
   1           5755           9253           9145       6.102e-4       2.947e-1       7.151e-7
   1           4888          19256           4235       6.815e-4       3.000e-1       6.505e-6
   1           5272          17897           9285       7.842e-4       3.000e-1       2.306e-6
   1           4635           8361           7575       5.455e-4       3.000e-1       1.389e-7
   1           4711          12185          11780       6.914e-4       3.000e-1       9.592e-7
   1           3373          15790           4852       7.390e-4       3.000e-1       1.000e-5
   1           4151          11708          17246       7.056e-4       2.591e-1       7.742e-6
   1           6128           9278           1667       6.974e-4       3.000e-1       9.857e-6
   1           3109          17528           7718       8.408e-4       2.761e-1       2.758e-6
   1           4418          11231           1075       8.761e-4       2.914e-1       8.554e-6
   1           4740           7764           4613       6.529e-4       3.000e-1       9.774e-6
   1           4747           5904           8399       9.254e-4       2.877e-1       2.891e-6
   1           5575           8043           4941       9.567e-4       3.000e-1       9.029e-6
   1           4003          15895          10580       9.672e-4       2.955e-1       1.000e-5
   1           4879          14189           8030       4.544e-4       2.792e-1       2.830e-6
   1           3240           7816           2174       9.104e-4       3.000e-1       7.697e-6
   1           3378          20026           3702       6.893e-4       2.955e-1       1.000e-5
   1           6113          12774          10670       6.113e-4       2.470e-1       6.928e-6
