scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           1.060        1.075e-1          25.494
   1           1.060        6.559e-2          25.494
   1           1.060        2.732e-1          25.494
   1           1.060        1.158e-1          25.494
   1           1.060        1.002e-1          25.494
   1           1.060        4.196e-2          25.494
   1           1.060        3.465e-1          25.494
   1           1.060        3.457e-1          25.494
   1           1.060        6.649e-2          25.494
   1           1.060        9.904e-2          25.494
   1           1.060        8.404e-2          25.494
   1           1.060        2.202e-1          25.494
   1           1.060        1.354e-1          25.494
   1           1.060        7.458e-2          25.494
   1           1.060        6.465e-2          25.494
   1           1.060        2.198e-2          25.494
   1           1.060        1.198e-2          25.494
   1           1.060        2.539e-2          25.494
   1           1.060        7.875e-2          25.494
   1           1.060        1.317e-1          25.494
   1           1.060        1.588e-2          25.494
   1           1.060        5.258e-1          25.494
   1           1.060        2.892e-2          25.494
   1           1.060        5.347e-2          25.494
   1           1.060        2.742e-2          25.494
   1           1.060        8.662e-1          25.494
   1           1.060        3.953e-2          25.494
   1           1.060        4.518e-2          25.494
   1           1.060        4.485e-2          25.494
   1           1.060        9.121e-1          25.494
   1           1.060        4.093e-2          25.494
   1           1.060        2.153e-2          25.494
   1           1.060        1.553e-2          25.494
   1           1.060        2.032e-2          25.494
   1           1.060        1.950e-1          25.494
   1           1.060        3.442e-2          25.494
   1           1.060        5.040e-2          25.494
   1           1.060        1.160e-2          25.494
   1           1.060        1.894e-2          25.494
   1           1.060        2.603e-1          25.494
   1           1.060        2.395e-2          25.494
   1           1.060        5.549e-1          25.494
   1           1.060        7.569e-2          25.494
   1           1.060        4.642e-2          25.494
   1           1.060        1.807e-2          25.494
   1           1.060        4.627e-2          25.494
   1           1.060        5.788e-2          25.494
   1           1.060        9.714e-2          25.494
   1           1.060        1.654e-2          25.494
   1           1.060        1.075e-1          25.494
   1           1.060        3.028e-2          25.494
   1           1.060        1.622e-1          25.494
   1           1.060        5.783e-1          25.494
   1           1.060        1.587e-2          25.494
   1           1.060        1.335e-2          25.494
   1           1.060        2.410e-2          25.494
   1           1.060        2.396e-1          25.494
   1           1.060        6.494e-2          25.494
   1           1.060        9.203e-1          25.494
   1           1.060        5.750e-2          25.494
   1           1.060        5.253e-2          25.494
   1           1.060        8.721e-2          25.494
   1           1.060        3.561e-2          25.494
   1           1.060        4.875e-2          25.494
   1           1.060           1.745          25.494
   1           1.060        2.951e-2          25.494
   1           1.060        9.050e-2          25.494
   1           1.060        3.682e-2          25.494
   1           1.060        3.015e-2          25.494
   1           1.060        1.161e-2          25.494
   1           1.060        5.931e-2          25.494
   1           1.060        7.351e-2          25.494
   1           1.060        1.528e-2          25.494
   1           1.060        1.998e-2          25.494
   1           1.060           1.901          25.494
   1           1.060        1.500e-1          25.494
   1           1.060        1.590e-1          25.494
   1           1.060        1.077e-1          25.494
   1           1.060        2.343e-1          25.494
   1           1.060        5.165e-2          25.494
   1           1.060        8.845e-2          25.494
   1           1.060        4.915e-2          25.494
   1           1.060        1.288e-2          25.494
   1           1.060        4.738e-2          25.494
   1           1.060        2.594e-2          25.494
   1           1.060        3.635e-1          25.494
   1           1.060        1.549e-2          25.494
   1           1.060        1.292e-1          25.494
   1           1.060        9.317e-1          25.494
   1           1.060        4.050e-2          25.494
   1           1.060        9.171e-2          25.494
   1           1.060        6.664e-2          25.494
   1           1.060        6.401e-2          25.494
   1           1.060        6.045e-2          25.494
   1           1.060        2.123e-1          25.494
   1           1.060        2.252e-1          25.494
   1           1.060        1.735e-2          25.494
   1           1.060        2.985e-2          25.494
   1           1.060        7.709e-2          25.494
   1           1.060        1.235e-2          25.494
   1           1.060        2.372e-2          25.494
   1           1.060        1.989e-2          25.494
   1           1.060        1.649e-2          25.494
   1           1.060        2.851e-2          25.494
   1           1.060        1.511e-1          25.494
   1           1.060        4.249e-2          25.494
   1           1.060        1.480e-1          25.494
   1           1.060        6.738e-1          25.494
   1           1.060        3.031e-1          25.494
   1           1.060        2.752e-1          25.494
   1           1.060        4.588e-1          25.494
   1           1.060           1.169          25.494
   1           1.060        1.834e-2          25.494
   1           1.060        3.436e-2          25.494
   1           1.060        1.026e-1          25.494
   1           1.060        2.636e-2          25.494
   1           1.060        6.044e-2          25.494
   1           1.060        1.058e-1          25.494
   1           1.060        2.623e-2          25.494
   1           1.060        7.144e-2          25.494
   1           1.060        1.360e-1          25.494
   1           1.060        3.375e-2          25.494
   1           1.060        1.993e-2          25.494
   1           1.060        2.455e-1          25.494
   1           1.060        2.198e-1          25.494
   1           1.060        2.007e-1          25.494
   1           1.060        8.221e-2          25.494
   1           1.060        1.212e-2          25.494
   1           1.060        3.576e-1          25.494
   1           1.060        1.223e-1          25.494
   1           1.060        1.927e-2          25.494
   1           1.060        3.108e-2          25.494
   1           1.060        4.434e-2          25.494
   1           1.060        6.095e-2          25.494
   1           1.060        3.147e-2          25.494
   1           1.060        2.638e-2          25.494
   1           1.060        5.211e-2          25.494
   1           1.060        3.787e-2          25.494
   1           1.060        1.889e-2          25.494
   1           1.060        1.739e-2          25.494
   1           1.060        5.084e-2          25.494
   1           1.060           1.114          25.494
   1           1.060        5.816e-2          25.494
   1           1.060        8.483e-2          25.494
   1           1.060        6.974e-2          25.494
   1           1.060        8.848e-2          25.494
   1           1.060        1.359e-2          25.494
   1           1.060        1.658e-2          25.494
   1           1.060        9.756e-2          25.494
   1           1.060        2.238e-2          25.494
   1           1.060        7.539e-2          25.494
   1           1.060        5.205e-1          25.494
   1           1.060        4.756e-2          25.494
   1           1.060        4.018e-2          25.494
   1           1.060        2.281e-2          25.494
   1           1.060        3.340e-2          25.494
   1           1.060        2.530e-2          25.494
   1           1.060        2.148e-2          25.494
   1           1.060        7.707e-2          25.494
   1           1.060        1.957e-2          25.494
   1           1.060        3.800e-1          25.494
   1           1.060        8.225e-2          25.494
   1           1.060        4.648e-2          25.494
   1           1.060        5.947e-2          25.494
   1           1.060        1.557e-1          25.494
   1           1.060        3.091e-2          25.494
   1           1.060        6.868e-2          25.494
   1           1.060        5.070e-2          25.494
   1           1.060        1.878e-1          25.494
   1           1.060        6.053e-2          25.494
   1           1.060        2.933e-2          25.494
   1           1.060        1.190e-1          25.494
   1           1.060        1.360e-2          25.494
   1           1.060           1.263          25.494
   1           1.060        1.063e-1          25.494
   1           1.060        1.839e-1          25.494
   1           1.060        5.071e-2          25.494
   1           1.060        3.370e-2          25.494
   1           1.060        1.327e-2          25.494
   1           1.060        7.755e-2          25.494
   1           1.060        1.591e-1          25.494
   1           1.060        7.413e-2          25.494
   1           1.060        8.362e-2          25.494
   1           1.060        2.549e-2          25.494
   1           1.060        1.142e-2          25.494
   1           1.060        5.139e-2          25.494
   1           1.060        1.609e-2          25.494
   1           1.060        4.602e-2          25.494
   1           1.060        1.571e-2          25.494
   1           1.060        1.950e-1          25.494
   1           1.060        1.355e-1          25.494
   1           1.060        2.089e-1          25.494
   1           1.060        9.313e-2          25.494
   1           1.060        1.379e-2          25.494
   1           1.060        3.937e-2          25.494
   1           1.060        1.348e-1          25.494
   1           1.060        4.342e-2          25.494
   1           1.060        4.384e-1          25.494
   1           1.060        1.789e-1          25.494
   1           1.060        3.322e-1          25.494
   1           1.060        1.040e-1          25.494
   1           1.060        1.982e-2          25.494
   1           1.060        4.495e-2          25.494
   1           1.060        9.204e-2          25.494
   1           1.060        6.780e-1          25.494
   1           1.060        9.965e-2          25.494
   1           1.060        7.912e-2          25.494
   1           1.060        7.769e-2          25.494
   1           1.060        2.700e-2          25.494
   1           1.060        1.275e-2          25.494
   1           1.060        8.372e-2          25.494
   1           1.060        1.361e-1          25.494
   1           1.060        3.775e-2          25.494
   1           1.060        2.762e-2          25.494
   1           1.060        4.622e-2          25.494
   1           1.060        1.817e-1          25.494
   1           1.060        1.147e-1          25.494
   1           1.060        2.629e-2          25.494
   1           1.060        1.621e-2          25.494
   1           1.060        3.438e-2          25.494
   1           1.060        3.580e-2          25.494
   1           1.060        1.243e-1          25.494
   1           1.060        4.311e-2          25.494
   1           1.060        1.698e-2          25.494
   1           1.060        3.497e-1          25.494
   1           1.060        8.439e-2          25.494
   1           1.060        1.947e-1          25.494
   1           1.060        1.853e-1          25.494
   1           1.060        1.436e-2          25.494
   1           1.060        1.187e-1          25.494
   1           1.060        4.321e-1          25.494
   1           1.060        9.552e-1          25.494
   1           1.060        1.227e-2          25.494
   1           1.060        1.596e-1          25.494
   1           1.060        1.678e-2          25.494
   1           1.060        2.248e-2          25.494
   1           1.060        1.142e-2          25.494
   1           1.060        3.224e-2          25.494
   1           1.060        1.801e-2          25.494
   1           1.060        6.620e-2          25.494
   1           1.060        8.968e-1          25.494
   1           1.060        1.027e-1          25.494
   1           1.060        5.159e-2          25.494
   1           1.060        8.182e-2          25.494
   1           1.060        3.331e-2          25.494
   1           1.060        1.498e-2          25.494
