scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000           4.083           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           7.063           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.158           8.540
   1           1.000           9.167           8.540
   1           1.000           3.923           8.540
   1           1.000          10.520           8.540
   1           1.000          10.501           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           3.819           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.299           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000        1.113e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.044           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.826           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.571           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           4.685           8.540
   1           1.000           8.318           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           1.103           8.540
   1           1.000          10.520           8.540
   1           1.000           3.069           8.540
   1           1.000          10.520           8.540
   1           1.000        4.303e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.991           8.540
   1           1.000        1.291e-1           8.540
   1           1.000          10.410           8.540
   1           1.000           5.397           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           3.584           8.540
   1           1.000           3.272           8.540
   1           1.000          10.520           8.540
   1           1.000          10.024           8.540
   1           1.000           9.769           8.540
   1           1.000          10.520           8.540
   1           1.000        9.345e-1           8.540
   1           1.000           8.841           8.540
   1           1.000          10.520           8.540
   1           1.000          10.514           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.267           8.540
   1           1.000          10.488           8.540
   1           1.000           2.252           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           8.959           8.540
   1           1.000          10.520           8.540
   1           1.000           2.218           8.540
   1           1.000           6.015           8.540
   1           1.000          10.520           8.540
   1           1.000          10.242           8.540
   1           1.000           8.321           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           3.500           8.540
   1           1.000          10.520           8.540
   1           1.000           1.589           8.540
   1           1.000           3.438           8.540
   1           1.000           3.274           8.540
   1           1.000           6.949           8.540
   1           1.000        1.249e-1           8.540
   1           1.000           3.007           8.540
   1           1.000          10.520           8.540
   1           1.000           4.613           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           4.784           8.540
   1           1.000          10.520           8.540
   1           1.000           6.956           8.540
   1           1.000           1.325           8.540
   1           1.000           8.466           8.540
   1           1.000          10.520           8.540
   1           1.000           7.792           8.540
   1           1.000           6.094           8.540
   1           1.000           8.239           8.540
   1           1.000           9.650           8.540
   1           1.000          10.520           8.540
   1           1.000           9.773           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           7.393           8.540
   1           1.000        2.328e-1           8.540
   1           1.000           4.476           8.540
   1           1.000           9.291           8.540
   1           1.000           2.198           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.856           8.540
   1           1.000           3.694           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           6.603           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000        4.135e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           4.324           8.540
   1           1.000          10.520           8.540
   1           1.000           5.907           8.540
   1           1.000           9.989           8.540
   1           1.000           9.016           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           5.359           8.540
   1           1.000          10.520           8.540
   1           1.000           2.112           8.540
   1           1.000           9.488           8.540
   1           1.000           9.833           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           7.379           8.540
   1           1.000           9.547           8.540
   1           1.000           1.565           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           7.583           8.540
   1           1.000           9.384           8.540
   1           1.000           2.024           8.540
   1           1.000          10.520           8.540
   1           1.000          10.401           8.540
   1           1.000          10.520           8.540
   1           1.000           7.296           8.540
   1           1.000          10.406           8.540
   1           1.000          10.520           8.540
   1           1.000           6.761           8.540
   1           1.000           6.582           8.540
   1           1.000          10.520           8.540
   1           1.000           2.131           8.540
   1           1.000           8.539           8.540
   1           1.000          10.520           8.540
   1           1.000           5.523           8.540
   1           1.000          10.402           8.540
   1           1.000          10.520           8.540
   1           1.000          10.336           8.540
   1           1.000           1.613           8.540
   1           1.000           3.952           8.540
   1           1.000           5.339           8.540
   1           1.000           6.792           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           7.641           8.540
   1           1.000           9.335           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           2.425           8.540
   1           1.000           9.539           8.540
   1           1.000          10.520           8.540
   1           1.000           7.066           8.540
   1           1.000          10.520           8.540
   1           1.000           9.170           8.540
   1           1.000           6.746           8.540
   1           1.000           8.485           8.540
   1           1.000           4.959           8.540
   1           1.000           6.853           8.540
   1           1.000           8.108           8.540
   1           1.000          10.520           8.540
   1           1.000           2.035           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           8.871           8.540
   1           1.000          10.432           8.540
   1           1.000          10.520           8.540
   1           1.000        8.969e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           4.694           8.540
   1           1.000           6.822           8.540
   1           1.000           5.026           8.540
   1           1.000          10.429           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.404           8.540
   1           1.000        9.102e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.612           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.232           8.540
   1           1.000           8.047           8.540
   1           1.000           2.608           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           8.973           8.540
   1           1.000          10.520           8.540
   1           1.000           7.572           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           2.650           8.540
   1           1.000           3.220           8.540
   1           1.000           1.080           8.540
   1           1.000           9.910           8.540
   1           1.000          10.273           8.540
   1           1.000          10.520           8.540
   1           1.000           8.637           8.540
   1           1.000           9.326           8.540
   1           1.000        2.720e-1           8.540
   1           1.000          10.520           8.540
   1           1.000           9.963           8.540
   1           1.000          10.520           8.540
   1           1.000           7.799           8.540
   1           1.000        4.299e-1           8.540
   1           1.000        1.687e-1           8.540
   1           1.000           7.803           8.540
   1           1.000          10.520           8.540
   1           1.000           2.637           8.540
   1           1.000          10.520           8.540
   1           1.000          10.448           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           7.821           8.540
   1           1.000          10.520           8.540
   1           1.000           9.394           8.540
   1           1.000           3.959           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.303           8.540
   1           1.000           9.951           8.540
   1           1.000           4.920           8.540
   1           1.000           2.129           8.540
   1           1.000           4.091           8.540
   1           1.000          10.520           8.540
   1           1.000           8.213           8.540
   1           1.000          10.079           8.540
   1           1.000          10.520           8.540
   1           1.000           4.881           8.540
   1           1.000           1.565           8.540
   1           1.000           9.040           8.540
   1           1.000        2.044e-1           8.540
   1           1.000          10.520           8.540
   1           1.000        4.828e-1           8.540
   1           1.000           3.040           8.540
   1           1.000          10.520           8.540
   1           1.000          10.411           8.540
   1           1.000          10.516           8.540
   1           1.000          10.520           8.540
   1           1.000           9.336           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           6.567           8.540
   1           1.000          10.217           8.540
   1           1.000          10.045           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           5.747           8.540
   1           1.000          10.483           8.540
   1           1.000           6.783           8.540
   1           1.000        8.395e-2           8.540
   1           1.000           6.130           8.540
   1           1.000          10.520           8.540
   1           1.000        2.954e-1           8.540
   1           1.000           9.524           8.540
   1           1.000          10.520           8.540
   1           1.000        3.188e-2           8.540
   1           1.000          10.520           8.540
   1           1.000        2.704e-1           8.540
   1           1.000        9.174e-3           8.540
   1           1.000           3.103           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           5.330           8.540
   1           1.000           6.974           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           8.057           8.540
   1           1.000           8.032           8.540
   1           1.000           6.507           8.540
   1           1.000           7.819           8.540
   1           1.000          10.520           8.540
   1           1.000           3.900           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           1.761           8.540
   1           1.000          10.372           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.337           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.495           8.540
   1           1.000        3.262e-2           8.540
   1           1.000           9.630           8.540
   1           1.000           7.166           8.540
   1           1.000          10.520           8.540
   1           1.000        6.325e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           9.558           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           8.696           8.540
   1           1.000           8.710           8.540
   1           1.000          10.133           8.540
   1           1.000          10.520           8.540
   1           1.000           8.402           8.540
   1           1.000          10.520           8.540
   1           1.000          10.316           8.540
   1           1.000           9.810           8.540
   1           1.000           3.768           8.540
   1           1.000          10.520           8.540
   1           1.000           2.892           8.540
   1           1.000        1.718e-2           8.540
   1           1.000          10.103           8.540
   1           1.000           6.669           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.174           8.540
   1           1.000        5.194e-1           8.540
   1           1.000           1.231           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           6.588           8.540
   1           1.000          10.417           8.540
   1           1.000          10.520           8.540
   1           1.000           5.970           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           8.421           8.540
   1           1.000          10.520           8.540
   1           1.000        7.478e-1           8.540
   1           1.000        6.344e-1           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           4.957           8.540
   1           1.000          10.272           8.540
   1           1.000           4.315           8.540
   1           1.000          10.322           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000          10.520           8.540
   1           1.000           2.172           8.540
   1           1.000          10.520           8.540
   1           1.000           4.695           8.540
