scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            4682         12711         23197    7.862e-004    2.790e-001    2.263e-006      9.909091      0.801083      4.774335      0.990909
  1            5712         11416          2381    4.345e-004    2.892e-001    9.803e-006     12.000000      0.765991      7.976280      1.090909
  1            5664         12599         10937    7.584e-004    2.972e-001    1.592e-007     12.272727      0.844862     12.801781      0.915254
  1            4349         17043          7906    7.065e-004    3.000e-001    7.347e-006     13.000000      0.823980     10.164546      1.130435
  1            4976          6483         11051    7.770e-004    3.000e-001    9.570e-006     15.000000      0.835516     13.539743      1.044304
  1            3434         11104          4462    9.676e-004    2.744e-001    1.000e-005     11.727273      0.743593     11.774636      0.928058
  1            5827         20357          5481    4.539e-004    2.982e-001    1.000e-005     12.363636      0.832923     10.423230      1.066667
  1            5251         10071          2926    4.286e-004    3.000e-001    2.568e-006     12.545455      0.801549      8.965980      1.007299
  1            5097         20474          7620    6.237e-004    3.000e-001    5.493e-006     12.272727      0.812699     18.938581      0.870968
  1            3910         16685          3993    8.671e-004    2.783e-001    5.672e-006     11.545455      0.823086     11.301957      1.020080
  1            4924         17677          7763    5.958e-004    2.708e-001    1.000e-005     12.545455      0.795734      9.289805      1.108434
  1            3825         17538          6543    9.815e-004    3.000e-001    6.657e-006     13.545455      0.840120     12.264082      0.934169
  1            3472         14316          8069    9.385e-004    2.899e-001    8.698e-006     11.000000      0.787983      9.947877      0.883212
  1            6338         10486         12067    4.571e-004    3.000e-001    9.270e-006     14.909091      0.792877     21.167570      0.942529
  1            4241         14377         10955    8.357e-004    2.164e-001    9.420e-006     14.000000      0.817164     10.581042      1.149254
  1            4953         13882          5796    8.876e-004    3.000e-001    4.071e-007     10.000000      0.748707     11.176330      0.880000
  1            6287         13330          7290    5.163e-004    3.000e-001    6.573e-006     11.818182      0.738176     13.803611      0.970149
  1            5876         10097          6032    7.712e-004    3.000e-001    6.268e-006     12.181818      0.773454     13.148159      0.917808
  1            3966          5946          7616    9.604e-004    2.986e-001    6.842e-006     13.818182      0.824302     18.000313      1.013333
  1            4790         12962          9929    8.255e-004    3.000e-001    2.641e-006     11.272727      0.773215     17.709423      0.855172
  1            5958         17145          4135    4.734e-004    3.000e-001    5.249e-006     10.545455      0.788896     10.270533      0.875472
  1            6763          2765          4422    9.861e-004    2.986e-001    2.432e-006     18.636364      0.874407     30.536985      0.976190
  1            6085          6082          6445    3.683e-004    2.623e-001    9.695e-006     10.636364      0.762203     12.795398      0.854015
  1            4095          4332         11512    6.574e-004    3.000e-001    1.000e-005     14.818182      0.834819     47.537819      0.835897
  1            5424         11818         15602    5.296e-004    3.000e-001    4.993e-006     12.181818      0.785392     10.059161      0.946996
  1            5635         16628         11699    3.995e-004    3.000e-001    1.000e-005     10.818182      0.755732     10.309289      1.067265
  1            4711         14021         11976    9.759e-004    3.000e-001    1.136e-006     11.727273      0.803028      7.806608      1.048780
  1            4536         17207          2331    8.338e-004    3.000e-001    7.347e-006     12.909091      0.793521     36.535248      0.809117
  1            4566          4467          8643    7.205e-004    3.000e-001    8.767e-007     12.636364      0.833277     12.398214      0.965278
  1            5177          9551         14780    5.163e-004    2.983e-001    1.000e-005     12.090909      0.762482      9.262021      0.855305
  1            4420         21241          4999    7.279e-004    3.000e-001    6.839e-006     14.454545      0.792201     22.027119      0.905983
  1            5396         12749          2657    6.187e-004    3.000e-001    1.232e-006     10.363636      0.767499      9.352488      0.942149
  1            5395         14881         10196    5.683e-004    2.755e-001    8.309e-006     13.000000      0.759027     24.818371      0.919614
  1            4593          4640          4694    3.810e-004    3.000e-001    1.000e-005     13.363636      0.815648      9.049366      1.162055
  1            6363         15678         10269    6.699e-004    2.208e-001    9.970e-006     14.636364      0.839809     19.322742      0.996904
  1            6591         11671          6699    9.257e-004    3.000e-001    5.893e-007     11.545455      0.843594     11.292011      0.947761
