scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            4020           418          3072    8.033e-004    2.967e-001    1.276e-006     10.000000      0.737323     12.238573      0.859375
  1            5582         11677          5005    8.255e-004    2.547e-001    8.955e-006     15.454545      0.867410     23.656019      0.971429
  1            4063          9861          4531    7.939e-004    3.000e-001    2.488e-006     11.454545      0.813131      7.506858      0.976744
  1            3602         11010          9995    9.059e-004    3.000e-001    3.260e-007      9.818182      0.805575      9.054161      0.972973
  1            4075          9963          7733    8.231e-004    2.667e-001    6.548e-007     10.818182      0.807609      8.860417      0.888060
  1            5640         15254          8577    8.630e-004    3.000e-001    1.000e-005     15.727273      0.825792     21.131943      1.071207
  1            4120         10060          1283    7.964e-004    3.000e-001    7.650e-006     11.727273      0.797484     11.877257      0.955556
  1            5039         10920           830    8.217e-004    3.000e-001    4.575e-006     12.363636      0.769808     11.805413      1.003690
  1            4147          6809          1913    7.964e-004    1.720e-001    8.250e-008      7.545455      0.705953     11.592186      0.922222
  1            4151         13408           312    9.398e-004    2.995e-001    7.491e-006     11.181818      0.764071      5.373545      1.194175
  1            3135         11575          3837    9.699e-004    3.000e-001    1.000e-005     13.090909      0.813177     20.806528      0.778378
  1            3902          7628          3751    8.883e-004    3.000e-001    8.294e-006     12.454545      0.772443     10.920834      1.100402
  1            4832         10925          4475    9.446e-004    2.979e-001    2.473e-006     12.636364      0.806663     11.332879      0.952055
  1            4288         16426          7036    6.922e-004    3.000e-001    2.088e-006     12.636364      0.818837     15.625897      0.871473
  1            4678         13644          3477    9.724e-004    2.484e-001    7.243e-006     13.363636      0.778584     14.735500      1.084871
  1            5276          7263          7639    6.890e-004    3.000e-001    3.776e-006     13.090909      0.773768     12.796366      0.989691
  1            4865         15020          5422    8.921e-004    2.759e-001    6.774e-007     13.181818      0.854011     15.046965      0.923567
  1            5640         15254          8577    8.630e-004    3.000e-001    1.000e-005     13.090909      0.805463     13.510611      0.996540
  1            3845          3860          5687    7.917e-004    2.632e-001    1.342e-006     10.727273      0.736929     10.495948      0.932806
  1            3555         10602         19431    8.833e-004    2.971e-001    7.786e-006     10.909091      0.729539      8.565144      0.916031
  1            4432          7785          5938    6.713e-004    3.000e-001    8.511e-008     10.727273      0.786272     12.728088      0.867647
  1            6487         17686          5360    5.938e-004    2.920e-001    9.796e-006     14.454545      0.813637     11.962762      1.195489
  1            5345          8688          1226    9.102e-004    3.000e-001    5.620e-007     12.818182      0.811385     12.199011      0.975779
  1            4673          5395           863    7.643e-004    3.000e-001    9.413e-006     14.000000      0.845057     13.699945      1.044068
  1            4673         11094         11382    7.515e-004    3.000e-001    2.798e-006     12.545455      0.826944     24.368027      0.821429
  1            4788         22930          9142    8.585e-004    2.999e-001    6.050e-006     16.090910      0.836900     18.956907      0.919481
  1            3128         19157          8344    7.101e-004    2.955e-001    3.533e-006      8.272727      0.709446      6.293278      0.794760
  1            4936         16815           853    8.364e-004    2.843e-001    7.086e-006     12.363636      0.820802      6.929485      1.070866
  1            3278         12243          4887    9.723e-004    3.000e-001    4.980e-007     10.818182      0.810035      7.821194      0.856115
  1            3577         12935          5804    7.642e-004    3.000e-001    1.000e-005     10.909091      0.782743      6.012676      1.085973
  1            2933          9449          2764    9.607e-004    3.000e-001    1.230e-006     11.727273      0.809804     10.139387      0.914894
  1            5968         14434          5258    8.777e-004    2.959e-001    6.669e-006     13.909091      0.819261     11.155057      1.104693
  1            4060         14496          8422    9.949e-004    2.922e-001    1.962e-006     11.090909      0.806332     12.625404      0.903704
  1            6076         11763          6606    9.616e-004    2.942e-001    8.632e-006     14.727273      0.801559     30.422112      1.018868
  1            5005         14474          8323    7.071e-004    2.787e-001    4.425e-007      8.636364      0.774026      6.866735      0.840708
  1            3376          5020           370    1.000e-003    3.000e-001    9.882e-006     11.454545      0.789186      6.675349      1.150685
  1            4175          6043          4129    9.380e-004    3.000e-001    5.825e-006     10.181818      0.803560      6.191847      0.945148
  1            4721         18603          7364    9.736e-004    2.908e-001    6.114e-006     11.818182      0.797053     10.561986      1.015625
  1            3547          7685          9487    8.211e-004    3.000e-001    3.172e-006     10.363636      0.743963     20.866327      0.719243
  1            3603         14496          2978    8.524e-004    3.000e-001    3.947e-007     12.272727      0.818551     14.387237      0.931035
  1            4643         15272         10395    8.648e-004    2.911e-001    5.068e-006     12.181818      0.832130     12.263563      0.930556
  1            4117         19407          2347    1.000e-003    3.000e-001    5.500e-006     13.363636      0.819940     20.993734      0.960784
  1            5405          3271          5399    7.688e-004    3.000e-001    1.855e-006     12.909091      0.818798     18.721479      0.893082
  1            4452          5801          3040    6.619e-004    3.000e-001    2.456e-006      8.909091      0.685724      5.175828      0.960784
  1            4435          3188          7580    8.901e-004    3.000e-001    9.293e-006     12.909091      0.789388     10.824274      1.059701
  1            4790         12327         15742    6.659e-004    3.000e-001    9.815e-006     12.909091      0.836598     29.007330      0.830409
  1            3997         13672          3980    8.176e-004    3.000e-001    7.691e-006      9.636364      0.734283      7.227828      1.000000
  1            4675         17104          7442    7.873e-004    2.993e-001    4.199e-006     13.363636      0.828804     10.449652      0.933333
  1            3754          7185          5281    8.335e-004    3.000e-001    2.149e-006     10.818182      0.758468     14.922077      0.850000
  1            4610         12957          4292    9.768e-004    3.000e-001    4.598e-006     11.636364      0.793537      8.674093      1.000000
  1            6059          5572         12078    6.886e-004    3.000e-001    4.322e-007     15.636364      0.844116     26.060350      0.937330
