Curvina_golfina <NM=1.0NF>
Cac03
Tmac03
Tmac06
Cac13
Cac14
Cac18
Cyne20
Soc418
Soc423
Soc554
Soc609
Pop
Co09-CO13 ,  176180 147147 134136 184184 154154 241249 270270 250250 166168 196200 255267
Co09-SC01 ,  184188 141145 134136 182184 164168 241251 270270 250251 166166 198200 251255
Co09-SC02 ,  174194 153160 134134 188192 152168 247251 270270 251252 166168 192223 259267
Co09-SC03 ,  184190 151158 134138 190216 164166 251255 270270 250251 166166 192192 255255
Co09-SC04 ,  174176 158162 134134 180208 164166 237249 270270 251252 166168 186200 259259
Co09-SC05 ,  176176 156158 134136 180194 162164 247251 270270 250250 166166 188192 255255
Co09-SC06 ,  174178 156158 134134 200200 162170 241255 270274 250252 166166 192194 259259
Co09-SC07 ,  178178 156160 134134 180222 156166 237241 270270 250250 166166 192205 255255
Co09-SC08 ,  178178 145162 134134 160170 152166 237237 264270 251252 166168 192192 255255
Co09-SC10 ,  172178 156160 134134 168200 152158 237247 270270 246250 166166 192202 255255
Co09-SC11 ,  176182 155158 134136 176176 150168 239255 270270 251251 166168 186198 255261
Co09-SC12 ,  178182 156162 134136 186214 166170 243247 270270 250251 166166 196209 255255
Co09-SC14 ,  178180 156158 134136 186192 162166 241253 270270 246251 166166 196205 255257
Co09-SC15 ,  174178 155160 134134 180194 154166 237251 270270 250250 166168 188198 255257
Co09-SC16 ,  168176 153176 134136 178192 154156 243249 270270 246252 166166 192205 249255
Co09-SC18 ,  176178 143162 134136 178186 164166 241241 270270 246251 166166 184184 249255
Co09-SC19 ,  176190 151156 136136 178180 150166 237251 242274 250251 166168 192205 255259
Co09-SC20 ,  190190 156158 134134 192226 166168 237251 270270 251252 166166 194227 259265
Co09-SC21 ,  184188 143145 134136 182184 164168 241251 270270 250251 166166 198198 251255
Co09-SC23 ,  174188 156168 134136 180196 166178 239241 270270 250250 166168 192192 249257
Co09-SC24 ,  176196 155158 134134 186186 166168 241253 270270 250252 166166 192198 255259
Co09-SC25 ,  168174 153155 134136 180186 162168 237253 270270 250251 166166 184196 255257
Co09-SC27 ,  174182 155158 134140 172240 162170 241247 270274 251251 166168 200205 255261
Co09-SC28 ,  178190 145156 134134 168184 138138 237241 270270 250250 166166 182194 259261
Co09-SC29 ,  190190 162164 134136 184192 162182 241255 270270 250250 166166 180190 259259
Co09-SC30 ,  174178 156158 134136 172192 166166 241249 270270 250250 166166 186192 257261
Co09-SC31 ,  184196 153160 134136 168188 166168 237253 270270 250251 166166 192194 249255
Co09-SF05 ,  182188 145158 134136 192222 166166 237247 270270 251252 166168 190194 255259
Co09-SF08 ,  172212 153156 136136 180192 162166 237249 270270 250251 166166 192198 257271
Co09-SF12 ,  174182 156176 134136 180200 160166 241249 270270 250252 166166 194202 255255
Co09-SF13 ,  176182 149156 134136 186216 164164 241241 270270 250252 166168 192217 249253
Co09-SF15 ,  176192 162176 134134 172192 166166 241249 270272 250251 166166 192196 255265
Co09-SF16 ,  174182 168174 134138 180188 166166 241241 270270 251254 166166 182194 255255
Co09-SF20 ,  174184 162166 134134 186190 154184 241251 270270 250250 166166 198225 255257
Co09-SF21 ,  176178 162162 134140 186192 156168 237241 266270 250251 166168 192192 255259
Co09-SF22 ,  176178 160162 134134 186198 150170 237239 270274 251254 166168 202213 251259
Co09-SF24 ,  174190 153160 134136 192192 164166 237249 262270 250250 166166 192194 255257
Co09-SF25 ,  176178 162164 134134 180192 164168 237241 266270 250251 166168 184192 255261
Co09-SF27 ,  174178 153156 134136 174180 168170 241249 270270 250251 166168 192194 255257
Co09-SF28 ,  174178 164168 134134 192192 154172 237241 270270 250252 166166 192198 255257
Co09-SF29 ,  174176 156166 134134 164172 162172 237241 270270 250251 166166 192194 255259
Co09-SF30 ,  176176 160160 134134 172180 150168 237241 270282 251251 166166 190194 253257
Co09-SF301 ,  174176 156158 134136 168184 154164 237249 270274 251252 166166 182209 253255
Co09-SF302 ,  176190 151168 134134 184184 158168 237241 270274 250251 166168 184192 255259
Co09-SF303 ,  174188 160160 134134 188194 166168 241247 270270 251251 166168 192200 259261
Co09-SF304 ,  176180 156164 134136 184204 156168 241241 270270 251251 166166 192194 253255
Co09-SF307 ,  174178 156162 134136 172180 164166 249253 270270 250251 166168 184184 255257
Co09-SF308 ,  176190 156164 134134 190192 154168 253263 270270 250252 166168 194194 255257
Co09-SF309 ,  174214 149155 134134 180212 160170 237249 270278 250251 166166 192198 255257
Co09-SF310 ,  176188 149170 134134 186202 162168 241247 270270 250251 166168 180192 253255
Co09-SF311 ,  172178 156162 134134 180194 164174 241241 270270 250251 166166 207251 255257
Co09-SF324 ,  174176 151151 134138 192208 150156 237249 270270 250251 166166 192211 257257
Co09-SF328 ,  176180 133160 134134 192206 164166 237237 266270 250252 166166 184196 255255
Co09-SF331 ,  190192 151160 134138 180198 138168 239241 270270 250251 166168 192196 255259
Co09-SF335 ,  174188 151162 134136 186190 156162 237255 270270 251252 166168 200265 257263
Co09-SF341 ,  172178 164168 134134 186206 146184 237241 270270 250250 166166 192225 247249
Co09-SF349 ,  176176 160166 134134 224228 164168 237247 262270 251251 166166 196202 257257
Co10-SF50 ,  174176 160164 134134 184188 152170 237237 266270 250251 166166 184198 257257
Co13-2082 ,  174184 156162 134134 172192 168168 237247 270274 250251 166166 190192 255255
Co13-2084 ,  176178 160160 134134 180190 154162 237241 270270 246250 166166 192200 257257
Co13-2085 ,  188190 149164 134134 186192 166170 247253 270270 252252 166166 178178 249255
Co13-2086 ,  176178 149156 134134 186186 166170 249261 270270 250252 166166 196200 255255
Co13-2087 ,  174178 155178 134136 186190 156164 249251 270270 250251 168168 192192 241257
Co13-2092 ,  176176 145160 134134 168172 158166 241253 270270 251251 166166 184192 257259
Co13-2093 ,  174176 160160 136136 192192 130166 237253 270274 250251 166166 186192 255255
Co13-2097 ,  178192 155170 134136 184220 162168 237243 270270 250251 168168 180200 257263
Co13-2098 ,  174174 151162 134134 184192 158166 251253 270270 251251 166166 188215 255261
Co13-2099 ,  174176 158158 134134 172184 166166 237251 270270 251254 166166 196223 251257
Co13-2100 ,  180204 166166 134134 192192 166182 237237 270270 250251 166166 192196 255259
Co13-2101 ,  194194 151155 134134 192212 146166 237241 270270 251252 166166 198202 257259
Co13-2102 ,  174176 153156 134134 176176 164166 247249 270270 250250 166166 190215 255255
Co13-2103 ,  176184 156164 134134 166184 166168 241251 270270 250250 168168 200202 257261
Co13-2104 ,  178178 158160 136136 178192 166166 249265 270274 250250 166168 192192 255255
Co13-2105 ,  178188 151158 132134 192206 164170 249251 270270 250252 166166 188192 255261
Co13-2106 ,  174184 160160 134136 180180 166168 249251 270270 251252 166166 184192 253267
Co13-2107 ,  176188 153168 134134 182184 166166 247249 266270 246250 166166 188200 255255
Co13-2108 ,  176178 156168 134134 180192 152166 237241 270270 251251 168168 186194 255259
Co13-2109 ,  174176 155158 134138 184186 162166 239249 270270 250250 166168 190190 257261
Co13-2110 ,  178188 164178 134134 182184 162166 237249 270270 251252 166168 182192 249261
Co13-2111 ,  180188 166168 134134 186186 166168 249251 270270 250250 166166 190198 251257
Co13-2112 ,  178196 145155 134134 202224 166170 237251 270270 250250 166166 192194 253255
Co13-2114 ,  174178 158158 134136 186230 162166 239241 270274 250251 166168 192198 257259
Co13-2115 ,  188192 133145 134136 180190 164164 237247 270270 250251 166166 190192 255255
Co13-2116 ,  174176 145151 134136 172184 154162 245247 268274 250250 166166 194211 255259
Co13-2117 ,  192206 155162 134134 172194 156170 237243 270270 250251 166166 192196 249255
Co13-2119 ,  194198 143151 134134 168192 164166 247247 270270 251251 166168 186213 249255
Co13-2120 ,  174176 155176 134142 180180 162166 243247 266270 250251 166168 192192 257261
Co13-2121 ,  176192 156178 136138 176188 164168 237247 270270 250250 166166 192227 253257
Co13-2122 ,  176176 162162 134136 174178 170170 237245 270270 246251 166166 188192 255259
Co13-2123 ,  178178 156166 134134 184190 164168 237247 266270 250250 166166 182202 251255
Co13-2124 ,  176194 162162 134136 180186 164168 237241 270270 250251 166166 192194 255255
Co13-2125 ,  178190 149166 134134 192216 166168 241249 270270 250251 168168 192213 255257
Co13-2126 ,  174190 143147 136136 184192 164170 241249 266270 250251 166168 192192 255259
Co13-2127 ,  174188 158166 134134 176186 166168 251251 266270 251251 166168 182190 255255
Co13-2128 ,  176178 153164 134134 170186 154166 237247 270274 251252 166166 192211 255255
Co13-2129 ,  186188 137164 134134 184184 150164 239247 270270 250251 166166 190192 255255
Co13-2130 ,  174178 153156 134136 182220 154156 239241 274274 250251 166166 192192 253261
Co13-2131 ,  176178 141158 134134 170180 156168 237251 270270 250251 166166 194194 257261
Co13-2132 ,  174174 164166 134136 192228 166172 237247 264270 250250 166166 192196 255255
Co13-2133 ,  178180 158162 134136 190192 168168 247247 262270 251251 166168 186192 251261
Co13-2134 ,  174176 156160 134136 172192 144152 237251 270270 250251 166168 213223 255257
Co13-2135 ,  174178 145160 134134 184220 166168 249251 270270 250251 166166 184200 249261
Co13-2136 ,  174180 147164 134134 180194 166180 237241 270270 250250 166166 192192 255257
Co13-2137 ,  176190 158160 134136 192210 164166 241241 270270 250251 166168 192192 251255
Co13-2139 ,  174200 145156 134134 180202 166168 237237 270274 250252 166166 194194 255261
Co13-2140 ,  178178 158166 136136 184186 164166 249251 270270 251251 166166 192200 249255
Co13-2141 ,  184190 149160 134134 170186 130168 241251 270270 246252 166166 194198 265267
Co13-2142 ,  176188 156160 134134 190196 168168 237265 262270 250250 166166 190217 255261
Co13-2143 ,  176182 147166 134136 180192 168168 241263 262270 251251 166168 192198 249257
Co13-2144 ,  174176 149156 134136 180180 156168 237249 262270 250250 166168 182190 255257
Co13-2145 ,  176182 156158 134136 186188 162170 237239 270270 250251 166166 192217 255257
Co13-2146 ,  174176 156158 134134 180186 156166 237255 270274 250251 166168 186192 249255
Co13-2147 ,  174178 155156 136142 184196 166176 241249 270274 250250 166166 207207 249249
Co13-2149 ,  176188 156156 134136 182186 166166 237243 270270 250250 166166 200202 255267
Co13-2150 ,  178188 145151 134134 184186 152152 237247 270270 251252 166166 192209 253267
Co13-2184 ,  178188 155160 134134 180180 164168 251251 270270 250251 166166 207207 255255
