State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
1	0.359223	-4241.149532	4.02531	1.822678	4.686291	0.740384	-3.469301	0.369359	4.612096	0.473811
2	0.273684	-4270.081534	3.439925	1.679394	4.100907	0.195283	-2.883917	0.466224	4.026711	0.440108
3	0.287234	-4265.06813	2.224271	1.751587	2.885252	0.25013	-1.677844	0.428445	2.820638	0.609399
4	0.236559	-4190.971446	3.412942	1.33576	4.073924	0.212245	-2.866515	0.428445	4.00931	0.485172
5	0.241379	-4639.086006	4.32535	1.501278	5.058284	0.207659	-3.778923	0.480883	4.962783	0.357644
6	0.217391	-4427.942422	3.247703	1.584057	3.980637	0.142448	-2.701276	0.51212	3.885135	0.254108
7	0.275862	-4623.837048	3.380684	1.158877	4.190108	0.216738	-2.814089	0.533972	4.018116	0.233506
8	0.27619	-4268.970933	3.79138	1.44846	4.44725	0.20078	-3.146289	0.52395	4.428813	0.681116
9	0.190476	-4198.168307	2.635139	1.289277	3.291009	0.074085	-1.990047	0.52427	3.272571	0.453908
10	0.217391	-4034.134038	4.112344	1.271713	4.820132	0.009594	-3.467252	0.480882	4.749776	0.376915
11	0.242105	-4313.350978	4.376424	1.376337	5.093624	0.03406	-3.740744	0.4163	5.023268	0.415712
12	0.23301	-4199.550853	4.906748	1.302258	5.623948	0.078864	-4.271068	0.507559	5.553592	0.473055
13	0.261682	-4208.119563	6.402382	1.070701	7.119582	0.138974	-5.766702	0.41346	7.049226	0.413014
14	0.260417	-4209.552679	4.825648	1.099502	5.564905	0.06064	-4.19433	0.61333	5.476205	0.499772
15	0.4	-4265.228492	3.599715	0.799256	4.338972	0.036085	-2.968397	0.770321	4.250272	0.437476
16	0.377551	-4411.322058	3.799654	0.730161	4.620363	0.101905	-3.168337	0.801595	4.450211	0.370714
17	0.261364	-4238.441613	4.124798	0.563114	4.945507	0.015339	-3.501772	0.781056	4.783647	0.261992
18	0.242718	-4146.057849	3.946023	0.552472	4.766732	0.032601	-3.322997	0.759107	4.604872	0.230736
19	0.282609	-4572.422744	2.969945	0.71904	3.787405	0.039452	-2.370402	0.822057	3.628794	0.374668
20	0.342857	-4463.082103	4.330226	0.557836	5.147685	0.036438	-3.730682	0.796311	4.989074	0.085718
21	0.26	-4462.716291	2.152623	0.551793	2.994497	0.006851	-1.553079	0.79473	2.811472	0.296136
22	0.351064	-4217.626234	3.456657	0.651021	4.229541	0.010691	-2.813974	0.738064	4.102396	0.468683
23	0.193182	-4325.556659	1.763517	0.684811	2.534711	0.011407	-1.120834	0.885759	2.409256	0.269418
24	0.305263	-4307.686016	4.09244	0.580974	4.889802	0.0255	-3.45295	0.894801	4.741372	0.229814
25	0.280374	-4074.168666	2.977309	0.413301	3.853066	0.140662	-2.327631	0.95189	3.616053	0.193366
26	0.254902	-4037.745313	3.318588	0.427264	4.194345	0.086946	-2.708481	0.904778	3.996902	0.248046
27	0.293478	-4097.175979	4.848639	0.314944	5.724397	0.116461	-4.238532	0.937768	5.526954	0.194668
28	0.293578	-4091.971028	3.764815	0.37671	4.614587	0.147321	-3.154707	0.917142	4.443129	0.279794
29	0.258427	-4151.002902	5.6372	0.303628	6.486973	0.032436	-5.027093	0.962689	6.315515	0.290369
30	0.22449	-4023.138955	4.840574	0.234162	5.710092	0.098679	-4.250212	1.025218	5.518888	0.284589
31	0.25	-3900.593431	3.423093	0.24272	4.297685	0.171314	-2.800991	0.991738	4.101408	0.223151
32	0.244681	-4265.50789	4.206329	0.309237	5.144607	0.137021	-3.647913	0.917274	4.948329	0.09508
33	0.266667	-4339.023393	3.953725	0.202003	4.66298	0.280293	-3.394336	0.81156	4.695725	0.11991
34	0.23301	-4166.250634	5.001922	0.221354	5.711177	0.370313	-4.46134	0.644695	5.762729	0.200312
35	0.263158	-3793.14941	5.363056	0.276752	6.072311	0.45914	-4.822474	0.675503	6.123862	0.316875
36	0.181818	-3904.75851	5.441551	0.234407	6.150806	0.466201	-4.900969	0.675503	6.202358	0.323276
37	0.2	-3922.960775	5.103865	0.264243	5.81312	0.335228	-4.563283	0.715569	5.864672	0.291493
38	0.26506	-3753.745057	4.549665	0.183282	5.339924	0.385044	-4.009083	0.70018	5.310472	0.304864
39	0.291262	-4074.831242	3.488845	0.117315	4.470101	0.670225	-3.005347	0.583728	4.33679	0.299646
40	0.290323	-4440.181521	2.769853	0.182521	3.767826	0.659981	-2.286355	0.601631	3.617798	0.25755
41	0.232323	-3681.697633	4.313372	0.258653	5.273401	0.644331	-3.795928	0.640932	5.150302	0.280218
42	0.107843	-4324.798111	4.496217	0.24516	5.537325	0.598699	-4.021156	0.640932	5.333148	0.433289
43	0.174419	-4612.591238	2.008934	0.171812	3.037721	0.667592	-1.604932	0.581132	2.833545	0.380767
44	0.207921	-4710.896828	2.069231	0.184331	3.098019	0.763529	-1.665229	0.629771	2.893842	0.394077
45	0.150538	-4911.84636	4.550045	0.164977	5.460124	0.672377	-4.146042	0.608425	5.332923	0.572111
46	0.133333	-4192.532641	2.141927	0.185672	3.147207	0.700075	-1.696037	0.486489	2.92956	0.433923
47	0.139785	-4473.850414	3.670401	0.105176	4.675681	0.660976	-3.234989	0.486489	4.458034	0.33675
48	0.2	-4383.78508	4.128441	0.15846	5.133721	0.482018	-3.693029	0.486489	4.916074	0.484686
49	0.2	-4219.750939	4.077203	0.117637	5.082483	0.797146	-3.641792	0.486489	4.932306	0.326806
50	0.171717	-4368.741132	1.588322	0.127771	2.546447	0.73605	-1.15291	0.417523	2.443424	0.493445
51	0.108911	-4631.150382	3.387368	0.120132	4.320371	0.527091	-2.951956	0.425165	4.242471	0.644057
52	0.22619	-4577.825399	3.819478	0.098115	4.741539	0.594341	-3.400733	0.457448	4.674581	0.488127
53	0.141304	-4548.014274	4.071656	0.083295	4.971626	0.633726	-3.652911	0.457448	4.926759	0.413669
54	0.153846	-4623.846103	3.639156	0.06426	4.539126	0.591373	-3.220411	0.385476	4.494259	0.579621
55	0.137615	-4593.763733	3.139158	0.088764	4.039128	0.493317	-2.720413	0.400421	3.994261	0.534956
56	0.121212	-4216.442194	4.181692	0.039752	5.060323	0.497619	-3.720497	0.400421	5.036795	0.541535
57	0.132653	-4110.739873	3.698997	0.055226	4.577629	0.438003	-3.237802	0.366373	4.5541	0.669976
58	0.221053	-3961.965183	4.111285	0.070385	4.987601	0.294038	-3.647774	0.35984	4.964072	0.714155
59	0.23913	-4170.840055	3.988972	0.018178	4.874107	0.283772	-3.604672	0.405299	4.830485	0.59401
60	0.272727	-4230.623236	4.350829	0.054076	5.234118	0.273416	-3.936353	0.378818	5.164012	0.576312
61	0.232558	-3575.270027	3.830334	0.078703	4.591899	0.309475	-3.415858	0.358325	4.643517	0.406888
62	0.303922	-3746.415988	3.256513	0.145593	4.018078	0.336812	-2.842037	0.342606	4.069696	0.396074
63	0.159574	-4127.462725	1.370463	0.259438	2.132029	0.283753	-1.020271	0.298288	2.09911	0.231761
64	0.207921	-4213.840093	4.201241	0.222158	5.014298	0.296568	-3.851049	0.339723	4.929888	0.252101
65	0.137255	-4213.120155	4.407715	0.220653	5.220772	0.225572	-4.057523	0.331207	5.136362	0.245747
66	0.128713	-4160.711012	4.872017	0.29794	5.685074	0.236413	-4.521824	0.331207	5.600664	0.284938
67	0.242424	-4724.212216	3.844293	0.241352	4.747373	0.189833	-3.542081	0.351021	4.57294	0.199179
68	0.148936	-3996.434594	3.844777	0.212745	4.747857	0.199092	-3.542565	0.382177	4.573424	0.239648
69	0.226804	-3954.069083	4.66897	0.323697	5.664868	0.133482	-4.366758	0.403958	5.397617	0.149837
70	0.326316	-3974.552558	3.141192	0.235634	4.095251	0.304698	-2.83898	0.343996	3.869839	0.315479
71	0.155556	-3922.331687	4.750233	0.176136	5.704293	0.249577	-4.448021	0.365316	5.47888	0.275863
72	0.190909	-4175.784866	4.769973	0.249692	5.724033	0.228107	-4.467761	0.33769	5.49862	0.302487
73	0.179245	-3894.657289	3.793883	0.272371	4.747942	0.200842	-3.491671	0.350346	4.52253	0.221643
74	0.222222	-3776.631413	2.668823	0.283679	3.55384	0.253155	-2.366611	0.381073	3.39747	0.204573
75	0.217822	-3799.54636	4.746309	0.236598	5.631326	0.232147	-4.444097	0.358813	5.474956	0.203069
76	0.173469	-3948.889294	3.963158	0.263374	4.848175	0.18936	-3.660946	0.360523	4.691806	0.144612
77	0.182692	-4253.798369	5.260019	0.315187	6.145035	0.179587	-4.957807	0.276762	5.988666	0.378442
78	0.228571	-4341.974688	3.297953	0.286714	4.214355	0.379368	-2.995741	0.240304	4.0266	0.352944
79	0.205882	-4526.089456	2.626149	0.348522	3.542551	0.381273	-2.323937	0.253551	3.354796	0.253632
80	0.247059	-4445.585684	2.927115	0.366977	3.843517	0.296497	-2.624903	0.244832	3.655762	0.347716
81	0.182692	-4651.176187	2.51889	0.289437	3.435292	0.374657	-2.216678	0.237	3.247537	0.355675
82	0.141414	-4553.094451	3.573507	0.348428	4.489909	0.326759	-3.271295	0.202135	4.302154	0.397043
83	0.126214	-4637.137454	3.172841	0.328487	4.115404	0.32514	-2.89679	0.22954	3.927649	0.306883
84	0.122642	-4584.82636	3.586087	0.349525	4.524303	0.250565	-3.305689	0.205215	4.340895	0.37948
85	0.122642	-4583.580595	3.876192	0.355829	4.814408	0.298714	-3.595795	0.154889	4.631001	0.33125
86	0.180851	-4262.144751	3.389786	0.351618	4.376382	0.238992	-3.07386	0.176976	4.109067	0.282353
87	0.176991	-4982.472834	2.189197	0.308238	3.334784	0.29435	-1.949467	0.208517	2.908478	0.316125
88	0.141414	-4987.643913	2.388185	0.279661	3.533772	0.20002	-2.148455	0.212952	3.107466	0.302997
89	0.14433	-5140.061577	1.859291	0.279661	3.004878	0.147067	-1.644561	0.185478	2.578571	0.337007
90	0.219048	-5082.762122	1.722264	0.27694	2.867851	0.157314	-1.507535	0.166923	2.441545	0.36623
91	0.142857	-4980.506418	3.009358	0.323799	4.156612	0.129087	-2.796295	0.166923	3.728639	0.361518
92	0.136364	-4727.787575	4.563032	0.357229	5.710286	0.073113	-4.34997	0.249654	5.282313	0.334848
93	0.197917	-5148.438464	3.793926	0.311467	4.941179	0.077687	-3.580863	0.199411	4.513206	0.375
94	0.190476	-4678.959893	4.743265	0.311467	5.890519	0.055025	-4.530202	0.133456	5.462546	0.410968
95	0.12963	-4781.700273	3.764973	0.331998	4.912226	0.126163	-3.55191	0.138967	4.484253	0.389082
96	0.131579	-4700.875722	3.669694	0.312031	4.816948	0.165742	-3.456631	0.185682	4.388975	0.358894
97	0.161905	-4796.963164	3.811774	0.320168	4.959028	0.140584	-3.598712	0.162568	4.531055	0.355708
98	0.221053	-4617.085149	3.486746	0.384764	4.634	0.20649	-3.273684	0.077045	4.180578	0.389468
99	0.12605	-4871.318433	3.97592	0.298047	5.129531	0.149656	-3.762857	0.121469	4.669752	0.384594
100	0.242105	-4950.810406	3.897307	0.313056	5.050918	0.105351	-3.684244	0.189268	4.591139	0.422684
101	0.273684	-4627.05475	4.535516	0.354919	5.808297	0.056542	-4.322453	0.192694	5.229348	0.405881
102	0.228571	-4974.422056	4.898865	0.299584	6.142382	0.061348	-4.688848	0.203268	5.548253	0.472196
103	0.205882	-4913.397249	1.960716	0.299584	3.216659	0.111756	-1.763124	0.200917	2.610104	0.431165
104	0.214286	-5329.387984	3.584905	0.250515	4.840847	0.076225	-3.387313	0.221158	4.234292	0.433453
105	0.183908	-4406.607882	4.020641	0.271433	5.145283	0.078856	-3.758862	0.216307	4.670028	0.478336
106	0.268519	-4418.801033	3.450042	0.271433	4.625987	0.103385	-3.206155	0.168374	4.117321	0.418147
107	0.252874	-4297.91235	4.552036	0.25782	5.758116	0.103505	-4.308149	0.21276	5.219316	0.463254
108	0.205357	-4573.992662	3.91684	0.239527	5.12292	0.018365	-3.672953	0.260762	4.584119	0.493696
109	0.174757	-4525.154107	2.198212	0.25445	3.521959	0.078489	-1.954325	0.271926	2.865491	0.465644
110	0.163462	-4243.377816	3.610556	0.305062	4.914896	0.067203	-3.360288	0.19665	4.277835	0.514424
111	0.323529	-4517.666758	4.408026	0.282154	5.712365	0.005065	-4.157758	0.207552	5.075305	0.437591
112	0.268519	-4739.426233	3.762719	0.282154	5.067058	0.014727	-3.512451	0.226517	4.429998	0.416435
113	0.185484	-4681.60922	4.693739	0.292552	5.998079	0.19734	-4.443472	0.223917	5.361019	0.379179
114	0.156863	-4096.261029	3.423196	0.379209	4.729041	0.045273	-3.174433	0.180292	4.09198	0.377888
115	0.185567	-4725.389365	1.358539	0.354793	2.692931	0.138981	-1.138324	0.279542	2.055871	0.416813
116	0.13	-4562.201673	2.048223	0.356042	3.382616	0.275745	-1.80508	0.270019	2.722627	0.468767
117	0.134021	-4727.394895	2.169939	0.307255	3.423993	0.284798	-1.926797	0.270019	2.794606	0.401776
118	0.203704	-4375.090291	4.035285	0.312945	5.289339	0.208525	-3.792142	0.181909	4.659952	0.493342
119	0.120879	-4264.289369	4.831607	0.312945	6.085661	0.279183	-4.588465	0.183391	5.456274	0.538951
120	0.221154	-4531.447304	4.594662	0.333586	5.825444	0.142361	-4.35152	0.172537	5.21933	0.504131
121	0.163793	-4584.862112	4.052864	0.414265	5.299958	0.078164	-3.884773	0.189672	4.752583	0.454274
122	0.171429	-4288.321334	2.504399	0.41769	3.751492	0.118957	-2.336307	0.175215	3.284474	0.455334
123	0.108696	-4307.707598	2.319595	0.417322	3.566688	0.110684	-2.151503	0.197917	3.09967	0.464933
124	0.211009	-4261.430444	3.128378	0.459967	4.386236	0.085558	-2.960286	0.195294	3.930271	0.520315
125	0.193548	-4392.515577	3.719172	0.486872	4.988784	0.28114	-3.562834	0.148578	4.499109	0.52752
126	0.203704	-4393.751463	2.689848	0.425215	3.870229	0.351134	-2.53351	0.17277	3.469786	0.443206
127	0.090909	-4004.418655	2.576678	0.438264	3.757059	0.399532	-2.42034	0.17277	3.356616	0.381728
