# This document produced by structureHarvester core version vA.2 July 2014
# http://www.structureharvester.com/
# https://github.com/dentearl/structureHarvester/
# http://taylor0.biology.ucla.edu/structureHarvester
# http://users.soe.ucsc.edu/~dearl/software/structureHarvester
# Written by Dent Earl, dearl (a) soe ucsc edu.
# CITATION:
# Earl, Dent A. and vonHoldt, Bridgett M. (2012)
# STRUCTURE HARVESTER: a website and program for visualizing
# STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
# Core version: vA.2 July 2014
# File generated at 2022-Apr-18 16:46:36 PDT
#

##########
# K	Reps	mean est. LnP(Data)	stdev est. LnP(Data)
1	5	-4467.860000	0.554977
2	5	-4476.780000	4.758886
3	5	-4490.500000	4.506107
4	5	-4502.760000	28.018530
5	5	-4517.620000	24.054355

##########
# File name	Run #	K	Est. Ln prob. of data	Mean value of Ln likelihood	Variance of Ln likelihood
HW_CurvinaNo_PriorsResultsNo_Priors_run_4_f	4	1	-4467.9	-4446.0	43.9
HW_CurvinaNo_PriorsResultsNo_Priors_run_5_f	5	1	-4467.4	-4445.9	43.1
HW_CurvinaNo_PriorsResultsNo_Priors_run_1_f	1	1	-4467.6	-4445.9	43.4
HW_CurvinaNo_PriorsResultsNo_Priors_run_3_f	3	1	-4467.6	-4445.9	43.4
HW_CurvinaNo_PriorsResultsNo_Priors_run_2_f	2	1	-4468.8	-4446.2	45.2
HW_CurvinaNo_PriorsResultsNo_Priors_run_6_f	6	2	-4484.1	-4422.9	122.4
HW_CurvinaNo_PriorsResultsNo_Priors_run_8_f	8	2	-4472.8	-4425.8	94.1
HW_CurvinaNo_PriorsResultsNo_Priors_run_10_f	10	2	-4472.8	-4425.0	95.5
HW_CurvinaNo_PriorsResultsNo_Priors_run_9_f	9	2	-4478.7	-4424.0	109.3
HW_CurvinaNo_PriorsResultsNo_Priors_run_7_f	7	2	-4475.5	-4425.5	100.1
HW_CurvinaNo_PriorsResultsNo_Priors_run_14_f	14	3	-4489.3	-4416.2	146.3
HW_CurvinaNo_PriorsResultsNo_Priors_run_12_f	12	3	-4497.3	-4415.8	163.0
HW_CurvinaNo_PriorsResultsNo_Priors_run_11_f	11	3	-4485.8	-4414.4	142.8
HW_CurvinaNo_PriorsResultsNo_Priors_run_15_f	15	3	-4487.7	-4415.3	144.9
HW_CurvinaNo_PriorsResultsNo_Priors_run_13_f	13	3	-4492.4	-4415.5	153.9
HW_CurvinaNo_PriorsResultsNo_Priors_run_18_f	18	4	-4492.1	-4421.4	141.4
HW_CurvinaNo_PriorsResultsNo_Priors_run_17_f	17	4	-4504.9	-4415.7	178.3
HW_CurvinaNo_PriorsResultsNo_Priors_run_16_f	16	4	-4549.8	-4413.6	272.5
HW_CurvinaNo_PriorsResultsNo_Priors_run_20_f	20	4	-4489.3	-4419.0	140.4
HW_CurvinaNo_PriorsResultsNo_Priors_run_19_f	19	4	-4477.7	-4418.4	118.7
HW_CurvinaNo_PriorsResultsNo_Priors_run_25_f	25	5	-4483.1	-4421.0	124.2
HW_CurvinaNo_PriorsResultsNo_Priors_run_23_f	23	5	-4526.8	-4414.5	224.5
HW_CurvinaNo_PriorsResultsNo_Priors_run_24_f	24	5	-4546.6	-4420.1	252.9
HW_CurvinaNo_PriorsResultsNo_Priors_run_21_f	21	5	-4506.0	-4416.8	178.4
HW_CurvinaNo_PriorsResultsNo_Priors_run_22_f	22	5	-4525.6	-4413.8	223.7

Software written by Dent Earl while at EEB Dept, UCLA, BME Dept UCSC
dearl (a) soe ucsc edu
CITATION:
Earl, Dent A. and vonHoldt, Bridgett M. (2012)
STRUCTURE HARVESTER: a website and program for visualizing
STRUCTURE output and implementing the Evanno method.
# Conservation Genetics Resources 4(2) 359-361. DOI: 10.1007/s12686-011-9548-7
Core version: vA.2 July 2014
