scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1        7.436e-1        7.853e-1        1.403e-2
   1           1.493           1.048        1.403e-2
   1           2.070           1.126        1.403e-2
   1           1.332           1.143        1.403e-2
   1           1.746           1.169        1.403e-2
   1           2.148        5.502e-1        1.403e-2
   1           3.823           1.937        1.403e-2
   1           2.540        7.927e-2        1.403e-2
   1           3.075           2.535        1.403e-2
   1           2.129           1.326        1.403e-2
   1           1.303        3.404e-1        1.403e-2
   1           2.584           1.798        1.403e-2
   1           2.404           7.353        1.403e-2
   1           3.470           2.110        1.403e-2
   1           2.445           2.651        1.403e-2
   1           2.955           6.167        1.403e-2
   1           1.280        7.026e-1        1.403e-2
   1           1.823        2.851e-1        1.403e-2
   1           2.861           7.215        1.403e-2
   1           2.361           2.567        1.403e-2
   1           1.665        1.864e-1        1.403e-2
   1           2.601        1.811e-1        1.403e-2
   1           2.771           1.383        1.403e-2
   1           1.257        3.110e-1        1.403e-2
   1           1.897           3.921        1.403e-2
   1           2.121        7.427e-1        1.403e-2
   1           1.356           1.339        1.403e-2
   1           2.118           1.291        1.403e-2
   1           1.363        4.539e-1        1.403e-2
   1           3.723           1.577        1.403e-2
   1           2.526        1.897e-1        1.403e-2
   1           3.560           1.216        1.403e-2
   1           2.496          14.722        1.403e-2
   1           1.784           3.563        1.403e-2
   1           1.787        2.115e-1        1.403e-2
   1           3.080           6.717        1.403e-2
   1           2.761           2.402        1.403e-2
   1           1.161        6.236e-2        1.403e-2
   1           2.609        4.341e-1        1.403e-2
   1           3.333           1.020        1.403e-2
   1           2.337        8.103e-1        1.403e-2
   1           1.666        9.352e-2        1.403e-2
   1           1.347        2.666e-1        1.403e-2
   1           2.213           4.550        1.403e-2
   1           2.059        5.458e-1        1.403e-2
   1           2.605        1.883e-1        1.403e-2
   1           4.642           2.072        1.403e-2
   1           2.329        8.190e-1        1.403e-2
   1           1.944        6.305e-1        1.403e-2
   1           2.936        3.796e-1        1.403e-2
   1           2.674        5.058e-1        1.403e-2
   1           1.527        2.965e-1        1.403e-2
   1           2.486        8.926e-1        1.403e-2
   1           2.678           1.526        1.403e-2
   1           3.671        4.018e-2        1.403e-2
   1           2.266        1.698e-1        1.403e-2
   1        8.631e-1        9.704e-2        1.403e-2
   1           2.246           4.354        1.403e-2
   1           1.356           1.364        1.403e-2
   1           2.628        4.158e-1        1.403e-2
   1           2.806        3.968e-1        1.403e-2
   1           2.204        8.130e-1        1.403e-2
   1           1.261           3.690        1.403e-2
   1           1.037        5.222e-1        1.403e-2
   1           3.623           4.320        1.403e-2
   1           1.969           1.140        1.403e-2
   1           2.765        3.633e-1        1.403e-2
   1           1.437        4.212e-1        1.403e-2
   1           1.501        2.527e-1        1.403e-2
   1           1.333        9.014e-1        1.403e-2
   1           1.252        6.089e-2        1.403e-2
   1           2.961           1.212        1.403e-2
   1           2.863        1.764e-1        1.403e-2
   1           1.850        8.050e-1        1.403e-2
   1           1.689        2.313e-1        1.403e-2
   1           2.207        2.050e-1        1.403e-2
   1           1.009           1.402        1.403e-2
   1           2.848           1.239        1.403e-2
   1           1.339        2.895e-1        1.403e-2
   1           2.639        9.522e-1        1.403e-2
   1           1.367        6.122e-1        1.403e-2
   1           3.074        5.264e-1        1.403e-2
   1           1.356        6.433e-2        1.403e-2
   1           2.875           1.143        1.403e-2
   1           1.344        1.329e-1        1.403e-2
   1           1.941           2.246        1.403e-2
   1           3.767           6.938        1.403e-2
   1           3.888        4.511e-1        1.403e-2
   1           1.916           5.153        1.403e-2
   1           1.827        4.195e-1        1.403e-2
   1           4.289           4.620        1.403e-2
   1           1.106        8.151e-2        1.403e-2
   1           2.502           7.663        1.403e-2
   1           1.715           1.030        1.403e-2
   1           1.035        3.369e-1        1.403e-2
   1           2.526        8.371e-2        1.403e-2
   1        9.647e-1        4.608e-1        1.403e-2
   1           2.912           3.500        1.403e-2
   1           3.243           1.212        1.403e-2
   1           2.386        3.100e-1        1.403e-2
   1           1.359        1.779e-1        1.403e-2
   1           1.147           1.681        1.403e-2
   1           1.482        1.700e-1        1.403e-2
   1           2.928           2.633        1.403e-2
   1           1.838        1.082e-1        1.403e-2
   1           2.233           3.947        1.403e-2
   1           1.822           2.061        1.403e-2
   1           1.170        2.184e-1        1.403e-2
   1           2.766           2.580        1.403e-2
   1           2.416        7.445e-1        1.403e-2
   1        7.166e-1        2.434e-1        1.403e-2
   1        7.205e-1        4.513e-2        1.403e-2
   1           2.482          12.050        1.403e-2
   1           1.823        3.968e-1        1.403e-2
   1           1.592        9.148e-2        1.403e-2
   1           2.604        2.253e-1        1.403e-2
   1           1.527           2.893        1.403e-2
   1           3.752           3.353        1.403e-2
   1           2.194        1.535e-1        1.403e-2
   1           1.273           1.175        1.403e-2
   1        9.896e-1        6.233e-2        1.403e-2
   1           4.074           5.160        1.403e-2
   1           2.285        1.575e-1        1.403e-2
   1           3.688        8.839e-1        1.403e-2
   1           3.258           8.240        1.403e-2
   1           3.028        9.941e-1        1.403e-2
   1           1.273        1.155e-1        1.403e-2
   1           1.311        4.256e-2        1.403e-2
   1           1.003        1.415e-1        1.403e-2
   1           1.110        1.469e-1        1.403e-2
   1           1.956           2.836        1.403e-2
   1           3.545           3.036        1.403e-2
   1        9.647e-1        2.598e-1        1.403e-2
   1           2.345        2.849e-1        1.403e-2
   1           3.957        3.212e-1        1.403e-2
   1        9.032e-1        7.770e-2        1.403e-2
   1           1.253        8.486e-2        1.403e-2
   1        8.312e-1        1.008e-1        1.403e-2
   1           1.247        9.827e-2        1.403e-2
   1           2.700           2.666        1.403e-2
   1           1.327           6.329        1.403e-2
   1           1.296        1.589e-1        1.403e-2
   1           1.603        5.659e-1        1.403e-2
   1           2.678           8.216        1.403e-2
   1           4.025           3.465        1.403e-2
   1           5.655        8.815e-1        1.403e-2
   1           2.399        4.309e-1        1.403e-2
   1           2.687           1.695        1.403e-2
   1           2.715        4.393e-1        1.403e-2
   1           2.774           1.030        1.403e-2
   1           2.425        1.324e-1        1.403e-2
   1           2.254           4.930        1.403e-2
   1           1.165        3.059e-1        1.403e-2
   1           2.087        3.610e-1        1.403e-2
   1           2.154           8.900        1.403e-2
   1           1.798        6.205e-1        1.403e-2
   1           2.854        4.394e-1        1.403e-2
