scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           3212          18829           3979       2.507e-4       2.680e-1       7.111e-6
   1           5582          12991           8773       2.079e-4       2.004e-1       5.198e-6
   1           4129           5896           1774       5.354e-4       2.622e-1       1.510e-8
   1           3006          10481           2729       2.991e-4       2.878e-1       2.710e-8
   1           4218          12507          10661       3.377e-4       2.650e-1       8.464e-6
   1           3305          13950          11384       5.832e-4       2.836e-1       3.148e-8
   1           3570          13640          15710       8.625e-4       2.619e-1       1.701e-6
   1           3998           2381           8309       8.124e-4       1.063e-1       2.398e-7
   1           4700           9875           9837       4.512e-4       2.487e-1       8.257e-6
   1           4542          16821          12937       3.151e-4       2.715e-1       8.714e-6
   1           4608          15217          12553       4.345e-4       2.184e-1       1.841e-6
   1           2829          12405           8934       7.403e-4       2.872e-1       4.023e-6
   1           3492          15981           5218       5.179e-4       2.667e-1       8.642e-6
   1           5424          18896           3677       4.890e-4       2.661e-1       7.892e-6
   1           5554          18244           3676       3.140e-4       2.988e-1       1.776e-6
   1           3584          14405           9845       7.418e-4       2.424e-1       9.777e-6
   1           4303          14107          12781       2.710e-4       2.932e-1       1.038e-6
   1           3469           8412           3870       8.329e-4       2.038e-1       6.002e-6
   1           4129          16305            620       5.746e-4       2.843e-1       6.161e-7
   1           3290          16207          13309       8.740e-4       2.405e-1       1.000e-5
   1           4341           7824           4186       3.813e-4       2.979e-1       4.475e-8
   1           3879           7029           8007       7.810e-4       1.493e-1       5.852e-7
   1           4126          17558          11589       5.407e-4       2.576e-1       2.542e-6
   1           3050          17433           4605       5.567e-4       2.841e-1       6.738e-7
   1           2719          12179           5779       7.122e-4       2.655e-1       1.659e-7
   1           4878          10702          12267       4.942e-4       2.703e-1       1.158e-6
   1           4378          13946           3780       2.944e-4       1.595e-1       4.226e-7
   1           4547          15702           3304       6.570e-4       1.996e-1       9.841e-6
   1           4777          14621           7691       2.424e-4       2.574e-1       1.857e-6
   1           4685          14879           1024       8.539e-4       2.890e-1       9.128e-7
   1           4545          10209          13083       5.742e-4       2.874e-1       4.964e-8
   1           4159          13034           7796       6.874e-4       2.808e-1       5.465e-6
   1           3359          18710           3729       4.229e-4       2.389e-1       9.924e-6
   1           3577          20141          13641       4.518e-4       2.784e-1       1.905e-6
   1           4026           6068          10075       4.672e-4       2.464e-1       1.000e-5
   1           4169          10997           6553       4.780e-4       2.683e-1       1.958e-6
   1           4855           9708           9725       3.090e-4       2.981e-1       5.136e-6
   1           6696          11950           5435       1.792e-4       2.563e-1       9.242e-8
   1           3766           7525           7995       5.460e-4       1.982e-1       1.664e-6
   1           3873           3744           7860       7.273e-4       2.391e-1       1.153e-7
   1           6305           9373           8527       3.211e-4       2.806e-1       8.422e-6
   1           4682          11794           8388       3.320e-4       1.242e-1       3.212e-6
   1           3101           6883          10131       4.391e-4       2.969e-1       2.363e-6
   1           3667          14388           4366       6.436e-4       2.916e-1       5.078e-7
   1           2480          11217           8440       8.300e-4       1.874e-1       3.531e-6
   1           5091          14831          10733       3.885e-4       2.710e-1       6.856e-7
   1           5621          15939           1473       7.945e-4       2.674e-1       3.102e-7
   1           3316          19512           4905       8.091e-4       2.908e-1       3.908e-6
   1           3937          11302           4560       4.417e-4       2.968e-1       1.331e-8
   1           5779          16313          13580       3.279e-4       2.722e-1       2.972e-6
   1           4180          17433           4546       5.672e-4       2.910e-1       1.054e-6
   1           3132          15638           9723       4.289e-4       2.889e-1       2.944e-6
   1           4961          13054           6132       2.649e-4       2.591e-1       1.737e-6
   1           4623          12729          13028       4.998e-4       2.390e-1       6.927e-7
   1           4125            155           1385       7.283e-4       2.182e-1       1.000e-5
   1           3958          13477           9341       6.760e-4       2.838e-1       8.565e-6
   1           3549          11615           7330       2.558e-4       2.901e-1       9.385e-6
   1           3824          14324          11494       5.719e-4       1.689e-1       7.942e-6
   1           3104          16631           4706       3.937e-4       2.585e-1       5.458e-6
   1           4105           4888           8680       6.824e-4       2.851e-1       1.040e-6
   1           4372          16298           1682       5.138e-4       2.259e-1       1.609e-6
   1           3226          18414           6888       7.234e-4       2.491e-1       5.076e-6
   1           1380          15398            160       8.439e-4       2.995e-1       6.692e-7
   1           3208          12266          10204       5.566e-4       2.839e-1       1.961e-8
   1           4358          18611           5889       9.296e-4       2.998e-1       4.860e-7
   1           5160          11603           8162       3.941e-4       2.874e-1       2.475e-7
   1           5639           8897           4083       5.873e-4       2.805e-1       1.776e-7
   1           3716          18987           9053       3.462e-4       2.765e-1       4.920e-7
   1           3652           9669          12144       4.768e-4       1.865e-1       5.902e-6
   1           3242          18859           6347       5.484e-4       2.808e-1       3.998e-6
   1           4976           9646           3288       2.535e-4       2.747e-1       3.172e-6
   1           4818          15503           9796       5.341e-4       3.000e-1       4.616e-6
   1           4989           7283          10613       5.480e-4       2.860e-1       6.319e-7
   1           4418           7462           5862       3.748e-4       2.603e-1       1.327e-6
   1           3246           7335           9070       4.022e-4       2.888e-1       1.000e-5
   1           4669           7847           5857       3.165e-4       2.717e-1       1.000e-5
   1           3608          14002           8846       3.722e-4       1.516e-1       5.231e-8
   1           3460           9067          11063       6.419e-4       2.728e-1       2.036e-7
   1           5105          18601          10262       2.588e-4       2.727e-1       7.763e-8
   1           4923          18052          14329       3.890e-4       3.000e-1       1.941e-7
   1           4108          15141           6187       3.305e-4       2.961e-1       4.949e-6
   1           4707          16525          13943       5.384e-4       2.525e-1       5.346e-6
   1           3417           6845          15776       5.509e-4       2.261e-1       1.587e-6
   1           4104          15548          10019       8.993e-4       3.000e-1       6.356e-7
   1           3812          16140           6466       3.904e-4       2.980e-1       2.148e-6
   1           2543           9915           5173       9.024e-4       1.904e-1       4.085e-6
   1           3520           8420           6657       7.074e-4       2.897e-1       1.225e-6
   1           5863           5095           5847       4.840e-4       2.354e-1       6.576e-8
   1           3334           5089           5812       4.254e-4       2.482e-1       9.982e-7
   1           3520          12595           5269       3.726e-4       2.815e-1       8.387e-7
   1           4329          13711          13914       8.449e-4       2.805e-1       9.977e-6
   1           2159          10371            376       9.296e-4       2.739e-1       5.217e-6
   1           5640          22636          14373       3.788e-4       2.816e-1       4.879e-6
   1           3128          20299           7810       6.370e-4       2.741e-1       7.575e-6
   1           3839          18342          17678       3.585e-4       2.351e-1       3.897e-7
   1           5234           5910          12117       4.048e-4       2.940e-1       8.416e-7
   1           4048           7913          12907       2.657e-4       2.675e-1       5.108e-6
   1           3810          17295           8162       4.192e-4       2.390e-1       2.816e-6
   1           3883          14199           5315       5.223e-4       2.749e-1       2.725e-7
   1           4406          13632          10664       7.913e-4       2.991e-1       2.408e-6
   1           4215           9655           2069       5.516e-4       2.920e-1       1.321e-6
   1           2230          19372          13276       5.948e-4       3.000e-1       6.090e-8
   1           4051          14995           2495       4.421e-4       1.831e-1       2.252e-7
   1           4736          14749          19584       4.703e-4       3.000e-1       1.800e-7
