scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           1.632           5.190          11.104
   1        6.307e-1           4.511           2.998
   1        7.243e-1           3.167        7.827e-1
   1           1.637           1.839           8.079
   1           2.192           6.284          13.928
   1        8.817e-1           7.184          13.941
   1        8.546e-1           3.217           6.776
   1        8.070e-1           2.667           5.099
   1           1.428          14.338          17.200
   1           1.652           7.649          15.311
   1           1.249           4.354          15.262
   1           1.218           3.219           2.666
   1           1.894          12.112          13.027
   1        9.027e-1           2.142           6.421
   1           1.959           9.152           7.880
   1        8.339e-1           3.594           2.288
   1           1.060           3.285           5.200
   1        8.912e-1           3.600           9.875
   1           1.792           5.070          11.743
   1           2.604           2.311          16.073
   1           1.559           6.099          14.570
   1           1.357           1.794           9.622
   1           1.918          11.736          17.059
   1        9.070e-1           3.766           4.202
   1        7.991e-1           6.520           8.202
   1        9.370e-1          11.596           8.644
   1           1.128           5.042          12.046
   1           1.469           8.568          11.291
   1        8.854e-1           6.853          13.302
   1           1.503           4.142          20.229
   1        9.965e-1           4.514           9.935
   1           2.521          10.260          19.761
   1        8.979e-1           3.819           9.820
   1        9.434e-1           3.015          14.335
   1        7.203e-1        8.687e-1          10.228
   1           2.320           4.201          15.976
   1        7.316e-1           1.231          14.124
   1           1.115           3.776           5.142
   1        7.486e-1           1.291        2.527e-2
   1        9.050e-1           9.426           6.407
   1           1.459           7.547           4.938
   1           1.323           5.875          13.465
   1           1.567           7.370          15.942
   1           2.122          10.810          17.729
   1           1.574           5.571          14.466
   1        9.530e-1           7.196          18.731
   1           1.136           8.453           2.517
   1           2.960          10.624          21.239
   1           1.378           4.469           1.324
   1           1.269           7.996           9.230
   1           1.491           6.329           1.979
   1        6.727e-1           2.211          14.359
   1           1.253           6.813        8.991e-1
   1        9.164e-1           5.639          17.136
   1           3.274           7.539          17.276
   1           1.200           3.680           3.458
   1           1.381           3.716          16.367
   1        9.208e-1           8.843          17.972
   1        9.893e-1           6.049        9.510e-1
   1           2.259           8.637           8.565
   1        7.768e-1           2.573          13.493
   1        9.753e-1           4.857           5.896
   1           1.580           8.420          13.409
   1        7.847e-1           1.998           4.176
   1           1.969           1.316          16.657
   1           1.340           4.617          10.970
   1        9.544e-1           7.027          17.024
   1           1.156           6.126          11.070
   1           1.324           7.238          13.980
   1        9.070e-1           3.925        9.296e-1
   1        8.436e-1           3.269           7.520
   1           1.205           9.455           7.332
   1           1.440           6.605          17.026
   1           1.038          10.629          10.066
   1           1.538           7.555           2.671
   1           1.641           4.358           7.560
   1        8.408e-1           3.849           8.268
   1           1.177           6.182          14.831
   1           1.178           5.447          12.631
   1           1.297           2.917           9.008
   1           2.012          12.123          17.074
   1           1.704          12.366          20.274
   1        8.787e-1           5.143           1.318
   1           1.737           5.045           7.669
   1           1.263           2.225           9.575
   1        8.900e-1           4.710          13.730
   1           1.437           2.926           7.231
   1           1.210           2.859          10.063
   1           1.215           3.820          15.079
   1           1.029           7.382          13.888
   1           1.459          12.427          10.773
   1           1.345           6.636           4.763
   1        8.700e-1           6.290           4.548
   1           1.035           2.115          11.481
   1           1.602           8.985          14.477
   1        8.854e-1        7.528e-1           3.744
   1        9.395e-1           8.416           7.636
   1        7.419e-1           1.489           6.237
   1           1.766           2.545           6.512
   1           1.188           3.267           9.737
   1        7.020e-1           3.326          10.978
   1           1.578           5.394          15.786
   1           3.779           5.814          19.276
   1           1.014           4.053          10.216
   1        8.277e-1           6.374          16.172
   1           1.074           3.158           5.536
   1           2.379           7.519          12.165
   1           1.104           5.977           6.528
   1        7.408e-1           7.308           6.534
   1        8.233e-1           3.432           9.097
   1           1.273           9.375          16.308
   1        9.534e-1           8.895           7.267
   1           1.659          12.040          17.070
   1           1.885           9.674           6.356
   1           1.015        9.466e-1          13.400
   1        8.581e-1           2.325          11.306
   1           1.288           2.317           3.468
   1           1.067           6.516           8.557
   1           1.150          10.055           3.578
   1           1.120           7.456          12.004
   1           1.146           8.354           9.423
   1           2.913          11.327          16.262
   1           2.230           8.189          18.465
   1        9.774e-1           7.775          13.155
   1        9.626e-1           7.278          18.576
   1           1.638          10.241          11.944
   1        8.730e-1           8.681          12.767
   1           1.787          11.378          11.328
   1        8.938e-1           5.524           8.281
   1           2.529           7.002           8.591
   1           1.600           4.321          11.411
   1           1.218           1.820          17.542
   1           3.920           7.225          10.999
   1        8.509e-1           3.674           3.785
   1           2.042           6.964          11.372
   1           1.101           6.919           4.228
   1        9.431e-1           3.087           9.797
   1           1.004           6.954           5.953
   1           1.115           2.772          13.519
   1           1.348           6.205          17.712
   1        7.067e-1           3.841          10.318
   1        9.758e-1           1.471           4.466
   1           1.125           2.322          11.400
   1           1.297          10.064           3.788
   1           1.302           6.656          13.058
   1           2.679           9.264          26.117
   1           1.785           7.967          15.549
   1           2.477           7.128          18.605
   1           2.373           7.803          18.284
   1           1.548           7.367          15.717
   1           2.509           6.882          10.524
   1           2.298          11.212          14.181
   1           2.021           6.897           2.712
   1        7.478e-1           3.842           4.260
   1        6.612e-1           1.655           9.174
   1           1.126           8.245          15.625
   1        9.759e-1           2.663          10.150
   1           1.496           6.280           3.952
   1        7.925e-1          12.479           8.808
   1           2.066           2.720          12.348
   1           2.076           9.303          20.985
   1           1.562          11.703          14.618
   1        9.688e-1           5.733           8.456
   1        9.696e-1           8.503          10.956
   1           1.036           3.740           7.727
   1           1.059           3.181          10.619
   1        9.600e-1           9.580          10.602
   1        6.361e-1           2.145           3.213
   1           1.386           2.809          17.621
   1        9.549e-1           5.073           1.268
   1           1.796           5.912          13.839
   1        7.427e-1           2.402           3.188
   1        7.319e-1           3.503          10.594
   1           1.597           4.544          19.113
   1           2.543           5.643           2.731
   1           1.031           8.331          14.025
   1           1.267           2.231           8.182
   1           2.771           7.286          11.362
   1           1.398           5.276          10.116
   1           1.082           8.643          13.013
   1        8.974e-1           9.995          11.669
   1           1.763           7.806           9.843
   1        9.815e-1          14.142           2.886
   1           1.316          13.101          15.875
   1           2.200           7.538          12.062
   1           1.037           6.114          16.191
   1           1.172           7.070           5.731
   1           1.287           6.901           3.168
   1           1.714           8.586          16.343
   1           1.453           6.191           6.493
   1           1.209           4.982          16.745
   1        9.643e-1           4.321           1.393
   1        9.534e-1          10.107          15.794
   1        9.076e-1           3.961          11.987
   1           2.278           2.489           3.965
   1           1.104           3.372           1.407
   1           4.086           8.504          11.077
   1        9.534e-1           5.279          12.472
   1        9.158e-1           6.471           9.540
   1           1.246           6.848          13.768
   1           1.332           6.952           9.376
   1        7.844e-1           3.394           5.174
   1        7.901e-1           5.024           7.024
   1        8.837e-1           1.172           3.307
   1           1.003           3.138          12.093
   1        9.832e-1           9.043          18.074
   1        9.493e-1           3.150           5.822
   1           2.414           2.458           9.598
   1           1.067           4.913          12.996
   1        7.360e-1           1.455           5.179
   1           1.015           5.622          16.215
   1        7.295e-1           1.275           4.443
   1           1.036           2.718           7.074
   1           1.756           4.367          18.223
   1           1.292           4.368          17.465
   1           1.779           9.892          15.164
   1           1.952           8.860          13.655
   1        8.826e-1          13.731          18.810
   1           1.426          11.594           1.042
   1           1.346           3.423          12.594
   1           1.228          10.824          21.425
   1           1.221           5.497          17.930
   1        8.999e-1           1.130           9.362
   1           2.143           6.441           9.272
   1        9.420e-1           8.244          20.010
   1        9.273e-1           8.306          18.103
   1           1.076           7.851        8.557e-1
   1           1.384           5.594          14.558
   1           1.841           8.572          23.576
   1           1.507           2.810          16.340
   1           1.344           9.724           1.226
   1        8.315e-1           7.198           9.921
   1        8.391e-1        9.348e-1           8.077
   1           1.020           2.447           6.956
   1        8.654e-1           4.277           8.852
   1           1.353           5.530           6.398
   1           1.335          15.091           8.496
   1        7.673e-1           5.817           7.095
   1           1.781           3.897          16.887
   1        9.822e-1           3.789          14.570
   1           1.846           6.372           9.645
   1        9.647e-1           1.415           4.033
   1           2.345           7.374          12.007
   1        9.389e-1           3.891           7.675
   1           1.169           5.659          11.264
   1           2.185           6.327          18.291
   1        8.892e-1           7.757          20.609
   1           1.073           2.823           5.741
   1           1.019           1.006           7.616
   1        9.334e-1           5.435          16.236
   1           1.217          10.799          18.348
   1        7.035e-1           8.221           9.942
   1           1.070           1.279          12.294
   1           1.056           2.855          12.804
   1           1.273           8.880          16.723
   1           1.723          10.391          16.050
   1           2.360           6.302          12.406
   1           1.514           6.741          19.564
   1           1.032           5.123        4.165e-1
   1        8.657e-1           4.450           4.098
   1           1.160           6.086          16.287
   1           2.177           7.961           4.518
   1        9.716e-1           7.460          12.374
   1           1.117           4.296           9.369
   1           1.662           4.561          10.812
   1        7.129e-1           4.960           1.497
   1           1.145           9.579          10.062
   1           2.078           5.524          20.504
   1           1.244           1.538          10.248
   1           1.129           2.795           9.453
   1           2.081           8.183           9.046
   1           1.127           5.226           5.417
   1           1.623           5.579          14.262
   1           1.323          10.745          13.352
   1        7.836e-1           9.124           3.896
   1        9.893e-1           6.520           7.407
   1        8.884e-1           5.926           6.033
   1        6.258e-1           3.384           2.872
   1           1.163           5.015           8.664
   1        9.175e-1           8.023          11.759
   1           1.388           3.528           8.076
   1           1.081           6.466           2.104
   1           1.190           1.258          19.470
   1        9.878e-1           5.455           6.245
   1        9.539e-1           3.439          10.571
   1        9.248e-1           7.758           6.948
   1           1.075           5.083           8.906
   1           1.033           6.325          16.428
   1        8.889e-1           7.198          13.732
   1           1.370           6.212          12.615
   1           1.107           7.496           1.474
   1           1.738          11.986          17.109
   1        9.138e-1           2.074          10.454
   1           2.185          11.955          17.776
   1        5.342e-1           1.718        7.848e-1
   1        9.058e-1           5.471           9.834
   1        8.643e-1           3.687        2.796e-1
   1        8.666e-1           5.072           7.531
   1           1.885           6.957           9.576
   1           2.427           9.830          13.723
   1           2.122           4.205          19.302
   1        8.577e-1           7.934          10.709
   1        6.347e-1           2.002           8.408
   1        7.457e-1           1.733          10.959
   1           1.246           5.483           1.936
   1           2.152          10.277          15.670
   1        9.895e-1           3.926           1.168
   1           1.528          13.319          10.534
   1           1.160           2.957          13.052
   1           1.066           3.667          12.866
   1        9.087e-1           3.573           7.235
   1           1.822           9.923           7.026
   1           2.666           7.083          11.606
   1           1.337           4.493           8.135
   1        8.945e-1           6.295           4.158
   1        9.624e-1           5.430          12.217
   1           1.032           9.118           2.344
   1        9.790e-1           1.938          12.214
   1           1.162           4.865          16.216
   1        7.342e-1           5.721           4.156
   1           1.755           4.910           7.845
   1        9.043e-1           3.271           6.097
   1        9.573e-1           2.873           6.180
   1        7.738e-1           3.389           6.292
   1           1.320          14.921           2.361
   1        7.522e-1           4.667           4.447
   1           1.110           2.361           7.769
   1        8.199e-1           2.153          11.917
   1        8.296e-1           5.769           5.954
   1        9.472e-1           3.984          20.471
   1        9.163e-1           5.366          14.508
   1           1.219           2.754          16.392
   1           1.079           6.950           7.251
   1           2.344        9.145e-1        6.204e-1
   1        6.947e-1           3.664           6.550
   1        7.960e-1        8.143e-1           8.437
   1           1.406          10.918          10.388
   1           1.226        6.579e-1           9.767
   1           1.305           9.337           7.623
   1        9.745e-1           5.644          13.927
   1           1.090           4.204           2.171
   1           1.962           4.830          18.007
   1           2.455           2.702          11.260
   1           1.376           4.192          13.926
   1        7.641e-1           3.327           7.383
   1           1.419           9.893          18.465
   1        7.888e-1           8.090          12.659
   1        8.956e-1           2.391           6.857
   1        8.823e-1           2.384           7.985
   1        8.214e-1           5.690           9.392
   1           1.191           3.406          13.836
   1           1.529           8.769          15.722
   1           1.261           6.620        9.289e-1
   1           1.173           7.445          11.627
   1           1.061           4.090           8.769
   1           1.343           5.100          15.782
   1        6.960e-1           5.381          19.483
   1           1.150           8.089          18.267
   1           1.633           6.740          11.828
   1           1.065           1.952          10.631
   1        9.375e-1           5.926           8.233
   1           1.314           2.732           1.734
   1        8.142e-1           3.970           1.295
   1        9.186e-1           2.988          13.525
   1        7.512e-1           1.979          10.139
   1           1.913           8.081           9.688
   1           1.385           8.968          16.519
   1        7.685e-1           3.494          14.964
   1           1.238           7.709          18.137
   1           1.547           5.309          13.460
   1           1.067           5.976           5.172
   1        9.545e-1           1.343          13.770
   1           1.095           3.126           8.812
   1           2.005          10.271           3.456
   1           1.295           4.175           1.718
   1           1.787           7.810          12.061
   1           1.041           5.351          17.384
   1           2.397           2.273          23.325
   1        9.782e-1           3.850           3.710
   1           1.933           5.593          10.881
   1        8.346e-1           2.360           8.250
   1        7.135e-1        8.065e-1           5.395
   1        9.217e-1        5.861e-1          14.441
   1           1.105           8.131          12.047
   1           2.213           9.733           4.863
   1           2.170           7.686          15.268
   1        9.539e-1           2.869          17.153
   1           1.720           4.670          19.494
   1           1.754           2.842          12.034
   1           2.067           2.880          16.140
   1           1.108           5.749           5.627
   1           1.591           8.431          17.733
   1           3.037           4.730          10.362
   1        8.364e-1           3.880           6.862
   1           2.512           5.211           7.747
   1           1.086           6.609          14.305
   1        8.798e-1           6.243           6.556
   1           2.168          15.269          22.486
   1           2.282           9.452          13.043
   1           1.907           7.643          14.392
   1        6.640e-1           7.599           7.205
   1           1.859           6.367          23.305
   1        7.880e-1          14.001           1.509
   1        8.419e-1           4.141           6.358
   1        8.148e-1           1.414           6.933
   1        9.615e-1           3.437           6.066
   1        8.273e-1           1.225           5.978
   1           1.227           3.748           9.150
   1        8.387e-1          10.820           4.015
   1           1.917           5.005           1.484
   1           2.162           4.342           9.663
   1           1.460           9.287          11.741
   1           1.032           4.732          14.703
   1        8.964e-1          11.159          16.318
   1           2.047          10.610          10.274
   1           1.526           5.797           1.435
   1        9.212e-1           2.995           9.347
   1        8.411e-1           3.312           7.300
   1           1.679           6.742          19.245
   1           2.153           8.778          15.819
   1        7.962e-1           8.234           9.781
   1           1.014           2.278          15.047
   1        9.098e-1           4.723           7.869
   1        8.499e-1           6.878          10.460
   1           1.694           4.283          16.714
   1           1.244           4.283          10.837
   1           2.143           6.612          13.012
   1        8.134e-1           6.089           7.876
   1           1.054           9.897           4.449
   1           1.564          11.105           9.787
   1        9.774e-1           2.901          17.569
   1           1.265           3.855          18.321
   1           1.019           5.464           8.051
   1           1.551           6.365           2.745
   1           1.673           5.182          13.835
   1           1.044          10.789          11.787
   1           1.620          10.648          15.984
   1           1.242           6.809          14.904
   1        8.404e-1           3.137           2.103
   1        7.465e-1           2.105           4.800
   1           2.137          13.960          13.948
   1        9.745e-1           2.883           8.012
   1        7.930e-1           4.780          18.029
   1        6.878e-1           9.115           9.491
   1        9.618e-1           1.707           4.994
   1           1.266           3.255          13.270
   1           1.276          12.009           7.285
   1           1.102           6.278          19.198
   1           2.495           7.692          19.201
   1           1.412           6.043          10.897
   1        7.445e-1           2.543           8.182
   1           1.047           8.819          11.587
   1           2.118           9.259           6.718
   1        9.946e-1           3.839           5.104
   1           2.324           6.306           3.912
   1        9.124e-1           3.439           6.606
   1           2.460           6.614           6.845
   1           2.381           6.149           8.274
