scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000           1.788        9.530e-1
   1           1.000           5.330        7.723e-1
   1           1.000           3.155        2.949e-1
   1           1.000        7.043e-1        7.408e-1
   1           1.000           1.629        9.778e-1
   1           1.000           5.097           3.928
   1           1.000           2.531           1.575
   1           1.000           1.978        9.413e-1
   1           1.000           5.379           2.520
   1           1.000           2.781           1.535
   1           1.000           2.053           2.013
   1           1.000           1.521        4.372e-1
   1           1.000           4.037           1.333
   1           1.000           1.734           1.055
   1           1.000           3.388        9.231e-1
   1           1.000           3.359        8.448e-1
   1           1.000           2.153           1.210
   1           1.000           2.563           1.207
   1           1.000           2.339           1.698
   1           1.000        6.092e-1           1.594
   1           1.000           2.103           1.139
   1           1.000        8.493e-1           1.130
   1           1.000           3.948           2.188
   1           1.000           2.829        5.268e-1
   1           1.000           4.797           1.789
   1           1.000           6.600           1.346
   1           1.000           2.893           1.456
   1           1.000           2.949           1.247
   1           1.000           4.150           2.440
   1           1.000           1.622           2.552
   1           1.000           2.547           1.670
   1           1.000           3.416           3.824
   1           1.000           2.321           1.343
   1           1.000           2.170           3.290
   1           1.000        8.085e-1           2.249
   1           1.000           1.367           1.980
   1           1.000           1.221           4.649
   1           1.000           1.879        6.624e-1
   1           1.000           1.121        6.977e-3
   1           1.000           5.020        6.518e-1
   1           1.000           2.829        4.622e-1
   1           1.000           2.993           2.168
   1           1.000           3.365           2.313
   1           1.000           3.346           2.073
   1           1.000           2.050           1.348
   1           1.000           4.295           4.729
   1           1.000           3.799        2.740e-1
   1           1.000           3.098           3.256
   1           1.000           2.721        3.676e-1
   1           1.000           2.851        8.902e-1
   1           1.000           2.891        1.664e-1
   1           1.000           2.222           4.596
   1           1.000           3.295        9.176e-2
   1           1.000           3.010           2.548
   1           1.000           1.492           1.020
   1           1.000           1.885        2.314e-1
   1           1.000           1.647           1.617
   1           1.000           5.953           2.986
   1           1.000           4.623        1.378e-1
   1           1.000           2.079        4.997e-1
   1           1.000           1.863           2.641
   1           1.000           2.608           1.014
   1           1.000           2.925           1.290
   1           1.000           1.972           1.340
   1           1.000        4.124e-1           1.371
   1           1.000           1.915           1.516
   1           1.000           4.323           2.905
   1           1.000           3.411           1.949
   1           1.000           3.435           2.405
   1           1.000           2.584        7.233e-2
   1           1.000           2.064        8.376e-1
   1           1.000           4.531           1.044
   1           1.000           3.062           4.410
   1           1.000           4.728           1.339
   1           1.000           2.914        3.531e-1
   1           1.000           1.507        5.848e-1
   1           1.000           3.103           1.795
   1           1.000           2.841           1.764
   1           1.000           2.912           1.896
   1           1.000           1.710           1.688
   1           1.000           4.101           2.888
   1           1.000           4.892           3.123
   1           1.000           3.423        2.865e-1
   1           1.000           1.729        8.425e-1
   1           1.000           1.308           1.313
   1           1.000           2.663           1.548
   1           1.000           1.565        9.652e-1
   1           1.000           1.752           2.242
   1           1.000           1.510           1.528
   1           1.000           3.355           1.495
   1           1.000           5.737           1.488
   1           1.000           3.352        6.815e-1
   1           1.000           4.183        9.198e-1
   1           1.000           1.219           2.302
   1           1.000           4.190           2.874
   1           1.000        5.302e-1           1.049
   1           1.000           5.088           1.064
   1           1.000           1.254        7.600e-1
   1           1.000           1.036           1.237
   1           1.000           1.415           1.358
   1           1.000           3.008           2.727
   1           1.000           2.173           1.210
   1           1.000           1.135           1.212
   1           1.000           3.218           3.928
   1           1.000           4.532           5.253
   1           1.000           2.328           1.385
   1           1.000           2.026           1.044
   1           1.000           3.596        9.008e-1
   1           1.000           6.608           1.018
   1           1.000           2.461           1.042
   1           1.000           3.556           2.012
   1           1.000           4.677           1.080
   1           1.000           3.438           1.197
   1           1.000           2.916        3.711e-1
   1           1.000        4.543e-1           1.308
   1           1.000           1.686           2.110
   1           1.000           1.241        3.921e-1
   1           1.000           3.772           1.513
   1           1.000           4.484        3.512e-1
   1           1.000           3.347           1.906
   1           1.000           3.476        9.732e-1
   1           1.000           3.182           1.826
   1           1.000           2.270           2.002
   1           1.000           3.845           1.873
   1           1.000           3.465           2.491
   1           1.000           3.810           1.043
   1           1.000           4.975           2.815
   1           1.000           4.173           1.177
   1           1.000           3.406        8.987e-1
   1           1.000           2.443        7.421e-1
   1           1.000           1.507        9.270e-1
   1           1.000        8.981e-1           2.635
   1           1.000           1.422        9.099e-1
   1           1.000           3.378        6.136e-1
   1           1.000           2.249           1.376
   1           1.000           3.246        4.506e-1
   1           1.000           1.755           1.132
   1           1.000           3.948        8.627e-1
   1           1.000           1.651           2.158
   1           1.000           2.802           2.037
   1           1.000           2.854           3.171
   1           1.000           1.139        6.519e-1
   1           1.000           1.388           1.672
   1           1.000           3.627        3.128e-1
   1           1.000           3.213           2.155
   1           1.000           2.257           2.870
   1           1.000           3.749           2.563
   1           1.000           1.822           1.237
   1           1.000           1.926           1.336
   1           1.000           2.595           1.837
   1           1.000           2.756           1.914
   1           1.000           3.447           2.093
   1           1.000           2.290        1.996e-1
   1           1.000           2.789        5.026e-1
   1           1.000           1.809           2.714
   1           1.000           3.504           1.778
   1           1.000           2.233           1.452
   1           1.000           2.374        4.730e-1
   1           1.000           7.819           1.256
   1           1.000        8.027e-1           1.155
   1           1.000           2.115           1.170
   1           1.000           4.799           3.031
   1           1.000           3.058        9.940e-1
   1           1.000           3.820        8.670e-1
   1           1.000           2.442           1.188
   1           1.000           1.926           2.033
   1           1.000           4.700           1.049
   1           1.000           1.989        6.139e-1
   1           1.000           1.143           2.269
   1           1.000           3.569        3.279e-1
   1           1.000           2.070           1.317
   1           1.000           2.104        5.279e-1
   1           1.000           2.627           1.493
   1           1.000           1.490           1.852
   1           1.000           1.574        3.906e-1
   1           1.000           3.975           2.013
   1           1.000           1.019        8.479e-1
   1           1.000           1.709        5.003e-1
   1           1.000           2.044        8.252e-1
   1           1.000           4.242           1.420
   1           1.000           5.400           1.173
   1           1.000           3.277           1.359
   1           1.000           6.935        3.574e-1
   1           1.000           5.090           1.524
   1           1.000           2.432        9.920e-1
   1           1.000           2.744           1.450
   1           1.000           3.433           1.159
   1           1.000           2.798        2.700e-1
   1           1.000           2.321           1.081
   1           1.000           2.323        9.176e-1
   1           1.000           2.587           1.971
   1           1.000           2.534        2.193e-1
   1           1.000           4.557           2.113
   1           1.000           2.291           2.014
   1           1.000        7.069e-1        1.504e-1
   1           1.000           2.040        2.792e-1
   1           1.000           1.526        4.542e-1
   1           1.000           3.094           1.663
   1           1.000           4.570           1.703
   1           1.000           3.471           1.951
   1           1.000           3.187           2.219
   1           1.000           2.471        7.829e-1
   1           1.000           3.610           1.382
   1           1.000        7.997e-1        3.970e-1
   1           1.000           2.132           2.095
   1           1.000           4.149           3.514
   1           1.000           1.630        9.625e-1
   1           1.000        7.281e-1        6.261e-1
   1           1.000           3.543           4.007
   1           1.000           1.144        8.696e-1
   1           1.000           2.959           2.393
   1           1.000           1.027        8.464e-1
   1           1.000           1.667        6.524e-1
   1           1.000           1.525           1.433
   1           1.000           1.792           2.023
   1           1.000           3.763           1.709
   1           1.000           2.576        9.327e-1
   1           1.000          10.719           5.090
   1           1.000           4.958        1.834e-1
   1           1.000           1.331        8.872e-1
   1           1.000           3.829           1.907
   1           1.000           2.540           2.243
   1           1.000        6.310e-1           1.584
   1           1.000           1.959        6.254e-1
   1           1.000           6.054           5.213
   1           1.000           3.936           2.430
   1           1.000           3.552        6.509e-2
   1           1.000           2.167           1.143
   1           1.000           2.884           3.216
   1           1.000           1.236           1.356
   1           1.000           4.714        2.142e-1
   1           1.000           3.802           1.265
   1           1.000        5.709e-1        9.243e-1
   1           1.000           1.268        5.429e-1
   1           1.000           2.537           1.373
   1           1.000           2.694        6.868e-1
   1           1.000           5.557        7.461e-1
   1           1.000           4.258           1.283
   1           1.000           1.254           1.243
   1           1.000           2.014           1.838
   1           1.000           1.796        5.667e-1
   1           1.000        8.827e-1        2.770e-1
   1           1.000           2.492           1.141
   1           1.000           2.315        9.560e-1
   1           1.000           2.735           1.009
   1           1.000           2.851           3.599
   1           1.000           4.759           3.950
   1           1.000           1.545        6.838e-1
   1           1.000        5.238e-1        9.158e-1
   1           1.000           3.338           1.986
   1           1.000           4.058           1.452
   1           1.000           6.899           2.548
   1           1.000        6.933e-1           1.494
   1           1.000           1.813           2.636
   1           1.000           3.776           2.246
   1           1.000           4.037           2.103
   1           1.000           1.905        9.697e-1
   1           1.000           2.446           1.916
   1           1.000           2.934        4.060e-2
   1           1.000           2.979        6.278e-1
   1           1.000           2.827           2.001
   1           1.000           2.824        3.986e-1
   1           1.000           4.496           1.613
   1           1.000           1.781        6.456e-1
   1           1.000           1.935           1.074
   1           1.000           3.395        2.506e-1
   1           1.000           5.210           1.091
   1           1.000           1.644           2.373
   1           1.000        6.112e-1           1.419
   1           1.000           1.645           1.461
   1           1.000           2.893           1.092
   1           1.000           3.014        8.531e-1
   1           1.000           1.799           1.269
   1           1.000           3.590           1.126
   1           1.000           6.273        8.222e-1
   1           1.000           4.303           1.095
   1           1.000           3.482        9.115e-1
   1           1.000           3.933        8.142e-1
   1           1.000           1.922        6.053e-1
   1           1.000           4.147           1.678
   1           1.000           1.259        8.213e-1
   1           1.000           3.214        2.528e-1
   1           1.000        5.543e-1           2.207
   1           1.000           2.669        6.049e-1
   1           1.000           1.951           1.211
   1           1.000           3.657        8.921e-1
   1           1.000           2.845           1.130
   1           1.000           3.086           2.074
   1           1.000           4.207           1.578
   1           1.000           2.496           1.510
   1           1.000           4.001        1.271e-1
   1           1.000           4.461           1.990
   1           1.000           1.451           1.267
   1           1.000           3.271           1.595
   1           1.000           2.517        1.139e-1
   1           1.000           3.091        8.605e-1
   1           1.000           2.367        2.818e-2
   1           1.000           3.447           1.422
   1           1.000           2.490           1.224
   1           1.000           2.786           1.218
   1           1.000           1.922           4.578
   1           1.000           4.575           1.754
   1           1.000           1.907           1.330
   1           1.000           1.528           2.142
   1           1.000           2.425        1.444e-1
   1           1.000           3.547           1.853
   1           1.000           1.877        6.691e-2
   1           1.000           5.208           1.063
   1           1.000           1.608           2.142
   1           1.000           1.510           1.199
   1           1.000           2.326        6.222e-1
   1           1.000           2.907        3.708e-1
   1           1.000           1.785        6.285e-1
   1           1.000           1.758        8.266e-1
   1           1.000           3.331        5.073e-1
   1           1.000           2.734           1.735
   1           1.000           4.087        2.196e-1
   1           1.000           1.067           2.103
   1           1.000           1.961           1.634
   1           1.000           4.412        4.768e-1
   1           1.000           1.562        4.702e-1
   1           1.000           2.046        6.166e-1
   1           1.000           1.645        7.410e-1
   1           1.000           3.113           1.551
   1           1.000           7.594        1.597e-1
   1           1.000           3.249        6.631e-1
   1           1.000           1.127        7.337e-1
   1           1.000           1.332           1.353
   1           1.000           3.335           1.107
   1           1.000           2.283           4.043
   1           1.000           3.074           1.923
   1           1.000           1.458           2.786
   1           1.000           2.996        8.890e-1
   1           1.000        2.567e-1        3.195e-2
   1           1.000           3.026           1.236
   1           1.000        5.826e-1        8.334e-1
   1           1.000           5.829           1.600
   1           1.000        4.147e-1           1.818
   1           1.000           3.155        4.656e-1
   1           1.000           2.679           1.160
   1           1.000           2.188        2.790e-1
   1           1.000           1.931           2.746
   1           1.000        7.174e-1        5.914e-1
   1           1.000           1.887           1.438
   1           1.000           2.383        8.013e-1
   1           1.000           4.320           3.455
   1           1.000           5.596           2.197
   1           1.000           1.507           1.057
   1           1.000           1.803           1.315
   1           1.000           3.697        9.124e-1
   1           1.000           1.531           1.800
   1           1.000           2.766           1.430
   1           1.000           4.042        1.439e-1
   1           1.000           3.955           1.345
   1           1.000           2.268           1.450
   1           1.000           2.012           1.458
   1           1.000           4.581           5.524
   1           1.000           3.422           1.854
   1           1.000           2.141           1.205
   1           1.000        9.363e-1        7.802e-1
   1           1.000           3.435           1.026
   1           1.000           1.427        2.714e-1
   1           1.000           2.665        1.905e-1
   1           1.000           2.041           1.515
   1           1.000           1.772           2.296
   1           1.000           2.711        6.062e-1
   1           1.000           4.337           4.435
   1           1.000           2.906           4.769
   1           1.000           3.204           2.660
   1           1.000           1.757           1.034
   1           1.000           3.079           1.063
   1           1.000        6.997e-1           1.610
   1           1.000           1.446        8.128e-1
   1           1.000           2.599        1.279e-1
   1           1.000           1.782        8.326e-2
   1           1.000           3.025           1.395
   1           1.000           2.490           1.975
   1           1.000        5.866e-1           2.376
   1           1.000           2.039        6.574e-1
   1           1.000           2.344           1.135
   1           1.000           1.503        9.383e-1
   1           1.000        7.542e-1        7.779e-1
   1           1.000        3.137e-1           1.271
   1           1.000           3.520        8.829e-1
   1           1.000           2.912        4.501e-1
   1           1.000           2.389           1.501
   1           1.000           1.684           2.701
   1           1.000           1.527           1.539
   1           1.000           1.116           1.077
   1           1.000        9.613e-1           1.238
   1           1.000           2.664        7.954e-1
   1           1.000           3.603           2.639
   1           1.000           1.209        6.181e-1
   1           1.000           3.150           1.872
   1           1.000           1.494        5.713e-1
   1           1.000           3.339           1.772
   1           1.000           3.344        5.615e-1
   1           1.000           4.822           3.068
   1           1.000           2.635        9.802e-1
   1           1.000           2.358           1.047
   1           1.000           5.895           1.394
   1           1.000           2.173           3.920
   1           1.000           7.899        2.409e-1
   1           1.000           2.890        9.521e-1
   1           1.000        9.532e-1        5.992e-1
   1           1.000           1.976           1.181
   1           1.000           1.187           1.797
   1           1.000           1.719        6.073e-1
   1           1.000           6.905           1.065
   1           1.000           1.672        8.314e-2
   1           1.000           1.351        7.804e-1
   1           1.000           3.242        9.163e-1
   1           1.000           2.204           2.094
   1           1.000           6.213           2.836
   1           1.000           3.024        9.708e-1
   1           1.000           2.268        6.647e-2
   1           1.000           2.154           1.389
   1           1.000           2.207           1.124
   1           1.000           2.460           1.831
   1           1.000           3.919           2.181
   1           1.000           5.834           2.930
   1           1.000           1.110           1.481
   1           1.000           2.200        5.873e-1
   1           1.000           4.192           1.611
   1           1.000           1.811           1.717
   1           1.000           1.843        6.454e-1
   1           1.000           2.520           2.614
   1           1.000           3.346        9.871e-1
   1           1.000           7.090        7.439e-1
   1           1.000           4.873           1.857
   1           1.000           1.923           5.357
   1           1.000           1.820           2.325
   1           1.000           2.594           1.145
   1           1.000           1.949        9.344e-2
   1           1.000           1.850           1.399
   1           1.000           6.355           2.395
   1           1.000           3.970           1.993
   1           1.000           3.301           1.641
   1           1.000           2.513        2.726e-1
   1           1.000           1.621        3.775e-1
   1           1.000           4.275           1.159
   1           1.000           1.559           1.097
   1           1.000           2.780           3.693
   1           1.000           6.702           1.332
   1           1.000           1.069        3.690e-1
   1           1.000           1.389           1.207
   1           1.000           4.221        4.716e-1
   1           1.000           3.031           2.326
   1           1.000           2.158           2.030
   1           1.000           2.177        6.950e-1
   1           1.000           1.937           1.414
   1           1.000           4.382           2.751
   1           1.000           2.699        4.144e-1
   1           1.000           2.248        6.497e-1
   1           1.000           1.938        3.229e-1
   1           1.000           2.035        6.444e-1
   1           1.000           1.829        2.799e-1
   1           1.000           1.582        7.578e-1
   1           1.000        7.882e-1           1.397
   1           1.000           2.151           1.652
   1           1.000           1.907        7.924e-1
   1           1.000           3.728        9.383e-1
   1           1.000           1.744           1.544
   1           1.000           3.754        9.589e-1
   1           1.000           3.276        4.446e-1
   1           1.000           2.678        6.490e-1
   1           1.000           3.421           1.608
   1           1.000           2.839           2.139
   1           1.000           2.698        3.140e-1
   1           1.000           1.969        1.223e-1
   1           1.000           3.045        9.767e-2
   1           1.000           1.991        5.954e-1
   1           1.000           3.523        5.619e-1
   1           1.000           1.555        8.601e-1
   1           1.000           2.406           1.192
   1           1.000           1.965        8.689e-1
   1           1.000           4.771        8.502e-1
   1           1.000           6.437           5.640
   1           1.000           3.801           3.353
   1           1.000        8.232e-1        5.052e-1
   1           1.000           3.726           2.854
   1           1.000           1.397        5.744e-1
   1           1.000           2.318        8.462e-1
   1           1.000           5.597           1.691
   1           1.000           2.366           1.147
   1           1.000           3.059        7.985e-1
   1           1.000           1.288           1.156
   1           1.000           1.707           1.048
   1           1.000           1.522           2.938
   1           1.000           2.085           1.066
   1           1.000           1.855        2.969e-2
   1           1.000           3.067           1.024
   1           1.000           4.190           1.044
   1           1.000           2.137        8.557e-1
   1           1.000           1.562        8.668e-1
   1           1.000           3.187        3.976e-1
   1           1.000           4.103           3.302
   1           1.000           1.510        9.840e-1
   1           1.000           2.046           2.854
   1           1.000           6.992           5.619
   1           1.000           2.648           1.096
   1           1.000           2.603           2.835
   1           1.000           4.006        8.666e-1
   1           1.000           3.067           1.787
   1           1.000           1.664        1.681e-1
   1           1.000        5.662e-1           2.472
   1           1.000           2.391           1.036
   1           1.000           3.312           1.864
   1           1.000           1.980           1.520
   1           1.000           2.442           1.498
   1           1.000           2.210        2.203e-1
   1           1.000           2.232           2.871
   1           1.000        9.396e-1        1.047e-1
   1           1.000           4.511           2.592
   1           1.000           2.257           1.421
   1           1.000           3.446        3.801e-1
   1           1.000           1.880           1.038
   1           1.000           2.976           1.106
   1           1.000           3.612           2.090
   1           1.000           1.362        8.710e-1
   1           1.000           2.234        4.100e-1
   1           1.000           3.301        5.461e-1
   1           1.000           3.194           1.367
   1           1.000           2.635           1.252
   1           1.000           2.398           1.564
   1           1.000           2.523           1.501
   1           1.000           2.683        2.043e-1
   1           1.000           4.989           1.935
   1           1.000        7.595e-1        3.378e-1
   1           1.000           2.339        6.243e-1
   1           1.000           1.510        9.148e-1
   1           1.000           2.475           1.410
   1           1.000           1.436        9.273e-1
   1           1.000           6.732           1.910
   1           1.000           2.043           3.126
   1           1.000        5.974e-1        3.016e-1
   1           1.000           1.923        5.598e-1
   1           1.000           5.384           1.054
   1           1.000           5.462           1.229
   1           1.000           2.282        7.530e-1
   1           1.000           1.300        8.440e-1
   1           1.000           1.136        1.655e-1
   1           1.000           1.009        4.368e-1
   1           1.000           4.079           1.470
   1           1.000           2.131           1.002
   1           1.000           2.510        6.705e-2
   1           1.000           2.894        7.325e-1
   1           1.000           3.127           1.353
   1           1.000           2.928           1.136
   1           1.000           3.249           1.013
   1           1.000           3.849           2.446
   1           1.000           1.031        4.125e-1
   1           1.000           1.973           1.382
   1           1.000           2.817           1.663
   1           1.000           4.182        3.757e-1
   1           1.000           2.013           1.208
   1           1.000           1.645        9.022e-1
   1           1.000           4.384           4.148
   1           1.000           3.384        6.505e-1
   1           1.000           2.840           4.329
   1           1.000           1.651           1.979
   1           1.000           2.821           1.012
   1           1.000           3.165        4.960e-1
   1           1.000           2.654           1.161
   1           1.000           4.189           2.086
   1           1.000           1.351           1.830
   1           1.000           4.024           1.124
   1           1.000           4.168           1.807
   1           1.000           2.716           2.221
   1           1.000           1.815        1.156e-1
   1           1.000           1.032           1.070
   1           1.000           2.339        1.328e-1
   1           1.000           2.736        9.678e-1
   1           1.000           2.246        9.061e-1
   1           1.000           1.865        8.799e-1
   1           1.000           1.917        4.961e-1
   1           1.000           2.185           1.763
   1           1.000           3.108        2.824e-1
   1           1.000           3.613           2.105
   1           1.000           1.359        9.280e-1
   1           1.000           9.285        1.915e-1
   1           1.000           3.063           1.555
   1           1.000           1.981           3.197
   1           1.000           1.380           1.211
   1           1.000           1.105           1.231
   1           1.000           6.154        5.200e-1
   1           1.000           2.134           1.337
   1           1.000           1.326           2.319
   1           1.000        9.231e-1        5.480e-1
   1           1.000           2.907           1.222
   1           1.000        2.087e-2        1.213e-1
   1           1.000        4.555e-1           1.733
   1           1.000           2.069        5.403e-1
   1           1.000           2.610        4.934e-1
   1           1.000           1.068        7.721e-1
   1           1.000        5.558e-1           1.934
   1           1.000           6.418           2.610
   1           1.000           1.991        9.695e-1
   1           1.000           4.808           1.280
   1           1.000           2.906           1.205
   1           1.000           1.878           1.640
   1           1.000           1.481           1.006
   1           1.000           5.443           1.024
   1           1.000           2.301           1.203
   1           1.000           2.878           2.125
   1           1.000           5.744           2.991
   1           1.000           2.040        8.195e-1
   1           1.000           2.916           1.747
   1           1.000           1.600        5.690e-1
   1           1.000           4.801           1.470
   1           1.000           2.512        1.053e-1
   1           1.000           4.096           2.518
   1           1.000           3.871           4.143
   1           1.000           2.844           1.974
   1           1.000           1.445           3.391
   1           1.000           4.641           2.560
   1           1.000           3.963           2.459
   1           1.000           2.237        7.348e-1
   1           1.000           3.093           1.248
   1           1.000           1.698        8.548e-2
   1           1.000           5.244           5.052
   1           1.000           1.918        4.261e-1
   1           1.000           4.128           2.546
   1           1.000           4.071           2.366
   1           1.000           4.039           3.943
   1           1.000           5.062        9.595e-1
   1           1.000           4.458           1.631
   1           1.000           1.148           1.804
   1           1.000           1.882           4.149
   1           1.000        9.662e-1        5.698e-1
   1           1.000           3.476           3.961
   1           1.000           2.221           1.038
   1           1.000           3.213           4.519
   1           1.000           3.344           1.758
   1           1.000           5.246        9.548e-1
   1           1.000           4.851        5.924e-1
   1           1.000        6.221e-1           2.454
   1           1.000           2.683        2.730e-1
   1           1.000           2.843           1.298
   1           1.000           1.995        8.094e-1
   1           1.000           2.635        4.834e-1
   1           1.000           3.058        4.977e-1
   1           1.000           2.065        6.921e-1
   1           1.000           5.343           1.651
   1           1.000           1.278        3.981e-1
   1           1.000           1.130           1.390
   1           1.000           2.804        5.396e-1
   1           1.000           3.066           1.532
   1           1.000           5.146           1.527
   1           1.000           1.909           1.050
   1           1.000           2.115           1.449
   1           1.000           2.978           2.070
   1           1.000           2.087           1.005
   1           1.000           1.959           2.178
   1           1.000           2.734           2.490
   1           1.000           2.760           3.866
   1           1.000           2.511           1.198
   1           1.000           2.266        5.332e-1
   1           1.000           1.559        4.366e-1
   1           1.000           3.861           1.586
   1           1.000           1.632           1.179
   1           1.000        6.970e-1        9.219e-1
   1           1.000           1.065           1.682
   1           1.000           2.107        2.827e-1
   1           1.000           1.786        8.068e-1
   1           1.000           1.642        1.206e-1
   1           1.000           1.283           4.164
   1           1.000           3.096           1.588
   1           1.000           3.813           1.671
   1           1.000           1.356        3.115e-1
   1           1.000           1.365           1.717
   1           1.000           2.127        5.673e-1
   1           1.000           3.067           1.291
   1           1.000           3.390           3.253
   1           1.000           1.246           1.092
   1           1.000           2.747           1.326
   1           1.000           2.556        4.382e-1
   1           1.000        8.420e-1           1.972
   1           1.000           4.377           4.401
   1           1.000           3.486           2.083
   1           1.000           2.504        3.060e-1
   1           1.000           2.649           1.766
   1           1.000           5.671        4.812e-1
   1           1.000           2.465           1.305
   1           1.000           2.978        7.818e-1
   1           1.000           2.706        2.014e-1
   1           1.000           1.313        8.239e-1
   1           1.000           2.383           1.112
   1           1.000           4.799           1.172
   1           1.000           2.088           1.177
   1           1.000          10.727        7.322e-2
   1           1.000           1.112        6.139e-1
   1           1.000           2.909        6.701e-1
   1           1.000           1.852        8.122e-2
   1           1.000           3.508           2.227
   1           1.000           4.325           1.002
   1           1.000           2.297           1.646
   1           1.000           1.928           2.301
   1           1.000           3.325        4.923e-1
