scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3441         11875          4727    8.026e-004    2.889e-001    3.415e-007      8.750000      0.716009      3.944421      0.979021
  1            1812          8974          8647    7.761e-004    1.678e-001    1.774e-007      8.125000      0.754758      4.717369      0.928571
  1            3876          6997          3695    4.785e-004    1.415e-001    4.276e-007      8.250000      0.660697      5.482064      0.956522
  1            3219          6325         13241    6.215e-004    1.969e-001    3.155e-008      8.500000      0.765297     13.953905      0.814371
  1            2253         12276         11178    7.769e-004    1.484e-001    6.483e-007      6.125000      0.735291      1.402344      1.042553
  1            4542          4677          5096    3.646e-004    2.961e-001    4.134e-007      7.000000      0.655862      3.528672      0.965517
  1            2749          5949          9241    3.403e-004    1.649e-001    8.816e-007      6.250000      0.705739      9.513718      0.714286
  1            5017          2754          6643    1.527e-004    2.376e-001    2.602e-006      6.125000      0.603818      1.454040      1.000000
  1            4421          9629         10683    9.772e-004    1.200e-001    3.215e-007      7.750000      0.734626      4.022003      1.008130
  1            5011         15866          8670    4.193e-004    2.386e-001    4.773e-007      7.125000      0.685920      2.865900      0.876923
  1            4166          7910         11050    3.624e-004    1.470e-001    8.511e-008      8.125000      0.741552      6.801932      0.866667
  1            5176          7059          8773    8.572e-004    2.403e-001    1.738e-007      8.500000      0.793213      8.599890      0.877419
  1            4549          6667         11872    8.415e-004    1.021e-001    9.904e-006     11.250000      0.797822      3.958169      1.216216
  1            3984          6068         20077    2.989e-004    2.701e-001    2.845e-008      9.000000      0.694029     16.799566      0.778378
  1            5470          9624         15905    9.047e-004    2.960e-001    6.173e-006     13.500000      0.835357     17.603121      1.033493
  1            3109         13250          2617    1.962e-004    1.430e-001    3.908e-007      6.250000      0.596963      2.478006      0.980392
  1            4279          8299         11541    7.302e-004    1.411e-001    8.432e-006      7.750000      0.684103      4.303377      1.087719
  1            2758         13882         11171    1.486e-004    2.695e-001    2.744e-006      4.250000      0.452442      2.432118      0.790698
  1            3210          6767         11950    3.426e-004    1.005e-001    1.098e-006      6.375000      0.651231      1.678220      1.020000
  1            3931         19365         13394    1.025e-004    2.410e-001    9.594e-006      5.125000      0.470538      1.063171      1.064935
  1            3728         13431          2975    6.223e-004    2.315e-001    6.116e-007      8.875000      0.775349      4.862029      0.904459
  1            4544          8935         10841    3.716e-004    1.385e-001    4.317e-007      7.500000      0.690445      2.813279      0.952381
  1            3604         16532         16311    4.789e-004    2.034e-001    8.810e-006      8.750000      0.738212      7.478616      0.945946
  1            3760          2769          6523    3.225e-004    2.341e-001    6.741e-007      6.625000      0.675971      3.669972      0.868852
  1            3810         18720          7631    5.991e-004    2.223e-001    4.058e-007      8.625000      0.728058      4.743042      0.920000
