scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3934         15265         11708    5.144e-004    1.397e-001    1.192e-007      9.500000      0.769519      5.573186      0.932515
  1            2473         15584          6424    5.463e-004    2.928e-001    8.293e-006      8.625000      0.750079      9.183221      0.884615
  1            4038         16728          5562    3.517e-004    2.378e-001    5.630e-007      8.125000      0.737685      5.772965      1.000000
  1            5320         18621          7271    3.154e-004    2.488e-001    3.153e-006      9.250000      0.764150      4.867267      1.013699
  1            3562         12259          5546    6.567e-004    2.978e-001    7.721e-007     10.625000      0.788001      8.147304      0.894737
  1            6179         15539          2800    1.705e-004    2.541e-001    1.300e-006      6.875000      0.615238      4.639057      0.901639
  1            4686         14880          1025    8.539e-004    2.890e-001    9.128e-007     12.250000      0.817610     12.253358      0.946860
  1            3003         10618         10247    7.148e-004    2.958e-001    3.984e-008      8.000000      0.718929      6.045159      0.831169
  1            3798         14300         12327    6.311e-004    2.840e-001    2.672e-006      9.750000      0.803704      8.506584      0.957055
  1            2960         12305          9248    7.070e-004    2.993e-001    5.345e-007      8.875000      0.737421      9.601993      0.910256
  1            4378         13946          3781    2.944e-004    1.595e-001    4.226e-007      7.875000      0.664458      3.084029      0.947368
  1            4930         16917         10414    3.535e-004    2.910e-001    1.257e-006      7.375000      0.716020      3.524029      0.936508
  1            2926         12739          5451    4.645e-004    2.901e-001    7.436e-007      8.125000      0.670535     10.617224      0.764706
  1            5567         12106          6671    3.069e-004    2.983e-001    7.796e-006     11.250000      0.789093      9.639478      1.118012
  1            4194         17334         11999    3.575e-004    2.981e-001    7.241e-008      6.375000      0.678277      2.536896      0.894737
  1            4650          5092          2506    3.173e-004    3.000e-001    5.347e-007      8.000000      0.714662      3.300008      0.920863
  1            4251         19458         17568    3.791e-004    1.962e-001    4.376e-007      8.375000      0.746713      3.478920      0.957143
  1            3305         13951         11385    5.832e-004    2.836e-001    3.148e-008      7.375000      0.716431      4.233933      0.951613
  1            3851         14181         15341    2.493e-004    2.802e-001    2.088e-006      6.625000      0.609925      2.950267      0.929825
  1            4190         11944          4337    5.422e-004    3.000e-001    4.625e-006      6.875000      0.685207      5.192704      0.846154
  1            2665          9867          4041    5.899e-004    2.457e-001    6.675e-006      8.000000      0.694123      3.421660      1.032258
  1            2926         12739          5451    4.645e-004    2.901e-001    7.436e-007      8.250000      0.696270     15.901134      0.785714
