State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
1	0.401869	-3012.80166	4.038123	1.652764	4.346252	0.417852	-3.514719	0.465794	4.408934	0.04389
2	0.377358	-3291.269094	2.649724	1.721784	3.036257	0.472598	-2.204724	0.348611	2.988918	0.167154
3	0.365591	-3173.364765	2.61293	1.861433	2.973051	0.605963	-2.150474	0.282404	2.934668	0.152331
4	0.39604	-3306.029901	3.27823	2.110261	3.688939	0.824595	-2.841751	0.437007	3.625945	0.059896
5	0.315789	-3540.586823	2.777198	1.13681	3.234546	0.758912	-2.365977	0.467216	3.13606	0.063194
6	0.202128	-3406.941652	3.06415	1.240705	3.521498	0.794972	-2.647007	0.467216	3.426215	0.172883
7	0.357798	-3401.766495	4.104475	0.743732	4.561823	0.553969	-3.687333	0.455912	4.46654	0.160659
8	0.348837	-3365.913985	3.487119	0.758141	3.906397	0.771492	-3.069977	0.452228	3.714372	0.205776
9	0.419753	-3342.984686	4.035561	0.363586	4.495242	0.843673	-3.658822	0.607124	4.262815	0.028887
10	0.3125	-3529.353999	3.40026	0.582216	3.811933	0.702806	-3.023521	0.561026	3.627514	0.210846
11	0.239583	-3628.336139	3.475743	0.514954	3.801502	0.890777	-3.099004	0.47671	3.702997	0.008494
12	0.233645	-3506.941176	2.795819	0.455639	3.152547	0.813623	-2.400603	0.469345	3.023073	0.15129
13	0.316832	-3311.241502	1.794452	0.441348	2.205091	0.754884	-1.340539	0.458738	2.018041	0.39883
14	0.19	-3384.072868	3.01918	0.393815	3.429819	0.873535	-2.574443	0.43163	3.136865	0.17448
15	0.247191	-3486.260372	3.023908	0.404004	3.444431	0.963262	-2.603213	0.376181	3.276761	0.026768
16	0.230769	-3391.906006	4.346089	0.404004	4.766612	1.215734	-3.908454	0.363193	4.598942	0.038625
17	0.273684	-3386.800776	5.099221	0.403512	5.405022	0.917362	-4.661586	0.376288	5.352074	0.05316
18	0.319588	-3134.586083	2.622399	0.285232	2.9282	1.071363	-2.184764	0.374071	2.875252	0.153043
19	0.222222	-3332.630901	4.528707	0.367108	4.834508	0.988439	-4.056779	0.483305	4.845792	0.109408
20	0.301205	-3528.857717	3.230287	0.392249	3.716098	0.905595	-2.817348	0.470226	3.547372	0.183515
21	0.290323	-3441.400825	4.018935	0.359526	4.504746	1.00505	-3.605996	0.426009	4.33602	0.013934
22	0.373494	-3395.658279	4.04702	0.279545	4.445031	0.911925	-3.634081	0.403061	4.364106	0.207287
23	0.388889	-3354.716286	3.118773	0.195952	3.516784	1.122417	-2.705835	0.403061	3.435859	0.079683
