State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
1	0.37234	-3195.688167	2.572812	1.105521	2.902563	0.527008	-2.129698	0.182186	2.817801	0.637278
2	0.456522	-3222.990579	2.887727	0.770684	3.214118	0.377196	-2.444613	0.147498	3.132716	0.379573
3	0.509259	-3526.945605	2.996649	0.36953	3.467153	0.308375	-2.553534	0.349103	3.241638	0.458786
4	0.445545	-3674.205307	3.571776	0.422087	4.244395	0.685329	-3.207447	0.393585	3.90593	0.027705
5	0.424242	-3375.055673	4.94361	0.264609	5.519731	0.955963	-4.554855	0.117171	5.277764	0.17482
6	0.525641	-3603.253658	4.036182	0.405377	4.612303	0.889314	-3.647427	0.237122	4.370336	0.08353
7	0.336735	-3568.532399	4.824413	0.478091	5.363852	0.580692	-4.398975	0.23668	5.158567	0.085724
8	0.356436	-3496.001197	4.614168	0.368945	5.153607	0.72672	-4.182394	0.223898	4.941986	0.016303
9	0.428571	-3548.594883	4.647163	0.540379	5.186602	0.493493	-4.227371	0.169344	4.986963	0.051092
10	0.376344	-3337.777607	2.863816	0.384813	3.403254	0.823069	-2.444024	0.08488	3.203616	0.040592
11	0.433735	-3657.893322	3.695786	0.366232	4.250415	0.455797	-3.343416	0.037146	4.090503	0.044435
12	0.4375	-3497.114878	3.813412	0.189301	4.375429	0.383373	-3.483089	0.018809	4.215518	0.00477
13	0.5	-3481.517746	4.337429	0.232089	4.905124	0.40558	-4.007106	0.048458	4.739534	0.105881
14	0.352381	-3616.508282	4.721859	0.245172	5.316084	0.526172	-4.390356	0.035272	5.184657	0.091326
15	0.407895	-4001.068011	3.52278	0.276899	4.09904	0.716161	-3.219568	0.352084	3.957517	0.179602
16	0.333333	-3957.240221	3.453748	0.235464	4.061084	0.888397	-3.181612	0.300007	3.888485	0.088682
17	0.234234	-3898.756029	3.429013	0.212275	4.03635	0.687424	-3.156878	0.187643	3.86375	0.146316
18	0.147826	-3533.54043	3.995176	0.242492	4.529263	0.925431	-3.64979	0.262345	4.429913	0.160699
19	0.244444	-3506.864969	3.496876	0.205821	4.085783	0.405956	-3.151491	0.282456	3.931613	0.182795
20	0.267327	-3386.952529	4.087572	0.416567	4.634627	0.473249	-3.742187	0.281582	4.522309	0.331032
21	0.217822	-3846.826636	5.506236	0.271851	6.144221	0.698858	-5.250747	0.190536	6.11243	0.473498
22	0.313131	-3830.555591	3.729402	0.176064	4.404388	0.763499	-3.47876	0.125144	4.340443	0.515502
23	0.268041	-3641.740952	3.304901	0.560738	3.98757	1.225985	-3.003174	0.190598	3.864857	0.369206
24	0.233333	-4056.411564	4.937769	0.363211	5.620439	1.181803	-4.636042	0.201477	5.497725	0.363497
25	0.134021	-3676.751723	5.250223	0.210278	5.932893	0.907153	-4.948496	0.132142	5.810179	0.289295
26	0.28125	-3862.168788	4.386609	0.136219	5.069279	1.129448	-4.084882	0.362693	4.946565	0.321565
27	0.15	-4297.766318	2.98822	0.1598	3.850589	1.137362	-2.866192	0.350125	3.727875	0.249907
28	0.23301	-4122.59026	4.271949	0.20859	5.113613	1.04618	-4.112255	0.344015	4.97852	0.285352
29	0.165217	-4174.27409	2.051322	0.181874	2.742638	1.142188	-1.894638	0.307253	2.764977	0.259689
30	0.21	-3881.262968	3.652288	0.299836	4.343604	1.142188	-3.495604	0.269689	4.365943	0.365916
31	0.156863	-4204.355064	2.250133	0.203534	3.012816	1.310335	-2.09345	0.290675	2.963788	0.320316
32	0.203883	-3848.449452	3.62533	0.268557	4.313092	1.463281	-3.471903	0.376358	4.342242	0.297803
33	0.214286	-4065.961991	4.903753	0.242229	5.591516	1.399838	-4.821978	0.269069	5.620665	0.335645
34	0.295455	-3754.133675	2.955615	0.205744	3.684276	1.219308	-2.87384	0.237684	3.672527	0.389359
35	0.298701	-3719.244599	3.355188	0.210576	4.08385	0.839731	-3.273413	0.159952	4.072101	0.418158
36	0.252525	-4057.407909	1.596016	0.156951	2.325746	1.370236	-1.600411	0.17605	2.31375	0.503957
37	0.198276	-3531.270416	3.451388	0.307187	4.181117	1.564077	-3.455782	0.171452	4.169121	0.243145
38	0.134021	-3880.835701	2.745985	0.301736	3.519262	1.260589	-2.793927	0.170671	3.507267	0.333245
39	0.160377	-3985.807575	2.722343	0.311598	3.625907	1.060316	-2.770285	0.168726	3.483625	0.370663
40	0.218391	-3957.986937	3.627267	0.252751	4.537591	0.870402	-3.68197	0.213613	4.388548	0.311854
41	0.240385	-3864.051499	3.306629	0.278618	4.09216	1.0767	-3.361332	0.27737	4.06791	0.34668
42	0.149533	-3973.048969	2.300327	0.26216	3.123637	0.96744	-2.35503	0.272039	3.061608	0.469277
43	0.172414	-4369.614333	2.429834	0.221155	3.253143	1.047968	-2.484536	0.17699	3.191115	0.504102
44	0.156627	-4043.440639	3.206647	0.221155	4.04809	0.900538	-3.21318	0.126961	3.967929	0.43898
45	0.180851	-3802.569922	4.579679	0.207368	5.405435	1.137494	-4.548867	0.173876	5.34096	0.451101
46	0.214286	-3942.362329	4.179756	0.112452	5.005512	0.753009	-4.108779	0.152215	4.941037	0.483757
47	0.261261	-3920.12242	1.984282	0.131976	2.85242	1.228672	-1.955687	0.157662	2.745563	0.423763
48	0.290909	-4024.555711	3.54497	0.076553	4.408314	1.068845	-3.516375	0.175597	4.306251	0.65347
49	0.260417	-4084.78168	3.661266	0.067155	4.524609	0.925275	-3.632671	0.180435	4.422547	0.580552
50	0.192308	-4157.706266	3.041775	0.157221	3.914202	1.398514	-3.022263	0.123394	3.556233	0.299662
51	0.194175	-4103.910541	4.050223	0.177024	4.92265	1.244274	-4.030712	0.168574	4.564681	0.242178
52	0.21875	-4142.968341	4.149643	0.128213	5.026848	1.316558	-4.134909	0.093659	4.664101	0.24902
53	0.27957	-4169.27418	2.692413	0.118787	3.613789	0.959906	-2.677678	0.12647	3.206871	0.28027
54	0.298969	-3938.934553	2.626488	0.13918	3.459599	0.961918	-2.611754	0.248521	3.140946	0.199731
55	0.252632	-3935.191809	3.88785	0.092195	4.720961	1.073921	-3.860279	0.150114	4.469146	0.325705
56	0.156522	-4182.186656	3.911155	0.072952	4.744267	0.931115	-3.883585	0.10304	4.492451	0.284522
57	0.154639	-4051.781084	4.306593	0.127639	5.156532	0.80555	-4.279023	0.108369	4.887889	0.367048
58	0.157895	-3810.233857	3.418938	0.153543	4.268877	0.80555	-3.391368	0.108118	4.000234	0.271173
59	0.189189	-4003.830331	3.329275	0.099001	4.235579	0.758159	-3.301705	0.210513	3.910571	0.274322
60	0.194175	-4062.757622	4.576346	0.105541	5.48265	0.798705	-4.544978	0.177873	5.172342	0.302213
61	0.333333	-3944.056825	2.923954	0.186782	3.863218	0.612243	-2.895026	0.249773	3.52239	0.284108
62	0.195652	-3853.80731	3.04866	0.113537	3.926977	0.923353	-2.968785	0.258708	3.596149	0.255661
63	0.29703	-3942.612005	2.761008	0.290552	3.649998	0.890167	-2.681133	0.204184	3.308497	0.215659
64	0.25	-3711.447042	4.054499	0.241524	4.943488	0.585178	-3.890109	0.142375	4.601988	0.278537
65	0.3125	-3883.793784	4.520692	0.199911	5.414195	0.761287	-4.360815	0.070661	5.068181	0.287163
66	0.223301	-4112.364225	4.714471	0.388352	5.607974	0.543465	-4.558351	0.171691	5.26196	0.314691
67	0.23	-3894.893371	3.410222	0.358353	4.303725	0.583143	-3.254102	0.112964	3.957711	0.315665
68	0.287356	-3867.429807	3.5894	0.372564	4.482903	0.513884	-3.433279	0.042164	4.136889	0.430254
69	0.261682	-3671.097939	3.63245	0.507444	4.467378	0.541488	-3.51046	0.030704	4.199684	0.34096
70	0.238636	-3816.635885	3.527386	0.485959	4.467106	0.59066	-3.405396	0.027183	4.09462	0.296822
71	0.344828	-3703.441687	2.754477	0.457898	3.694197	0.686595	-2.632487	0.081001	3.321711	0.398212
72	0.238532	-3716.853364	4.230687	0.479417	5.160312	0.78662	-4.098602	0.137999	4.787826	0.356919
73	0.214953	-3750.946794	4.003676	0.479417	4.933301	0.807554	-3.871591	0.093413	4.560815	0.297235
74	0.240385	-3612.320928	2.672294	0.431824	3.55504	0.967482	-2.49333	0.084521	3.182554	0.075811
75	0.228571	-3779.251869	1.670761	0.398893	2.529419	0.989852	-1.494462	0.118741	2.181021	0.178546
76	0.293578	-3564.866088	3.435201	0.542509	4.29386	0.814033	-3.287122	0.140892	3.945461	0.119805
77	0.252632	-3913.59288	4.729435	0.629434	5.584948	0.814033	-4.639169	0.1128	5.318104	0.055996
78	0.243243	-3722.525339	3.101481	0.68464	3.981555	1.324924	-3.011215	0.06042	3.690151	0.15993
79	0.364583	-3982.38405	5.590869	0.330658	6.470942	1.000275	-5.500603	0.133649	6.179538	0.233617
80	0.264706	-3866.018619	5.526923	0.360095	6.476729	0.889231	-5.438535	0.092684	6.11747	0.251595
81	0.215909	-4016.127846	3.552832	0.243362	4.502638	0.70272	-3.464444	0.045585	4.143379	0.18922
82	0.23301	-4040.687324	5.866132	0.258642	6.815939	0.888083	-5.777744	0.067565	6.45668	0.242929
83	0.202128	-3777.014441	5.721011	0.2635	6.56545	0.868667	-5.608626	0.070509	6.241306	0.174185
84	0.196429	-4086.026696	4.3521	0.278863	5.217481	0.8952	-4.239715	0.029722	4.872396	0.241374
85	0.171429	-3967.458323	2.770655	0.267061	3.636035	0.919247	-2.65827	0.017194	3.29095	0.298508
86	0.2	-4004.546376	3.286501	0.228465	4.151881	0.845562	-3.174116	0.003429	3.806796	0.228504
87	0.21	-3989.311419	4.188182	0.342094	5.170968	0.646993	-4.075797	0.004889	4.708477	0.1777
88	0.290598	-3989.720633	3.719375	0.311151	4.702161	1.073318	-3.60699	0.022582	4.23967	0.223692
89	0.194175	-3821.128673	2.845717	0.325469	3.828504	0.9281	-2.733333	0.133104	3.366013	0.242001
90	0.240385	-4077.827385	2.512538	0.280605	3.495324	0.623616	-2.400153	0.149777	3.032833	0.289042
91	0.151163	-4291.128757	2.813789	0.217397	3.784165	0.717128	-2.699764	0.131679	3.332444	0.286241
92	0.2	-3536.783581	2.353241	0.285729	3.198433	0.848619	-2.239216	0.259998	2.871896	0.180539
93	0.22	-4002.162074	3.227869	0.244241	4.050335	0.992194	-3.154323	0.20172	3.787004	0.280028
94	0.156863	-4115.442782	3.825641	0.179231	4.648107	0.809799	-3.744706	0.196526	4.384775	0.234017
95	0.204545	-3622.764934	1.734394	0.288094	2.55686	0.629379	-1.703752	0.289509	2.293528	0.250224
96	0.181818	-4337.462012	3.706396	0.16321	4.591732	0.536465	-3.722533	0.137969	4.128105	0.208378
97	0.257732	-3997.762521	2.348131	0.258192	3.233467	0.516688	-2.364268	0.233559	2.688062	0.30387
98	0.25	-4054.768524	4.017495	0.225951	4.965575	0.713217	-4.033632	0.202728	4.357427	0.136061
99	0.155963	-3835.561982	3.8248	0.326055	4.77288	0.679561	-3.840938	0.340978	4.164732	0.490325
100	0.152941	-3616.942535	3.064535	0.26577	4.001061	0.724365	-3.080672	0.22454	3.404467	0.494465
