scenario  Ne(u+sni)_1     t(u+sni)_1      Na(u+sni)_1   
   1           3.777           7.312           3.231
   1           2.192           3.490          27.886
   1           2.737           3.901          28.079
   1           2.572           6.188          24.045
   1           2.605           1.406          28.079
   1           3.596           9.444          28.079
   1           2.399          10.131          28.079
   1           3.148           3.343          28.079
   1           3.478           7.716          28.079
   1           4.149           3.683          28.032
   1           2.809        9.016e-1          11.560
   1           2.952           2.934          28.079
   1           2.704           2.146          27.611
   1           2.528           5.194          28.079
   1           2.361           2.423          26.526
   1           4.430           1.493          27.936
   1           1.855           9.833          27.622
   1           2.225           6.905          28.079
   1           2.323           2.600          27.662
   1           2.181           6.192          28.079
   1           2.321          12.856          28.079
   1           2.225           3.259          24.104
   1           4.150           6.247          28.079
   1           2.856           5.831          27.886
   1           1.797           4.116          26.160
   1           2.246           5.491          27.772
   1           2.438           4.616          28.079
   1           2.455           3.987          28.079
   1           1.730           4.419          16.062
   1           3.186           3.577          28.079
   1           3.984           4.456          28.079
   1           2.589           2.142          20.434
   1           3.835           7.255          20.555
   1           2.393           5.449          28.079
   1           2.399           5.479          28.051
   1           2.182           2.480          28.079
   1           3.547          10.004          28.079
   1           3.516           7.844          28.079
   1           2.386        9.904e-1          28.079
   1           2.295        9.113e-1          27.423
   1           2.615           3.729          28.079
   1           1.556           4.367          27.404
   1           5.064           3.459          21.121
   1           5.265           4.771          27.933
   1           2.758           3.069          28.079
   1           3.211        7.548e-1          28.079
   1           3.073           6.189          24.856
   1           2.258           4.459          26.404
   1           2.146           4.969          27.061
   1           2.967           1.860          28.079
   1           1.434           2.172          28.079
   1           1.574        3.159e-1          27.408
   1           2.868           1.376          28.079
   1           3.391           9.497          28.079
   1           3.319           8.930          28.079
   1           1.798        4.990e-1          28.079
   1           2.394           4.890          28.079
   1           3.419        8.033e-1          26.897
   1           2.167           3.395          24.487
   1           3.425           7.483          27.587
   1           2.500           3.125          28.079
   1           3.529           3.926          28.079
   1           4.778           2.857          24.299
   1           4.207           3.894          25.711
   1           2.620           5.983          28.079
   1           2.003           3.061          25.741
   1           2.733           4.919          27.581
   1           4.185           3.120          28.079
   1           1.358        9.924e-1          15.086
   1           1.850           9.577          28.079
   1           1.924           3.102          28.079
   1           2.047           3.565          28.079
   1           2.420           4.425          26.103
   1           1.322           1.885          28.079
   1           3.656           5.118          25.741
   1           3.336           4.002          28.079
   1           2.838           8.080          28.079
   1           3.308           6.076          28.079
   1           2.621           4.310          25.176
   1           1.624           2.974          25.880
   1           5.052           6.376          27.059
   1           2.466           3.235          28.079
   1           2.924           2.138          28.079
   1           3.769           6.858          28.079
   1           2.517           2.326          28.079
   1           1.927           1.771          26.927
   1           3.512           9.158          27.547
   1           1.900           2.510          28.079
   1           3.340           1.624          28.079
   1           1.333           3.134          24.841
   1           2.219           5.564          28.079
   1           1.611           7.597          28.079
   1           3.372           3.603          28.079
   1           2.696           1.071          27.224
   1           3.740           8.170          28.079
   1           3.184           4.031          28.079
   1           2.528           4.095          28.079
   1           3.308           5.930          28.079
   1           2.222           5.530          28.079
   1           1.928           6.755          19.561
   1           2.548           6.276          28.079
   1           3.211           4.129          28.079
   1           3.524           8.426          28.079
   1           2.581           7.891          27.579
   1           2.943           3.415          28.079
   1           1.722           2.794          27.101
   1           4.411           6.042          28.079
   1           3.189           4.861          28.079
   1           2.882           4.379          25.466
   1           2.984           1.172          28.079
   1           1.758           3.021          28.079
   1           4.474          12.487          28.079
   1           3.127           2.116          27.551
   1           2.766           5.230          28.079
   1           4.542           2.300          28.079
   1           2.664           2.010          25.740
   1           2.133           8.381          28.079
   1           1.850           4.937          27.102
   1           3.293           4.061          15.867
   1           2.469           6.771          28.079
   1           3.512           4.567          28.079
   1           2.136           4.680          27.116
   1           1.771           2.344          24.982
   1           2.173        3.166e-1          28.079
   1           2.793           2.847          27.809
   1           4.337           1.182          28.079
   1           2.270           5.723          28.079
   1           2.021           3.473          28.079
   1           2.655           7.478           2.665
   1           1.925           5.014          27.765
   1           4.717           3.451          27.057
   1           1.805           6.307          28.079
   1           2.657           3.719          28.079
   1           4.572           9.269          28.079
   1           2.162           3.367          24.480
   1           3.407           3.009          28.079
   1           3.117           2.802          16.790
   1           2.805           1.784          28.079
   1           3.196           2.474          28.079
   1           1.761           2.257          24.041
   1           3.026           4.997          28.079
   1           2.701        3.012e-1          27.457
   1           2.534           3.020          28.079
   1           3.047           3.570          28.079
   1           3.045           3.658          28.079
   1           2.552           4.814          26.979
   1           2.220           1.063          28.079
   1           2.666           7.305          27.371
   1           2.924           2.942          26.795
   1           3.350           6.536          26.949
   1           2.363           7.931          28.079
   1           2.259           3.563          24.842
   1           3.309           4.131          26.285
   1           2.150           5.447          28.079
   1           3.690          10.552          28.079
   1           2.109           7.844          28.079
   1           2.775           6.035          28.079
   1           3.527           3.620          27.845
   1           3.339           8.517          28.079
   1           2.923           2.663          28.079
   1           3.337        9.759e-1          28.079
   1           2.912           5.597          28.079
   1           2.259           7.118          25.105
   1           3.304           6.535          28.079
   1           2.101           6.739          28.079
   1           4.738           3.842          27.984
   1           2.186           5.598          28.079
   1           2.890           3.458          27.885
   1           3.019           7.940          28.079
   1           2.912           2.392          28.079
   1           1.747           4.858          28.079
   1           4.959           9.900          28.079
   1           2.349           2.138          27.916
