scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000          11.663        8.848e-3
   1           1.000          11.517        8.416e-1
   1           1.000          11.920           1.370
   1           1.000          11.867        2.864e-1
   1           1.000           9.709           4.915
   1           1.000          11.816        5.775e-1
   1           1.000          12.228           2.986
   1           1.000          11.623        7.597e-1
   1           1.000          12.228        7.718e-1
   1           1.000          11.677        5.333e-1
   1           1.000           3.561        1.724e-1
   1           1.000          11.546        5.811e-1
   1           1.000           9.594        4.015e-1
   1           1.000          12.122           1.219
   1           1.000          11.357        2.476e-1
   1           1.000           8.460        8.105e-1
   1           1.000          12.228        5.856e-1
   1           1.000          12.228        5.308e-1
   1           1.000          10.758        9.288e-1
   1           1.000          12.228           1.133
   1           1.000          12.228           2.612
   1           1.000          10.381        4.626e-1
   1           1.000          12.228        3.451e-1
   1           1.000          10.972        3.781e-1
   1           1.000          10.964        3.218e-1
   1           1.000          10.720        9.364e-1
   1           1.000          11.909           1.882
   1           1.000          11.622        6.973e-1
   1           1.000          11.103        8.849e-2
   1           1.000          11.891        6.644e-1
   1           1.000          11.740        6.980e-1
   1           1.000          10.914        8.524e-2
   1           1.000          11.837        1.846e-1
   1           1.000          12.228        6.163e-1
   1           1.000          12.228        5.204e-1
   1           1.000          10.936           1.088
   1           1.000          11.981        3.029e-1
   1           1.000          12.073           1.206
   1           1.000          10.473           1.588
   1           1.000           8.719        4.156e-1
   1           1.000          12.013        7.850e-1
   1           1.000          11.972        4.779e-1
   1           1.000          11.544        4.134e-2
   1           1.000          10.948        2.099e-1
   1           1.000          10.937        6.418e-1
   1           1.000           7.783        7.014e-1
   1           1.000          11.109        3.343e-1
   1           1.000          11.139        2.450e-1
   1           1.000          12.128        3.612e-1
   1           1.000          10.641        9.475e-1
   1           1.000          12.174           1.277
   1           1.000           6.559        6.247e-1
   1           1.000          11.026        5.800e-1
   1           1.000          12.228        5.898e-1
   1           1.000          12.228           1.008
   1           1.000          10.128           1.231
   1           1.000          11.930        5.010e-1
   1           1.000           6.400        3.709e-1
   1           1.000          10.116        4.481e-1
   1           1.000          12.228        2.159e-1
   1           1.000          11.850           1.353
   1           1.000          11.591        9.688e-1
   1           1.000          10.915        1.307e-1
   1           1.000          10.750        4.546e-1
   1           1.000          12.088        6.988e-1
   1           1.000          10.213        3.303e-1
   1           1.000          12.228        2.629e-1
   1           1.000          11.871        5.864e-1
   1           1.000           7.281        3.554e-1
   1           1.000          12.228           1.313
   1           1.000          11.710           1.096
   1           1.000          10.616        7.287e-1
   1           1.000          12.228        1.728e-1
   1           1.000          11.586        9.515e-1
   1           1.000          12.228        2.119e-1
   1           1.000          12.228        3.621e-1
   1           1.000          11.787        8.695e-1
   1           1.000          12.120           1.103
   1           1.000           9.620        2.966e-1
   1           1.000          11.770        2.494e-1
   1           1.000          12.228        1.393e-1
   1           1.000          12.044        6.858e-1
   1           1.000          11.772        4.182e-1
   1           1.000          12.220        3.076e-1
   1           1.000          11.586        5.943e-1
