scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            2303         15507         17477    1.999e-004    1.185e-001    8.488e-006      5.090909      0.476384      1.369889      1.000000
  1            3228          9389         14220    9.262e-004    2.225e-001    3.198e-008      9.727273      0.767556     10.504011      0.839216
  1            1699         15148          7382    9.778e-004    2.070e-001    7.526e-006      7.818182      0.718783      4.617033      0.966292
  1            3623          7762          7324    5.565e-004    2.214e-001    1.611e-008      8.272727      0.641005      4.926004      0.900990
  1            3323         13268         12033    1.917e-004    2.266e-001    1.550e-007      5.181818      0.566759      1.602593      0.950000
  1            5713          7422         13728    1.521e-004    1.901e-001    5.505e-008      6.454545      0.605520      4.285075      0.855422
  1            3630          7700          2222    9.455e-004    2.368e-001    1.895e-007     11.090909      0.775168      7.891373      0.890511
  1            2793         14938         12136    1.692e-004    1.477e-001    1.158e-006      6.454545      0.630913      2.861852      0.898734
  1            2126         12351         10090    6.503e-004    2.446e-001    6.451e-006      9.000000      0.746866     10.451612      0.912442
  1            5389         10280         10208    1.720e-004    1.244e-001    2.906e-006      6.363636      0.639735      2.698626      0.933333
  1            4475         16145          5459    1.051e-004    1.737e-001    6.957e-008      4.363636      0.532963      1.506604      0.857143
  1            4623         12189          6796    2.659e-004    1.273e-001    3.582e-007      6.818182      0.632901      2.440862      0.949367
  1            2686         10320         17250    6.117e-004    2.749e-001    3.405e-007      8.363636      0.726373      5.100709      0.897561
  1            4150         11516         13513    2.689e-004    2.116e-001    3.183e-007      6.272727      0.608007      2.664095      0.945205
  1            3138          2106         16240    6.953e-004    1.013e-001    1.188e-006      9.909091      0.807574     12.013560      0.879032
  1            2850         10391         14890    4.319e-004    1.753e-001    1.889e-006      8.545455      0.740736      7.177152      0.839286
  1            3630         14025          2584    8.052e-004    1.524e-001    1.880e-006      9.636364      0.736659      5.493139      1.024155
  1            2494         13626          5395    6.052e-004    1.129e-001    2.315e-006      7.545455      0.680341      3.607244      0.948571
  1            4462         10303         13827    7.348e-004    1.307e-001    7.745e-007     11.909091      0.788636     20.690781      0.829114
  1            2959         14272          8518    6.933e-004    1.162e-001    2.073e-006      9.272727      0.762643      6.797869      1.020000
  1            4616          8615          7217    3.651e-004    2.339e-001    1.021e-007      7.272727      0.659023     10.566252      0.740741
  1            5869          9916           662    5.968e-004    1.924e-001    2.866e-007      8.181818      0.716949      3.631568      0.900000
  1            4128          7746          7851    2.969e-004    1.591e-001    5.211e-007      7.727273      0.724068      3.840144      0.858586
  1            6006          9011         11683    3.599e-004    2.382e-001    2.986e-007      9.363636      0.772628      7.095147      0.824000
