scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           5267          11409           9064       5.829e-4       1.952e-1       1.445e-6
   1           3305          18318           4096       2.845e-4       2.805e-1       5.118e-6
   1           4523          14528           1999       2.240e-4       2.902e-1       1.180e-7
   1           6158           5596           7944       4.228e-4       2.499e-1       3.710e-6
   1           5304          10899          10612       7.423e-4       2.939e-1       3.057e-6
   1           2700          12729          12307       5.884e-4       3.000e-1       2.833e-7
   1           5470          13971          12148       2.343e-4       3.000e-1       4.065e-6
   1           5622          11997           9131       2.437e-4       2.322e-1       2.833e-6
   1           3530          17153          11640       8.841e-4       2.896e-1       2.727e-7
   1           3524          11623           9478       8.253e-4       3.000e-1       2.230e-6
   1           3136           7457           9930       7.563e-4       2.718e-1       4.062e-6
   1           4195           5470           2006       5.825e-4       2.799e-1       1.220e-8
   1           3855          15574           7219       8.498e-4       3.000e-1       1.389e-7
   1           4323           9930           8149       3.017e-4       2.922e-1       3.958e-8
   1           2859          10257           3717       9.900e-4       2.784e-1       5.319e-6
   1           3006           9576           2968       3.635e-4       2.991e-1       1.660e-8
   1           4386          10070           7779       3.441e-4       2.998e-1       7.738e-7
   1           4251          14673          11104       3.654e-4       2.942e-1       3.275e-6
   1           4180          11833           9653       5.445e-4       2.913e-1       3.794e-8
   1           5230           3551          11814       7.434e-4       2.098e-1       1.928e-8
   1           4812          13588          12763       6.169e-4       2.881e-1       3.469e-8
   1           3578           3474           5617       6.921e-4       3.000e-1       4.349e-8
   1           4506          17978          15563       6.813e-4       3.000e-1       4.977e-8
   1           5791          20877           6565       2.285e-4       3.000e-1       1.107e-7
   1           3345          14896           8461       4.361e-4       3.000e-1       9.161e-8
   1           2260          13937           4214       9.532e-4       2.503e-1       3.924e-8
   1           3643          14044          11057       5.245e-4       3.000e-1       1.520e-6
   1           4536          13216           9308       7.060e-4       2.930e-1       1.684e-8
   1           3530          13847          12057       5.196e-4       2.708e-1       2.204e-6
   1           4345           8496          18630       6.224e-4       3.000e-1       8.759e-6
   1           3442           8311           7498       5.851e-4       2.949e-1       4.895e-8
   1           4473          14618          18220       6.879e-4       3.000e-1       1.000e-5
   1           4279          11399          10889       4.093e-4       2.846e-1       6.135e-6
   1           3813           8831          16398       3.991e-4       2.910e-1       1.150e-6
   1           2093           2037           6993       5.993e-4       3.000e-1       7.053e-7
   1           4619           7053          11743       6.854e-4       3.000e-1       4.179e-6
   1           2166           3002          12331       5.224e-4       2.631e-1       9.973e-6
   1           3880           7195           3570       5.658e-4       3.000e-1       7.359e-6
   1           2873           4030         24.673       4.651e-4       3.000e-1       4.295e-6
   1           4316          22177           5535       4.583e-4       3.000e-1       1.457e-7
   1           3676          10050           2350       8.557e-4       2.537e-1       1.815e-7
   1           3722          11716          11109       5.623e-4       2.588e-1       7.038e-8
   1           3344          12857          11780       6.950e-4       2.964e-1       1.644e-8
   1           4280          15164          14259       7.771e-4       2.372e-1       3.211e-7
   1           4640          11021          10705       6.133e-4       2.996e-1       2.754e-6
   1           3372          13076          20065       5.463e-4       3.000e-1       4.761e-6
   1           3802          13262           1424       6.682e-4       2.958e-1       3.065e-7
   1           3567          12575          16044       9.229e-4       2.812e-1       6.812e-7
   1           4422          11174           1716       3.594e-4       2.858e-1       3.094e-7
   1           4688          12849           6416       7.165e-4       2.879e-1       1.310e-8
   1           4982          17934           1640       4.399e-4       3.000e-1       1.071e-7
   1           1685           3861           9282       7.304e-4       2.973e-1       4.311e-6
   1           3456          11674            462       6.541e-4       2.836e-1       1.286e-8
   1           3514          11253          14653       6.272e-4       2.699e-1       2.391e-7
   1           6448          11843          13360       7.473e-4       2.446e-1       2.483e-7
   1           4285          11019           2012       4.939e-4       2.992e-1       2.284e-7
   1           4394          10075          14322       5.449e-4       2.964e-1       6.556e-8
   1           2679          18082          13840       6.526e-4       3.000e-1       2.096e-6
   1           3415          16864            729       4.223e-4       3.000e-1       2.999e-8
   1           5846          12500           5014       8.006e-4       3.000e-1       5.261e-7
   1           4494           8950          20545       3.269e-4       2.910e-1       6.853e-6
   1           5304          11695           6573       3.725e-4       2.547e-1       1.241e-7
   1           4760          14502          10313       6.346e-4       3.000e-1       2.013e-7
   1           4133           8343           6981       2.425e-4       2.488e-1       5.089e-6
   1           4083           2078           8845       8.785e-4       1.141e-1       8.645e-8
   1           4729           8875          10453       5.305e-4       2.756e-1       5.994e-6
   1           2138           9853           8581       9.352e-4       2.966e-1       5.811e-7
   1           4570          15814          13563       3.944e-4       2.903e-1       6.488e-6
   1           2834           9032           7751       8.973e-4       2.967e-1       3.370e-8
   1           4190          14021            619       3.960e-4       2.877e-1       9.491e-6
   1           3892           9149           5809       4.609e-4       3.000e-1       6.493e-7
   1           3370          14048           4739       6.894e-4       2.886e-1       1.851e-7
   1           3805           9409          15836       6.458e-4       2.783e-1       2.060e-7
   1           4082          16921           7404       6.187e-4       2.947e-1       6.165e-6
   1           5397          13071           2076       5.133e-4       2.484e-1       3.827e-7
   1           3676           5777           3014       9.709e-4       2.884e-1       1.981e-7
   1           5205          16976          15267       2.347e-4       2.809e-1       4.440e-6
   1           4722          14592          13162       5.002e-4       2.405e-1       8.340e-7
   1           4701          14790          14448       4.063e-4       3.000e-1       2.237e-7
   1           4349           8050           9361       3.974e-4       2.399e-1       1.859e-6
   1           4208          14366          12703       8.214e-4       2.898e-1       3.715e-8
   1           2913          14516          11568       9.688e-4       2.824e-1       8.539e-7
   1           4852          13750           1598       3.128e-4       2.969e-1       1.514e-6
   1           4750           9162           6788       6.182e-4       2.850e-1       1.699e-8
   1           4178           7192           9003       4.191e-4       2.986e-1       4.656e-6
   1           4195          13383          13288       4.670e-4       2.727e-1       6.759e-6
   1           5235          10033           7528       3.538e-4       2.987e-1       6.860e-8
   1           3894           6899          10340       4.208e-4       2.851e-1       1.000e-5
   1           3966           6310           9741       7.811e-4       2.443e-1       4.729e-6
   1           3624          12586           9104       7.073e-4       2.612e-1       1.498e-6
   1           2629          14511           5290       9.317e-4       3.000e-1       1.733e-7
   1           3936          13358           3812       5.176e-4       2.871e-1       3.372e-6
   1           4484          15795           4814       3.478e-4       3.000e-1       1.933e-8
   1           3980           4766          12169       4.577e-4       2.761e-1       4.259e-7
   1           2841          11390           9594       8.213e-4       2.994e-1       1.901e-6
   1           5059           2122           5139       3.018e-4       3.000e-1       9.916e-7
   1           2161          10495           3041       9.681e-4       2.977e-1       2.510e-8
   1           2937           4670           4053       4.685e-4       2.556e-1       9.598e-6
