scenario   Ne/Mean(N)      t/Mean(N)       Na/Mean(N)   
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
   1           1.000        2.853e-2        1.363e-2
