scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            4888         10000          3916    4.271e-004    2.933e-001    4.069e-006     11.250000      0.714509      7.876709      1.192053
  1            3150          6916          8199    9.209e-004    2.750e-001    8.296e-008      9.250000      0.702194     14.280161      0.787234
  1            4166         13762          8231    6.686e-004    2.739e-001    1.147e-006      9.875000      0.763548      6.188531      0.975309
  1            3481          9632         12720    8.600e-004    1.517e-001    1.039e-006      9.375000      0.687128      7.100680      1.020408
  1            4532         10184          8991    9.040e-004    2.993e-001    1.713e-006     11.250000      0.670774     17.692135      0.829493
  1            4431          7595          8649    4.702e-004    2.706e-001    1.409e-006     10.000000      0.793809      9.134536      0.946746
  1            2718         14773         17428    5.883e-004    3.000e-001    1.244e-006      9.625000      0.702812      5.535778      0.980892
  1            3692         13454          8840    8.526e-004    2.991e-001    1.998e-008      9.750000      0.790329      5.938737      0.981132
  1            2649          7316          7572    9.187e-004    2.908e-001    2.551e-008     10.750000      0.762435     11.709864      0.905263
  1            5244         17493         16914    5.426e-004    2.862e-001    3.721e-006      9.375000      0.796037      6.203650      1.020408
  1            4190          7523          4950    7.226e-004    2.562e-001    3.978e-007     11.750000      0.762045     12.452345      0.964103
  1            3650         11730          7943    5.698e-004    3.000e-001    8.705e-008      9.000000      0.664030      7.586473      0.905660
  1            5739          8072          3821    2.121e-004    2.652e-001    3.521e-007      7.875000      0.633206     11.165306      0.684783
  1            3542         14719          3649    5.416e-004    2.844e-001    3.680e-007      8.375000      0.723088      4.286327      0.832298
  1            3160         11203           316    8.500e-004    2.810e-001    4.351e-007      8.125000      0.697469      4.777263      0.896552
  1            4380          8856          3288    3.972e-004    2.438e-001    2.318e-008      8.375000      0.712658      3.723817      1.046875
  1            5643         17261         10558    2.545e-004    2.918e-001    1.764e-008      6.625000      0.626663      2.768070      0.913793
  1            6211         11840         11774    4.189e-004    3.000e-001    3.602e-006     10.500000      0.695279      5.480626      1.056604
  1            5121          2277          3893    5.422e-004    1.754e-001    5.166e-006      9.500000      0.748208      5.647089      1.117647
  1            3318         13715         15422    5.741e-004    3.000e-001    1.031e-007      7.500000      0.697791     12.742946      0.805369
  1            2711         13244          2520    8.271e-004    2.992e-001    4.589e-006      7.750000      0.711463      4.798342      0.925373
  1            3639         11126         12563    4.004e-004    2.418e-001    4.305e-006      8.125000      0.709069      3.128503      1.007752
  1            4297         11470          5846    6.361e-004    2.899e-001    3.125e-008      8.875000      0.742296      5.900573      0.965986
  1            3678         10099         10562    3.523e-004    3.000e-001    9.799e-006     10.625000      0.755797      7.143327      0.899471
  1            4592          9621         10355    6.691e-004    2.046e-001    1.436e-008      8.625000      0.740299     10.378169      0.958333
  1            4038          8327          5649    6.375e-004    2.634e-001    1.551e-006      7.500000      0.615857      6.059927      0.863309
  1            4812         16616          1171    2.695e-004    3.000e-001    2.114e-007      6.375000      0.599732      3.059670      0.857143
  1            3728          9457         23683    4.965e-004    2.793e-001    3.903e-008      6.625000      0.639688      3.523366      0.963636
  1            2512          9045          8115    9.204e-004    3.000e-001    3.941e-007      8.750000      0.753941      4.849287      0.903226
  1            4289         18771          8538    6.163e-004    2.425e-001    7.060e-007      6.500000      0.656023      2.622118      0.962963
  1            5409          8490          6300    5.317e-004    2.829e-001    5.292e-008      9.500000      0.687366      5.909111      0.955975
  1            5046          9993          1752    6.107e-004    2.815e-001    5.250e-007      9.750000      0.785580      8.424698      0.901734
  1            3444          9773          4953    4.291e-004    3.000e-001    1.427e-007      6.000000      0.623097      2.097917      0.960000
  1            4706         11799          3204    3.445e-004    2.849e-001    5.273e-007      8.000000      0.663381      2.463186      0.955224
  1            3199          8384          2435    7.896e-004    3.000e-001    5.880e-007      9.125000      0.730852      8.835677      0.884848
  1            2888         14546          2415    4.440e-004    2.976e-001    1.943e-006      7.125000      0.665492      2.540847      0.760000
  1            4462          9411          7973    4.002e-004    2.888e-001    5.379e-006      8.375000      0.663817      7.629687      0.971014
  1            4252         15324          6712    5.153e-004    3.000e-001    2.282e-008      9.000000      0.754597     14.552142      0.813559
  1            4595          9270         15342    4.425e-004    2.833e-001    4.543e-007      7.875000      0.739678      6.815415      0.828947
