scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           3247          12474           8701       8.358e-4       2.823e-1       2.059e-7
   1           3035          13235           4967       9.732e-4       2.893e-1       4.200e-8
   1           4584          18298          11859       9.032e-4       3.000e-1       1.377e-7
   1           4651           9895           8350       8.138e-4       3.000e-1       9.993e-8
   1           2525          12131           4571       5.811e-4       2.879e-1       1.108e-7
   1           4045          14684           8971       7.935e-4       2.842e-1       8.426e-8
   1           3092           6065           2625       8.329e-4       2.994e-1       1.527e-8
   1           3636           8618           1867       5.957e-4       1.872e-1       1.857e-7
   1           1440           9368           3513       8.556e-4       2.901e-1       3.616e-8
   1           3463           5655          19017       8.476e-4       2.858e-1       8.867e-6
   1           4173           6287           1161       5.312e-4       2.886e-1       5.966e-8
   1           4048          12154           7466       7.376e-4       2.645e-1       8.813e-6
   1           4182          14416           5151       9.128e-4       2.593e-1       1.661e-8
   1           4855          14556           2371       5.237e-4       2.805e-1       1.540e-7
   1           3220          10777           5091       6.269e-4       3.000e-1       1.865e-8
   1           3992           7993           3355       9.860e-4       2.963e-1       2.514e-7
   1           3110          17603           6701       5.455e-4       3.000e-1       5.764e-6
   1           3852           4985          17640       5.816e-4       3.000e-1       4.609e-7
   1           3830           9558           6599       8.049e-4       2.849e-1       1.511e-7
   1           1936           6621           2895       9.031e-4       2.818e-1       2.568e-6
   1           2824           8438           3904       5.591e-4       3.000e-1       3.487e-8
   1           3599          10993          15826       5.751e-4       2.819e-1       1.626e-8
   1           4264          11016            617       5.872e-4       2.786e-1       4.739e-8
   1           2605          13943          11253       8.681e-4       2.842e-1       6.672e-6
   1           4574          13649           4439       6.241e-4       2.784e-1       3.858e-7
   1           2496           9408           1015       9.121e-4       2.992e-1       3.460e-6
   1           2259          13587           5744       7.699e-4       2.394e-1       2.549e-6
   1           2577          10831           8165       6.201e-4       3.000e-1       1.474e-6
   1           5253           7869           3464       3.452e-4       2.850e-1       2.071e-8
   1           3177           2580           4686       4.531e-4       2.931e-1       1.632e-8
   1           2564           7872           7690       7.414e-4       2.699e-1       5.128e-6
   1           2829           9849           4883       9.747e-4       2.992e-1       4.550e-7
   1           2106           4641           8751       9.250e-4       2.933e-1       2.402e-6
   1           3055          12622           2851       9.662e-4       3.000e-1       2.357e-7
   1           4432          16461           3933       5.735e-4       2.641e-1       2.063e-8
   1           2674          18261           4618       7.299e-4       3.000e-1       8.452e-8
   1           3507           6316           8305       7.280e-4       2.980e-1       1.044e-6
   1           4570          11764           2804       5.731e-4       2.954e-1       2.319e-6
   1           5173           7502           3975       4.741e-4       2.969e-1       2.008e-8
   1           3797           8955           8366       7.718e-4       2.067e-1       3.181e-6
   1           3418           7714           2417       3.727e-4       2.691e-1       1.474e-7
   1           1237          14363           7943       9.268e-4       2.221e-1       8.810e-6
   1           2601          11819           7765       7.204e-4       2.922e-1       2.616e-8
   1           4027          10201           3334       9.255e-4       2.237e-1       3.931e-6
   1           4049          10836          13145       5.208e-4       2.979e-1       2.920e-8
   1           2961          11039           9929       7.569e-4       2.589e-1       8.348e-6
   1           5995          17293          16386       2.811e-4       2.945e-1       5.182e-7
   1           3536           9505           8920       6.840e-4       2.383e-1       5.479e-8
   1           3009          11681           5263       5.778e-4       2.969e-1       7.510e-6
   1           4571           6631           2855       5.622e-4       2.984e-1       5.893e-8
   1           5800           8396          12624       4.698e-4       2.936e-1       4.664e-7
   1           3398           9211           4272       5.385e-4       3.000e-1       2.604e-7
   1           4828          10605          11751       4.355e-4       2.954e-1       4.171e-6
   1           1757           8725           5436       8.501e-4       3.000e-1       1.209e-7
   1           2387          13485           5063       5.657e-4       2.412e-1       2.273e-8
   1           2919           8412           5303       9.471e-4       3.000e-1       3.115e-8
   1           4298          11719           4673       4.570e-4       3.000e-1       1.764e-7
   1           3999           7491           7666       6.632e-4       3.000e-1       1.514e-7
   1           4767           3988          12475       3.059e-4       2.308e-1       5.810e-6
   1           2826          16529           9029       1.000e-3       2.573e-1       1.110e-7
   1           2554           6235           1812       9.858e-4       1.349e-1       5.339e-6
   1           4086           8476           8249       7.593e-4       2.606e-1       1.459e-8
   1           2641           4689           3701       8.837e-4       2.539e-1       6.755e-6
   1           2097           9563           1330       7.014e-4       2.886e-1       4.127e-8
   1           2814           8386           8032       4.670e-4       2.933e-1       2.703e-7
   1           2679           5909          10719       6.467e-4       3.000e-1       8.117e-6
   1           3523          12861           8923       6.952e-4       2.806e-1       1.332e-8
   1           3983          15197           7998       5.473e-4       2.504e-1       6.289e-6
   1           2590           9071           3131       9.736e-4       2.855e-1       9.590e-8
   1           2931          10106           4391       7.944e-4       2.910e-1       1.629e-7
   1           4060           8166           6492       5.821e-4       2.631e-1       2.284e-6
   1           2917          12683           2618       7.768e-4       2.972e-1       1.633e-7
   1           5637           9833           5599       7.198e-4       2.689e-1       2.090e-8
   1           3203           7540          10195       9.581e-4       2.687e-1       1.598e-7
   1           4263          10077           6144       6.407e-4       2.574e-1       4.416e-7
   1           4175           9500           3340       4.533e-4       2.915e-1       4.051e-7
   1           4648           6507           3091       2.805e-4       1.957e-1       2.251e-6
   1           3601          16480           4582       7.373e-4       2.842e-1       5.886e-7
   1           3902          10395          24053       7.853e-4       1.439e-1       7.493e-6
   1           6335          14463           5026       4.169e-4       3.000e-1       1.774e-7
   1           5000          10140           2289       8.450e-4       2.967e-1       6.437e-6
   1           3281          11261           3010       3.246e-4       2.727e-1       8.129e-8
   1           4770          14294           4937       4.023e-4       3.000e-1       4.506e-8
   1           3511           8232           8212       6.237e-4       2.291e-1       2.386e-7
   1           4288          10196           4207       5.027e-4       2.788e-1       2.476e-7
   1           2538          18651           6978       8.113e-4       2.895e-1       1.121e-7
   1           5247           6424           7067       3.826e-4       2.334e-1       9.781e-7
   1           3591          12240           1816       6.776e-4       2.013e-1       9.872e-6
   1           3185          11760           7916       5.174e-4       2.868e-1       4.615e-8
   1           4432          19677           6172       9.224e-4       3.000e-1       1.019e-7
   1           2167          18304           5244       1.000e-3       2.933e-1       1.287e-8
   1           5022          15371           7873       7.797e-4       2.585e-1       2.420e-8
   1           3941           9725           9461       5.458e-4       2.973e-1       4.654e-7
   1           2223          13831           9848       6.927e-4       2.359e-1       1.501e-6
   1           4151          11401           7725       5.118e-4       2.197e-1       6.803e-6
   1           2644           6698           7300       9.647e-4       2.718e-1       5.341e-7
   1           4246           8253           5505       7.709e-4       2.105e-1       2.010e-6
   1           3346           3518           7574       4.016e-4       2.586e-1       7.457e-7
   1           3107           9955           2471       5.838e-4       2.841e-1       1.057e-7
   1           4653          17585           6224       7.858e-4       2.439e-1       3.746e-8
   1           2689           9284           3717       7.322e-4       2.750e-1       5.953e-6
   1           3571           7590           4421       6.695e-4       2.750e-1       2.494e-8
   1           4133          12034           4179       5.098e-4       2.966e-1       7.662e-6
   1           3582           4609          15456       6.031e-4       2.833e-1       9.719e-6
   1           4070          12598           6572       5.334e-4       3.000e-1       3.284e-7
   1           5042          10514           6255       2.080e-4       3.000e-1       8.434e-6
   1           1683           9898           5273       1.000e-3       2.896e-1       6.245e-6
   1           4952           3851           1490       7.473e-4       2.884e-1       9.147e-7
   1           3837          16655          17232       3.936e-4       2.820e-1       1.171e-8
   1           4886          10874           1206       3.168e-4       2.774e-1       3.441e-6
   1           2829          13289           8659       8.896e-4       3.000e-1       2.267e-8
   1           3482           3101           6866       3.533e-4       2.649e-1       1.000e-5
