scenario      Ne              t             Na           µmic_1        pmic_1        snimic_1    
   1           3223          12587           8534       8.627e-4       2.935e-1       1.937e-7
   1           2999          13473           5107       1.078e-3       3.013e-1       4.198e-8
   1           4615          18621          11331       9.616e-4       3.283e-1       1.299e-7
   1           4619           9876           8171       8.201e-4       3.358e-1       9.311e-8
   1           2475          12236           4749       5.632e-4       3.043e-1       1.030e-7
   1           4030          15088           8580       8.149e-4       2.985e-1       7.915e-8
   1           3067           5947           2805       8.568e-4       3.261e-1       1.875e-8
   1           3610           8634           2015       5.934e-4       1.808e-1       1.711e-7
   1           1474           9392           3619       8.051e-4       3.040e-1       3.683e-8
   1           3433           5512          15423       8.979e-4       3.014e-1       1.106e-5
   1           4185           6169           1278       5.049e-4       3.022e-1       5.769e-8
   1           4057          12172           7417       7.518e-4       2.677e-1       1.128e-5
   1           4154          14836           5271       9.432e-4       2.603e-1       1.997e-8
   1           4946          14796           2553       4.922e-4       2.914e-1       1.440e-7
   1           3184          10872           5221       6.190e-4       3.336e-1       2.118e-8
   1           3999           7871           3560       1.158e-3       3.180e-1       2.342e-7
   1           3061          18272           6717       5.141e-4       3.334e-1       6.172e-6
   1           3831           4855          14502       5.679e-4       3.318e-1       4.201e-7
   1           3816           9521           6580       8.444e-4       2.997e-1       1.391e-7
   1           1906           6533           3105       9.456e-4       2.929e-1       2.485e-6
   1           2770           8339           4122       5.341e-4       3.368e-1       3.579e-8
   1           3571          11100          14116       5.716e-4       2.941e-1       1.799e-8
   1           4235          11004            656       5.823e-4       2.895e-1       4.650e-8
   1           2556          14097          10803       9.270e-4       2.976e-1       6.964e-6
   1           4594          13859           4625       6.124e-4       2.895e-1       3.484e-7
   1           2437           9343           1098       1.004e-3       3.238e-1       3.444e-6
   1           2198          13758           5851       7.942e-4       2.325e-1       2.479e-6
   1           2550          10996           7922       6.169e-4       3.234e-1       1.398e-6
   1           5206           7797           3663       3.374e-4       3.011e-1       2.376e-8
   1           3160           2526           4809       4.547e-4       3.134e-1       1.872e-8
   1           2522           7846           7506       7.559e-4       2.740e-1       5.337e-6
   1           2764           9816           5050       1.148e-3       3.213e-1       4.169e-7
   1           2051           4513           8364       1.021e-3       3.059e-1       2.336e-6
   1           3015          12830           3074       1.054e-3       3.457e-1       2.124e-7
   1           4372          17115           4112       5.711e-4       2.672e-1       2.362e-8
   1           2641          18965           4798       7.379e-4       3.405e-1       7.906e-8
   1           3478           6220           8063       7.304e-4       3.253e-1       9.609e-7
   1           4497          11859           2983       5.714e-4       3.174e-1       2.202e-6
   1           5276           7390           4191       4.427e-4       3.171e-1       2.258e-8
   1           3770           8941           7962       7.897e-4       1.961e-1       3.142e-6
   1           3384           7639           2596       3.465e-4       2.737e-1       1.395e-7
   1           1216          14707           7679       9.747e-4       2.116e-1       1.229e-5
   1           2550          11934           7638       7.273e-4       3.134e-1       2.663e-8
   1           3974          10216           3496       8.857e-4       2.158e-1       4.049e-6
   1           4026          10871          11754       5.070e-4       3.274e-1       3.060e-8
   1           2907          11040           9350       7.770e-4       2.584e-1       1.027e-5
   1           6224          18241          13253       2.601e-4       3.159e-1       4.695e-7
   1           3507           9463           8501       6.832e-4       2.294e-1       5.310e-8
   1           2956          11793           5394       5.530e-4       3.151e-1       9.091e-6
   1           4527           6555           3016       5.567e-4       3.261e-1       5.652e-8
   1           5972           8297          11154       4.372e-4       3.173e-1       4.233e-7
   1           3370           9154           4453       5.239e-4       3.327e-1       2.352e-7
   1           4832          10619          10820       4.171e-4       3.221e-1       4.271e-6
   1           1726           8671           5535       8.807e-4       3.332e-1       1.098e-7
   1           2335          13752           5211       5.453e-4       2.330e-1       2.493e-8
   1           2900           8362           5415       9.580e-4       3.344e-1       3.197e-8
   1           4292          11824           4852       4.334e-4       3.462e-1       1.579e-7
   1           3970           7398           7514       6.613e-4       3.347e-1       1.361e-7
   1           4809           3836          11038       2.843e-4       2.203e-1       6.338e-6
   1           2768          17197           8729       1.166e-3       2.570e-1       1.061e-7
   1           2546           6135           1963       9.877e-4       1.344e-1       5.931e-6
   1           4067           8407           8083       7.670e-4       2.608e-1       1.685e-8
   1           2592           4529           3931       9.506e-4       2.510e-1       8.083e-6
   1           2000           9486           1436       6.975e-4       3.014e-1       4.075e-8
   1           2777           8293           7814       4.468e-4       3.186e-1       2.422e-7
   1           2664           5829           9865       6.437e-4       3.323e-1       1.014e-5
   1           3488          13068           8460       6.922e-4       2.927e-1       1.632e-8
   1           3995          15548           7920       5.132e-4       2.482e-1       6.331e-6
   1           2512           8944           3304       1.167e-3       2.978e-1       9.262e-8
   1           2899          10109           4560       8.099e-4       3.131e-1       1.494e-7
   1           4057           8041           6514       5.613e-4       2.642e-1       2.184e-6
   1           2871          12874           2861       8.003e-4       3.260e-1       1.464e-7
   1           5857           9824           5703       7.261e-4       2.734e-1       2.135e-8
   1           3157           7382           9563       1.105e-3       2.733e-1       1.467e-7
   1           4298           9977           6234       6.249e-4       2.573e-1       4.052e-7
   1           4150           9469           3567       4.373e-4       3.150e-1       3.566e-7
   1           4659           6363           3337       2.642e-4       1.828e-1       2.126e-6
   1           3572          17187           4772       7.505e-4       2.995e-1       5.200e-7
   1           3880          10476          17439       8.089e-4       1.403e-1       8.599e-6
   1           6551          14810           5184       3.862e-4       3.384e-1       1.601e-7
   1           4904          10138           2444       8.275e-4       3.236e-1       7.496e-6
   1           3252          11230           3207       3.011e-4       2.785e-1       7.783e-8
   1           4850          14651           5101       3.656e-4       3.336e-1       4.413e-8
   1           3482           8173           7986       6.161e-4       2.186e-1       2.184e-7
   1           4256          10206           4402       4.909e-4       2.906e-1       2.186e-7
   1           2507          19372           6915       8.335e-4       3.098e-1       1.024e-7
   1           5155           6366           6950       3.823e-4       2.287e-1       8.829e-7
   1           3563          12355           2014       6.764e-4       1.882e-1       1.520e-5
   1           3135          11877           7631       4.851e-4       3.049e-1       4.540e-8
   1           4448          20662           6224       1.009e-3       3.363e-1       9.417e-8
   1           2112          19369           5370       1.147e-3       3.187e-1       1.690e-8
   1           5024          15874           7618       7.962e-4       2.567e-1       2.674e-8
   1           3942           9638           9081       5.146e-4       3.247e-1       4.285e-7
   1           2182          13958           9341       6.933e-4       2.271e-1       1.382e-6
   1           4158          11511           7518       4.789e-4       2.078e-1       7.529e-6
   1           2610           6570           7303       1.062e-3       2.776e-1       4.890e-7
   1           4258           8119           5629       7.945e-4       1.970e-1       1.897e-6
   1           3308           3366           7377       3.719e-4       2.570e-1       6.654e-7
   1           3057           9920           2712       5.602e-4       3.002e-1       9.720e-8
   1           4643          18628           6203       8.062e-4       2.369e-1       3.810e-8
   1           2681           9291           3910       7.241e-4       2.840e-1       6.843e-6
   1           3541           7472           4611       6.580e-4       2.808e-1       2.613e-8
   1           4118          12225           4392       4.870e-4       3.239e-1       9.746e-6
   1           3552           4435          13109       5.752e-4       2.978e-1       1.219e-5
   1           4090          12798           6576       5.021e-4       3.116e-1       3.086e-7
   1           5013          10517           6283       2.033e-4       3.355e-1       1.125e-5
   1           1632           9859           5409       1.135e-3       3.111e-1       6.929e-6
   1           4911           3723           1670       7.529e-4       3.077e-1       8.062e-7
   1           3816          17409          14137       3.686e-4       2.960e-1       1.436e-8
   1           4977          10910           1373       2.888e-4       2.870e-1       3.455e-6
