scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3670           254          9593    4.233e-004    1.752e-001    7.503e-006     11.875000      0.820626     10.952923      0.994764
  1            4123          2331          6707    8.634e-004    1.759e-001    6.050e-006     13.250000      0.815625     15.840614      0.917749
  1            2866         10534         12092    1.535e-004    1.127e-001    4.445e-007      4.375000      0.505285      0.799955      1.060606
  1            3317          9147          1286    8.969e-004    1.056e-001    2.153e-007      9.125000      0.751717      4.127909      1.000000
  1            5000          7301         10384    8.957e-004    2.792e-001    1.937e-007      9.125000      0.763068      5.867147      0.890244
  1            3010          7689          8968    2.362e-004    2.611e-001    9.667e-006      7.625000      0.611577      3.606226      0.983871
  1            2003         10411         10307    6.181e-004    2.932e-001    6.293e-006      5.375000      0.657077      2.736397      0.834951
  1            2643         10220         10120    2.436e-004    1.310e-001    2.277e-007      4.000000      0.484520      1.289588      0.864865
  1            2801          9124         10966    8.690e-004    2.132e-001    5.716e-008     11.125000      0.788718     30.501928      0.801802
  1            4135          9566         15940    2.268e-004    1.951e-001    2.059e-007      4.750000      0.613287      2.018090      0.863636
  1            1991         13283         21579    7.143e-004    1.532e-001    8.962e-007      6.500000      0.677596      2.568650      0.904348
  1            3941          8150         18879    7.243e-004    1.147e-001    2.982e-006     12.375000      0.830431     27.168499      0.811475
  1            4684          2382          3823    2.865e-004    2.050e-001    3.552e-008      7.375000      0.674180      2.792769      0.929134
  1            3868          8233         18999    7.166e-004    1.392e-001    1.316e-008      7.500000      0.746570      3.381071      1.000000
  1             846         13253          6537    9.887e-004    1.358e-001    1.331e-006      6.750000      0.677874      1.694051      1.028571
  1            4034           226         10651    6.577e-004    1.871e-001    1.221e-007      8.500000      0.777491      4.044664      0.894737
  1            4639          8525         16574    3.255e-004    1.391e-001    1.702e-008      9.125000      0.735936     10.727104      0.890244
  1            1151          8126          8542    2.620e-004    1.354e-001    1.838e-006      4.625000      0.527672      2.333750      0.936709
  1            1962         12716         23116    9.712e-004    1.544e-001    4.932e-006      9.500000      0.682540      4.983970      1.078014
  1            5302          5315          8755    2.653e-004    1.925e-001    8.719e-008     10.750000      0.768290      8.683926      1.000000
  1            3912         12086          9314    1.195e-004    2.354e-001    1.285e-007      6.500000      0.701495      2.986242      0.928571
