scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3441         12948         15482    4.951e-004    2.769e-001    7.825e-007      9.375000      0.712558      3.391706      0.872093
  1            3322         17048         19761    3.089e-004    2.874e-001    5.044e-007      5.750000      0.491357      2.562822      0.920000
  1            4414         13537          3477    2.112e-004    1.662e-001    1.017e-007      8.250000      0.735699      4.639696      0.992481
  1            1513          8822          3549    3.033e-004    1.101e-001    6.390e-008      5.125000      0.620753      1.576501      0.953488
  1            4293          9514          2532    2.013e-004    1.058e-001    8.392e-007      4.875000      0.522134      1.099221      0.975000
  1            3596          6206         12798    4.342e-004    1.402e-001    8.856e-008      8.125000      0.752405      5.604004      0.935252
  1            5515          8589         18150    3.236e-004    1.116e-001    9.455e-006      8.000000      0.748382      2.410161      1.075630
  1            1334          9956          1893    8.101e-004    2.253e-001    1.032e-006      6.875000      0.705968      2.991264      0.909091
  1            4154         12841          1361    5.817e-004    2.692e-001    3.376e-006     10.375000      0.759907      6.059129      1.018405
  1            4166         10402          9473    2.331e-004    2.240e-001    9.350e-007      8.500000      0.732710      3.700703      1.038168
  1            4559         19191         15876    6.355e-004    1.662e-001    2.003e-008     11.625000      0.833979      9.434704      0.939394
  1            1572         12394          7384    1.139e-004    1.389e-001    2.367e-007      2.750000      0.285189      0.298491      1.023256
  1            3468          9552         10117    1.613e-004    2.731e-001    3.345e-007      4.875000      0.441712      0.929534      0.987342
  1            4252         11788          5790    5.436e-004    2.870e-001    1.358e-008      9.125000      0.773028      6.700867      0.869048
  1            1841         12804          6580    1.323e-004    1.186e-001    6.739e-007      3.750000      0.353540      1.037742      0.821918
  1            1292         13985         16771    5.421e-004    2.361e-001    6.782e-008      5.000000      0.480710      1.247792      0.909091
  1            3486          7667          5912    9.153e-004    2.110e-001    1.757e-008     12.625000      0.817630     13.934945      0.889868
  1            3757         17415          4015    7.816e-004    2.010e-001    1.741e-008      9.875000      0.790130      8.176395      0.902857
  1            3341         11432          7728    7.999e-004    1.716e-001    1.403e-007      8.625000      0.716196      8.852473      0.951724
  1            5593          4358          2163    3.552e-004    2.341e-001    2.111e-006      9.375000      0.704304      4.428244      1.041667
  1            5226          7775         16256    5.641e-004    2.092e-001    1.395e-006      7.250000      0.615020      4.639885      0.840580
  1            3271          6414          6945    6.950e-004    2.628e-001    2.529e-008      7.625000      0.725242      3.092393      0.910448
  1            3535         12184         11237    5.564e-004    2.374e-001    2.526e-007      7.875000      0.732136      6.869667      0.792453
  1            1263         13247         14480    4.239e-004    2.557e-001    1.416e-008      6.625000      0.553610      3.175333      0.913793
  1            4489         11624          5718    2.888e-004    1.257e-001    4.342e-006      8.750000      0.683539      3.866699      0.958904
  1            3041         10430         18162    1.023e-004    2.831e-001    2.684e-007      4.875000      0.552103      1.537025      0.896552
  1            3522         11985          6798    6.945e-004    2.290e-001    2.039e-008      9.375000      0.771071      5.930844      0.943396
  1            3721          8333         17142    1.806e-004    2.184e-001    5.745e-007      5.750000      0.546462      1.704235      0.893204
  1            2696          9697         13386    5.376e-004    2.806e-001    4.127e-006      9.375000      0.729403     19.925806      0.717703
  1            2026          9934          6645    1.835e-004    1.076e-001    1.394e-007      4.500000      0.477491      0.972847      0.972973
  1            4449          2771           523    5.145e-004    2.457e-001    3.560e-008      9.625000      0.735224      5.151701      0.956522
  1            3922          5513          9656    8.732e-004    2.583e-001    1.626e-008     14.250000      0.850658     22.646181      0.880309
  1            4052          7965         16304    3.127e-004    1.636e-001    3.780e-007      8.250000      0.694827      5.726804      0.868421
  1            2007          6146           874    2.374e-004    1.380e-001    7.546e-008      4.375000      0.415462      0.947003      0.909091
  1            2570          6268          9394    3.968e-004    2.813e-001    1.297e-007      5.875000      0.582452      4.659188      0.817391
