scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3533         18630          3900    6.480e-004    2.554e-001    6.906e-008     10.375000      0.779369     13.141163      0.869110
  1            2594         10224          4400    7.292e-004    2.223e-001    3.775e-007      7.625000      0.727773      7.972464      0.813333
  1            2916         15981         10260    6.891e-004    2.894e-001    1.391e-007      9.375000      0.751538     14.006899      0.802139
  1            2549         13020          9822    7.243e-004    2.689e-001    5.462e-008      9.000000      0.738839      4.497054      0.947368
  1            2665          3242          8202    9.329e-004    2.012e-001    1.767e-008     10.125000      0.784302      8.257964      0.866310
  1            3937         11587          2304    8.686e-004    2.274e-001    8.372e-007     15.000000      0.808155     31.538639      0.882353
  1            2510          9297         11038    8.945e-004    1.603e-001    4.142e-008      6.500000      0.720543      2.597316      0.800000
  1            2513          6537           402    6.106e-004    2.407e-001    3.138e-007      8.000000      0.676515      3.897554      1.032258
  1            2612          6725          6059    9.804e-004    2.270e-001    2.764e-007     11.000000      0.769512      9.918765      0.830189
  1            3317          9236          6853    5.823e-004    2.802e-001    1.643e-006      9.375000      0.763817      4.888233      1.056338
  1            2271         13884          8767    8.524e-004    2.227e-001    4.289e-007      7.750000      0.679370      4.843212      0.861111
  1            3944         10270         10470    9.325e-004    2.640e-001    8.135e-007     15.250000      0.832682     15.743785      1.065502
  1            3873          9719          5053    6.487e-004    2.951e-001    5.206e-008      9.875000      0.807773      5.172120      0.951807
  1            2577         12768          5280    6.918e-004    2.961e-001    8.921e-007     12.625000      0.779783     18.803692      0.926606
  1            3212          5486          1003    7.648e-004    2.437e-001    8.944e-006      9.250000      0.744937      4.984919      0.826816
  1            5241          5843          2678    9.139e-004    1.753e-001    5.471e-007      9.000000      0.755183      4.958126      0.878049
  1            3317         11152          4563    9.710e-004    2.983e-001    1.771e-008     14.000000      0.797505     17.675909      1.037037
  1            3571          9731           607    8.116e-004    2.923e-001    3.626e-006     12.750000      0.808508      9.222253      1.000000
  1            5471          4429          4041    5.514e-004    2.301e-001    1.236e-007      9.250000      0.745525      6.139310      0.925000
  1            6052          3706          4178    5.636e-004    2.058e-001    8.030e-006     11.125000      0.789209      5.069649      1.119497
  1            5324          6666         14188    5.422e-004    1.470e-001    4.066e-006     11.250000      0.775233     10.774009      0.978261
  1            4105         12704          7698    3.261e-004    2.696e-001    2.909e-006      7.750000      0.750240      6.883167      0.885714
