scenario      Ne            t             Na          µmic_1        pmic_1       snimic_1      NAL_1_1       HET_1_1       VAR_1_1       MGW_1_1    
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.125000      0.662987      8.420291      1.081481
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.000000      0.698590     12.700258      0.820513
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.875000      0.744862     21.380974      0.816901
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      7.625000      0.735540      3.287963      1.060870
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.875000      0.758801      4.530137      1.100775
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.875000      0.796576     11.312335      0.950000
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.000000      0.697469      8.972219      0.847682
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.375000      0.716848     11.921119      0.955414
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.625000      0.729267      4.366526      0.944785
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.000000      0.722470     15.423386      0.818605
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.125000      0.728154      9.519635      0.833333
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.750000      0.682917      8.763927      0.921053
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.125000      0.793315      5.590254      1.065789
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     12.625000      0.778288      6.761066      0.975845
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.250000      0.791317      8.139300      1.046512
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.250000      0.706345      3.855749      1.039370
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.125000      0.710664     10.795935      0.912500
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.625000      0.692995      5.966209      0.945205
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.000000      0.729174      4.106190      1.058824
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.000000      0.668404      9.267594      0.888889
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.250000      0.732350      7.324420      0.901099
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.125000      0.740113     17.799515      0.771429
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.250000      0.760588     23.795654      0.865385
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      7.375000      0.669170      2.069009      1.072727
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     12.125000      0.748518     14.631974      1.000000
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.250000      0.785421     11.580865      0.901099
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.500000      0.700633      4.050046      0.957747
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.500000      0.789550     24.919739      0.823529
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.500000      0.690504      4.937106      1.048276
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.875000      0.764276      8.545085      0.793970
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.875000      0.649987      6.649162      1.087500
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.750000      0.721712      6.813923      1.042424
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.750000      0.776897      9.816589      1.093023
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.750000      0.782722      4.744591      1.029940
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.250000      0.761199      4.115043      0.976190
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.125000      0.737817      5.429555      1.000000
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.875000      0.790154      7.792902      1.000000
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.500000      0.661039     19.560518      0.763636
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     12.125000      0.757233      9.674855      1.065934
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     12.500000      0.826968     18.198769      0.743494
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     12.125000      0.794008     15.522012      1.010417
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     12.625000      0.771150      9.252193      1.246914
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.125000      0.642799      2.712340      1.092437
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      7.125000      0.704610      1.746552      1.055556
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.750000      0.756903      4.809181      1.119048
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.000000      0.744753      4.287139      1.035971
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.000000      0.772722     12.616974      0.833333
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.000000      0.726645     17.138201      0.842105
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.750000      0.776854      4.780217      0.957055
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.875000      0.766774      3.833536      1.036496
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.500000      0.782690      7.144826      0.830601
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.500000      0.677367      6.450371      0.786127
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.625000      0.828943     21.953690      0.813397
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.875000      0.735043      9.356539      0.863388
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.000000      0.640416      4.530141      1.000000
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.625000      0.780690      8.385005      0.977012
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.000000      0.760509      4.841061      0.883436
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.625000      0.672809     23.929453      0.758242
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.000000      0.720038      8.540525      0.975610
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.125000      0.687139      3.977350      1.073529
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     15.000000      0.757129     18.867531      1.012658
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     13.875000      0.755274     27.028578      0.847328
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.125000      0.730353      6.574482      0.828025
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.375000      0.787806     27.948648      0.910000
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.500000      0.761505      9.066253      0.899408
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.000000      0.772181      8.350196      0.893401
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.125000      0.697214      3.508137      0.979866
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      5.875000      0.696519      1.709754      0.940000
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.000000      0.719882      8.869712      0.888889
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.625000      0.779509      3.234937      1.092199
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      7.625000      0.673309      2.129771      0.877698
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      8.625000      0.690089      6.655219      0.938776
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.625000      0.739581     10.199343      0.905882
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.875000      0.815571     22.346989      0.816901
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.625000      0.767740      6.105527      1.006536
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.875000      0.815168     11.723075      0.801843
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.500000      0.783740      8.055770      0.852792
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.375000      0.759500     26.570585      0.781250
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     11.125000      0.769783     15.992979      0.927083
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.875000      0.799612      7.273484      1.144737
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.000000      0.768414     19.203865      0.586081
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      7.625000      0.570583      9.617265      0.865248
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.875000      0.775675     15.111380      0.832536
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      6.750000      0.590397      3.663884      0.947368
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      7.375000      0.719063      2.467447      0.983333
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.000000      0.783189      4.330739      1.066667
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.625000      0.765045      6.539280      1.055901
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      9.000000      0.651933     24.826105      0.757895
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.375000      0.737986     14.757608      0.842640
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006     10.750000      0.794128      6.963337      1.011765
  1            3755         10005         15005    5.500e-004    2.000e-001    5.005e-006      7.125000      0.685924      4.147073      0.942149
