State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
1	0.423729	-3007.728881	4.044219	1.164993	4.044219	0.652683	-3.547124	0.379069	3.570753	0.486963
2	0.378947	-3501.827312	3.893136	1.416895	3.894895	0.661137	-3.461046	0.379468	3.482916	0.60055
3	0.28125	-3387.943597	4.600972	1.624375	4.624893	0.580524	-4.158732	0.397031	4.180601	0.372983
4	0.454545	-3290.510561	3.237374	1.649594	3.261296	0.49704	-2.795135	0.307173	2.913929	0.111234
5	0.417582	-3449.626508	4.273891	1.045227	4.311443	0.787934	-3.930648	0.379676	3.938661	0.128828
6	0.371134	-3611.56544	2.779357	1.026804	2.877324	0.602029	-2.430445	0.218796	2.434634	0.08817
7	0.357798	-3496.217309	3.734548	0.387066	3.835959	0.591764	-3.38908	0.273198	3.393268	0.515764
8	0.20202	-3749.736987	4.045079	0.33745	4.303111	0.550746	-3.789525	0.273198	3.860421	0.470752
9	0.28972	-3428.936469	4.175811	0.403194	4.408971	0.555298	-3.920257	0.290177	3.991153	0.463594
10	0.285714	-3366.13199	2.325665	0.357339	2.558824	0.706242	-2.070111	0.296843	2.141007	0.284213
11	0.196262	-3544.915319	3.044761	0.302985	3.299074	0.736345	-2.759227	0.295267	2.830122	0.422651
12	0.243902	-3615.646327	4.000852	0.256979	4.246104	0.820604	-3.754538	0.273885	3.786214	0.78358
13	0.198113	-3762.94948	3.690838	0.438861	4.015551	0.843396	-3.523985	0.327727	3.55566	0.712827
14	0.25	-4222.567426	3.9179	0.56402	4.317814	0.589633	-3.846115	0.168906	3.342778	0.519296
15	0.239583	-4081.777486	3.139059	0.482005	3.556827	0.775388	-3.064982	0.260258	2.568067	0.909334
16	0.213592	-4405.366341	2.772862	0.431205	3.190631	0.618656	-2.698785	0.193134	2.20187	1.004629
17	0.330275	-4058.878298	3.677008	0.624659	4.094776	0.731228	-3.631392	0.183248	3.134477	0.667479
18	0.221154	-3990.322364	5.066859	0.491345	5.453445	0.874726	-5.006785	0.19383	4.522796	0.707199
19	0.188889	-3506.103525	3.366858	0.348196	3.762654	1.131648	-3.306805	0.26579	2.822796	1.169797
20	0.19	-3761.851293	4.167155	0.410072	4.56295	0.929364	-4.107102	0.301784	3.623092	1.04672
21	0.076923	-4142.857967	4.228887	0.465389	4.624683	0.829617	-4.168834	0.372723	3.684824	1.007134
22	0.14433	-4488.611898	4.932532	0.554327	5.458444	0.698441	-5.002596	0.415431	4.38847	0.839665
23	0.067568	-4307.714738	4.584703	0.554327	5.050593	0.698441	-4.602885	0.481473	4.048241	0.800723
24	0.144444	-4340.902695	2.781907	0.527483	3.247797	0.631027	-2.800089	0.481473	2.245445	0.679002
25	0.21978	-4675.084035	3.421534	0.607044	3.887424	0.482082	-3.439716	0.289185	2.885072	0.637378
26	0.068182	-4471.319412	3.87538	0.491697	4.34127	0.492782	-3.90344	0.319502	3.338918	0.637378
27	0.103774	-4668.716429	1.418498	0.51362	1.879284	0.645697	-1.441454	0.351684	0.876932	0.700746
28	0.173913	-4500.328041	4.578511	0.680602	5.039297	0.387426	-4.601467	0.365015	4.036945	0.907771
29	0.196262	-4135.435752	2.341241	0.435653	2.717799	0.41133	-2.279969	0.380438	1.755042	0.923665
30	0.126437	-4202.297031	2.940613	0.494201	3.362381	0.468004	-2.924248	0.379058	2.535259	0.878248
31	0.19802	-4020.038852	2.420397	0.299857	2.775575	0.491247	-2.337442	0.261668	1.948452	0.784305
32	0.277778	-3956.101973	3.755149	0.307262	4.080868	0.587465	-3.688939	0.263128	3.299949	0.650514
33	0.155556	-3996.100913	2.928395	0.16939	3.268222	0.617045	-2.87777	0.216605	2.488781	0.671266
34	0.222222	-4264.215043	2.98998	0.273834	3.44285	0.610908	-3.052398	0.249018	2.550365	0.858152
35	0.1875	-4496.707095	3.504244	0.235607	3.957114	0.536113	-3.566662	0.248207	3.064629	0.44828
36	0.191011	-4102.540366	5.392698	0.395649	5.817143	0.574948	-5.448746	0.167715	4.961199	0.588981
37	0.166667	-4329.148866	4.48037	0.400464	4.904815	0.552408	-4.536418	0.21196	4.048871	0.56414
38	0.214286	-4303.120778	3.806741	0.307399	4.231186	0.459396	-3.816738	0.213734	3.375242	0.534887
39	0.168539	-4115.436305	2.641799	0.233215	3.066244	0.669539	-2.650456	0.247393	2.20896	0.559087
40	0.155963	-3895.749062	2.262855	0.229829	2.688005	0.644534	-2.220347	0.223021	1.778145	0.660749
41	0.258929	-4045.749373	4.21923	0.187353	4.70441	0.710101	-4.231808	0.213401	3.789606	0.41366
42	0.148515	-3855.019377	2.848231	0.184073	3.272888	0.675042	-2.880776	0.194733	2.438574	0.489303
43	0.142857	-3907.785234	3.196787	0.137516	3.529726	0.6723	-3.138036	0.220708	2.676479	0.779652
44	0.197917	-3657.206359	2.699001	0.22228	3.045965	0.763625	-2.654275	0.178428	2.178694	0.552561
45	0.27619	-3929.021819	1.770739	0.118938	2.061868	0.684511	-1.684143	0.216853	1.250432	0.703666
46	0.168421	-3559.327041	1.586999	0.229827	1.878128	0.73243	-1.500402	0.194602	1.066692	0.680529
47	0.213592	-3848.657952	1.960647	0.131753	2.288061	0.78502	-1.946917	0.21618	1.44034	0.660333
48	0.120879	-3814.139729	3.129415	0.110949	3.410329	0.843124	-3.069186	0.248685	2.640367	0.740935
49	0.14433	-3530.457001	3.992034	0.103133	4.190576	0.63731	-3.849433	0.204916	3.502986	0.570084
50	0.207207	-3709.768044	2.884898	0.027767	3.229448	0.769719	-2.742296	0.194479	2.39585	0.669521
51	0.37	-3703.037602	3.48457	0.042315	3.859724	0.612296	-3.378642	0.199928	2.995642	0.66465
52	0.295455	-3835.907805	4.481611	0.067993	4.856764	0.913914	-4.421855	0.261756	4.038855	0.69974
53	0.1875	-4153.007555	3.09509	0.07845	3.455817	0.785639	-3.035333	0.261756	2.652333	0.623243
54	0.195876	-4101.825935	3.805264	0.095583	4.165992	0.87966	-3.735237	0.256266	3.352237	0.560753
55	0.223301	-4049.823742	1.284114	0.112045	1.644842	0.789328	-1.214087	0.27053	0.831087	1.007371
56	0.206897	-4069.081729	3.45069	0.186344	3.811418	0.832159	-3.380663	0.244734	2.997663	0.974948
57	0.234568	-4071.173574	3.269158	0.113977	3.640093	0.811577	-3.199131	0.266269	2.81613	0.850018
58	0.284211	-3541.311403	4.34494	0.161784	4.600824	0.828898	-4.159861	0.250193	3.806192	0.577922
59	0.201923	-3816.656942	5.180409	0.236066	5.436294	0.802906	-4.995331	0.264705	4.641662	0.48041
60	0.176471	-3803.021412	3.880038	0.263077	4.127569	0.815479	-3.686606	0.250161	3.332937	0.423448
61	0.157895	-3479.866098	4.248026	0.36518	4.418622	0.585896	-4.008042	0.260698	3.700925	0.514767
62	0.254902	-3645.90122	3.78707	0.678174	3.957666	0.638618	-3.547086	0.286883	3.239969	0.166474
