State	Muts	LogL	Ne_Mean	Ne_SD	Na_Mean	Na_SD	Mu_Mean	Mu_SD	t_Mean	t_SD
1	0.465116	-3306.122254	3.659779	1.037341	3.982874	0.858733	-3.290902	0.432139	4.067775	0.981131
2	0.305556	-3505.116375	3.729918	0.754858	4.050084	0.691394	-3.358112	0.421298	4.137914	0.307804
3	0.30137	-3288.353366	3.620843	0.830961	3.941009	0.786958	-3.249037	0.375587	4.281321	0.987984
4	0.345133	-3391.715601	2.115919	0.639418	2.40494	1.079663	-1.712968	0.400214	2.586716	0.313476
5	0.309524	-3336.282842	4.37872	0.543441	4.786697	0.883966	-3.97577	0.361282	4.849517	0.056542
6	0.35	-3383.181432	4.428582	0.476589	4.875136	0.8424	-4.025631	0.330507	5.066434	0.031667
7	0.322917	-3481.53995	2.853799	0.375845	3.330417	1.041873	-2.450849	0.312015	3.491652	0.155071
8	0.244898	-3501.713748	3.347704	0.384224	3.824322	1.054272	-2.944754	0.390589	4.046027	0.213863
9	0.425532	-3496.432278	3.547421	0.433299	4.414567	0.68802	-3.085743	0.370539	4.245744	0.095988
10	0.323232	-3672.925648	2.824494	0.612999	3.69164	0.646917	-2.362816	0.531408	3.522817	0.013239
11	0.228261	-3640.46427	2.267843	0.674049	3.132509	0.790891	-1.803686	0.408275	2.966166	0.117669
12	0.253012	-3743.311262	2.686165	0.677535	3.550831	0.636378	-2.222008	0.391409	3.384488	0.074001
13	0.207921	-3655.394262	3.764313	0.741836	4.628979	0.514297	-3.300156	0.391409	4.462636	0.147579
14	0.150538	-3670.297474	2.904108	0.744736	3.780839	0.385859	-2.452016	0.309226	3.608125	0.141109
15	0.285714	-3782.526355	2.363805	0.683	3.40088	0.274348	-1.967911	0.25709	3.067822	0.041485
16	0.260417	-4021.417444	3.930422	0.65234	4.967497	0.125355	-3.594007	0.283159	4.634439	0.096418
17	0.195402	-3870.947068	4.547852	0.645014	5.584927	0.283243	-4.211436	0.283159	5.251869	0.103242
18	0.180723	-3700.074738	3.86275	0.569317	4.926522	0.170246	-3.533617	0.208015	4.628636	0.234094
19	0.252336	-3618.801816	3.062453	0.682609	4.011827	0.035167	-2.741532	0.229938	3.828339	0.154658
20	0.408163	-3471.312503	3.57624	0.483145	4.51956	0.002237	-3.249264	0.233626	4.342126	0.286807
21	0.283019	-3434.341336	3.381519	0.410316	4.286452	0.001596	-3.041326	0.159387	4.147405	0.253691
22	0.323529	-3568.316872	3.077175	0.385719	3.982107	0.000916	-2.791212	0.106706	3.843061	0.351809
23	0.382353	-3550.284365	4.544644	0.413652	5.40344	0.000984	-4.250786	0.070576	5.353891	0.341756
24	0.45098	-3650.687171	2.995974	0.350013	3.893524	0.009859	-2.743352	0.068187	3.805221	0.361743
25	0.39	-3638.726219	3.244332	0.290034	4.147045	0.010496	-2.99171	0.097822	4.053579	0.370898
26	0.367925	-3751.477393	2.713227	0.235841	3.689964	0.059242	-2.460606	0.084054	3.522475	0.282091
27	0.388889	-3666.65881	2.499548	0.240498	3.476285	0.039433	-2.242292	0.060388	3.304161	0.326662
28	0.320988	-3838.191777	2.173604	0.273946	3.114704	0.090276	-1.917293	0.049987	2.974126	0.550912
29	0.395604	-3520.914895	3.721702	0.239734	4.631705	0.05601	-3.413844	0.030286	4.522225	0.496971
30	0.340909	-3330.661051	3.334956	0.269142	4.168272	0.078376	-2.935076	0.128026	4.058681	0.398138
31	0.343434	-3501.50492	4.214753	0.154403	5.048069	0.258844	-3.814873	0.178545	4.938477	0.730094
32	0.336957	-3574.920652	4.224651	0.155496	5.081695	0.048146	-3.875564	0.161404	4.948376	0.557206
33	0.323529	-3606.590793	3.472285	0.198602	4.314387	0.077124	-3.123198	0.224699	4.19601	0.410094
34	0.391753	-3648.387445	1.981612	0.118573	2.823714	0.191241	-1.632525	0.254974	2.705337	0.693316
35	0.272727	-3533.875117	3.88273	0.200968	4.738438	0.087282	-3.533643	0.201426	4.606454	0.565418
36	0.243478	-3626.08306	2.715894	0.173264	3.614031	0.241112	-2.366808	0.283926	3.439619	0.699951
37	0.28	-3861.611648	3.673024	0.127159	4.57116	0.382349	-3.323937	0.244896	4.396749	0.546369
38	0.281553	-3837.974796	3.733827	0.090991	4.631963	0.406513	-3.38474	0.231545	4.457552	0.704573
39	0.271845	-3868.921553	3.589685	0.17364	4.642647	0.314593	-3.234714	0.194702	4.31341	0.501577
40	0.281818	-4024.595875	2.193481	0.193968	3.131375	0.092037	-1.869546	0.265083	2.868459	0.555281
41	0.219048	-4108.085765	4.753837	0.303966	5.691731	0.078261	-4.429902	0.196866	5.428815	0.096253
42	0.303922	-4042.986461	4.934486	0.220664	5.87238	0.013436	-4.610551	0.290926	5.609464	0.212787
43	0.242105	-3939.696643	3.416957	0.243921	4.317637	0.045826	-3.093021	0.224651	4.091934	0.316251
44	0.322222	-3744.006562	3.400139	0.268314	4.378187	0.035323	-3.046524	0.206817	4.171716	0.217082
45	0.375	-3555.479188	3.509237	0.294256	4.487285	0.089789	-3.155622	0.146589	4.280814	0.115474
46	0.151515	-3809.527246	2.414656	0.294256	3.328758	0.115531	-2.141029	0.196731	3.186233	0.216723
47	0.234234	-3804.977466	4.368093	0.183879	5.411224	0.04982	-4.094466	0.131128	5.13967	0.259959
48	0.275862	-4045.25099	3.633657	0.259241	4.709954	0.067516	-3.36003	0.222485	4.480612	0.234597
49	0.343434	-4045.01272	3.511812	0.235351	4.588109	0.073714	-3.238185	0.136185	4.358767	0.219261
50	0.349057	-4050.691206	5.514342	0.250532	6.590639	0.083297	-5.252838	0.136294	6.361297	0.332496
51	0.4	-3885.122346	3.495465	0.260696	4.571762	0.268669	-3.233961	0.131154	4.34242	0.362195
52	0.300813	-3868.744769	4.139941	0.313587	5.203136	0.394733	-3.760983	0.113403	4.882543	0.148985
53	0.294118	-3862.420883	5.602796	0.313587	6.635562	0.851324	-5.223838	0.173327	6.345399	0.156229
54	0.238095	-3937.365	3.961415	0.346638	4.896348	0.441837	-3.582457	0.151593	4.704018	0.180755
55	0.235294	-4409.354232	5.286613	0.381782	6.168472	0.269177	-4.912648	0.135991	5.894675	0.143291
56	0.290323	-4252.588554	4.47258	0.378424	5.35444	0.273419	-4.098616	0.105425	5.080643	0.09019
57	0.409091	-4211.901104	2.480357	0.383338	3.362216	0.19655	-2.106393	0.172396	3.08842	0.056218
58	0.28	-4086.380143	3.40164	0.357196	4.2835	0.313104	-3.027676	0.242384	4.009703	0.085719
59	0.298077	-4513.234954	3.223962	0.401499	4.162626	0.228236	-2.906803	0.225123	3.854148	0.143175
60	0.215686	-4490.98396	2.801659	0.458851	3.740324	0.37167	-2.437725	0.238981	3.431845	0.060886
61	0.238636	-4393.466334	5.689392	0.458851	6.598286	0.326217	-5.325458	0.196906	6.319578	0.09593
62	0.237113	-4298.89097	2.534056	0.332609	3.44295	0.324733	-2.122208	0.169272	3.164242	0.068502
63	0.268293	-4394.442749	4.956263	0.360927	5.865158	0.378179	-4.569442	0.169946	5.567999	0.039093
64	0.288889	-4394.313677	3.94891	0.365421	4.857804	0.613739	-3.562088	0.268559	4.560646	0.084667
65	0.252874	-4487.640834	3.449297	0.419306	4.358191	0.364574	-3.042081	0.236266	4.040639	0.04562
